,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,8903189.5,24151.5,2,17806379.0,48303.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7462124.0,25468.0,293.0,10344255.0,22835.0,453.0,-0.016912759903747188,-0.01693293985957056
2019-11-15,9056357.5,24567.5,2,18112715.0,49135.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7591337.0,25909.0,293.0,10521378.0,23226.0,453.0,0.026843132489452692,0.02683329501995768
2019-10-15,8819611.5,23925.5,2,17639223.0,47851.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7393269.0,25233.0,293.0,10245954.0,22618.0,453.0,-0.0285862112642703,-0.02860332927324405
2019-9-15,9079150.0,24630.0,2,18158300.0,49260.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7611554.0,25978.0,293.0,10546746.0,23282.0,453.0,-0.030739484233603176,-0.030753792574228167
2019-8-15,9367089.5,25411.5,2,18734179.0,50823.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7853572.0,26804.0,293.0,10880607.0,24019.0,453.0,0.002322054223746095,0.0023074192403265137
2019-7-15,9345389.0,25353.0,2,18690778.0,50706.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7835992.0,26744.0,293.0,10854786.0,23962.0,453.0,0.0029049227757793616,0.002887658227848089
2019-6-15,9318320.0,25280.0,2,18636640.0,50560.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7814017.0,26669.0,293.0,10822623.0,23891.0,453.0,-0.009114072276893204,-0.009132599067142255
2019-5-15,9404029.0,25513.0,2,18808058.0,51026.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7886681.0,26917.0,293.0,10921377.0,24109.0,453.0,0.018479927727570233,0.018462705335222873
2019-4-15,9233396.5,25050.5,2,18466793.0,50101.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7744283.0,26431.0,293.0,10722510.0,23670.0,453.0,0.0250157262054449,0.025000511467092146
2019-3-15,9008053.5,24439.5,2,18016107.0,48879.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7555884.0,25788.0,293.0,10460223.0,23091.0,453.0,0.011510012772371514,0.013729597444884556
2019-2-15,8905550.5,24108.5,2,17811101.0,48217.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7382135.0,25195.0,293.0,10428966.0,23022.0,453.0,0.016534762169825745,0.016528577150928703
2019-1-15,8760694.5,23716.5,2,17521389.0,47433.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7262298.0,24786.0,293.0,10259091.0,22647.0,453.0,,
2018-12-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2018-11-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2018-10-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2018-9-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
