,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,8484908.5,15616.0,4,33939634.0,62464.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7627488.0,15378.0,496.0,7813337.0,15721.0,497.0,7220349.0,15137.0,477.0,11278460.0,16228.0,695.0,-0.01480261964312013,-0.014794485978360306
2019-11-15,8612394.5,15850.5,4,34449578.0,63402.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7742560.0,15610.0,496.0,7930132.0,15956.0,497.0,7328151.0,15363.0,477.0,11448735.0,16473.0,695.0,0.08315905368406407,0.08316533980250784
2019-10-15,7951181.75,14633.5,4,31804727.0,58534.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7148848.0,14413.0,496.0,7320810.0,14730.0,497.0,6764814.0,14182.0,477.0,10570255.0,15209.0,695.0,-0.0889877161664091,-0.0889791598574341
2019-9-15,8727853.5,16062.75,4,34911414.0,64251.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7847216.0,15821.0,496.0,8035496.000000001,16168.0,497.0,7424982.0,15566.0,477.0,11603720.0,16696.0,695.0,-0.0036499581355863286,-0.0036442018422603306
2019-8-15,8759826.5,16121.5,4,35039306.0,64486.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7876479.999999999,15880.0,496.0,8064322.0,16226.0,497.0,7451694.0,15622.0,477.0,11646810.0,16758.0,695.0,0.009918291553333125,0.009929211301133778
2019-7-15,8673797.25,15963.0,4,34695189.0,63852.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7799600.000000001,15725.0,496.0,7984305.0,16065.0,497.0,7377759.0,15467.0,477.0,11533525.0,16595.0,695.0,-0.03650374314659921,-0.036501637216882155
2019-6-15,9002419.25,16567.75,4,36009677.0,66271.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",8095712.0,16322.0,496.0,8286480.999999999,16673.0,497.0,7656804.000000001,16052.0,477.0,11970680.0,17224.0,695.0,0.011160975407030316,0.011168922321060704
2019-5-15,8903052.5,16384.75,4,35612210.0,65539.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",8006928.0,16143.0,496.0,8194536.0,16488.0,497.0,7571421.0,15873.0,477.0,11839325.0,17035.0,695.0,0.021322519974277254,0.021333956677575205
2019-4-15,8717180.25,16042.5,4,34868721.0,64170.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7840272.0,15807.0,496.0,8022574.0,16142.0,497.0,7412580.0,15540.0,477.0,11593295.0,16681.0,695.0,-0.012575637583219779,-0.01257174511825443
2019-3-15,8828200.5,16246.75,4,35312802.0,64987.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7940463.999999999,16009.0,496.0,8124459.000000001,16347.0,497.0,7506549.0,15737.0,477.0,11741330.0,16894.0,695.0,0.02025798257464828,0.020268148706355182
2019-2-15,8652910.0,15924.0,4,34611640.0,63696.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7783232.0,15692.0,496.0,7962437.000000001,16021.0,497.0,7356771.0,15423.0,477.0,11509200.0,16560.0,695.0,0.037252595810657096,0.03725898905680047
2019-1-15,8342143.5,15352.0,4,33368574.0,61408.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7504480.0,15130.0,496.0,7676165.0,15445.0,497.0,7091559.0,14867.0,477.0,11096370.0,15966.0,695.0,0.015216886458700785,0.015226412286937663
2018-12-15,8217104.75,15121.75,4,32868419.0,60487.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7392384.0,14904.0,496.0,7560364.0,15212.0,497.0,6984711.0,14643.0,477.0,10930960.0,15728.0,695.0,-0.008873197755621565,-0.008864783378121466
2018-11-15,8290669.5,15257.0,4,33162678.0,61028.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7458848.0,15038.0,496.0,7627459.0,15347.0,497.0,7046721.0,14773.0,477.0,11029650.0,15870.0,695.0,-0.016667912040990607,-0.016660758596242498
2018-10-15,8431200.0,15515.5,4,33724800.0,62062.0,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7585824.0,15294.0,496.0,7756182.0,15606.0,497.0,7165494.0,15022.0,477.0,11217300.0,16140.0,695.0,-0.03801523895586456,-0.03800725423938989
