,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,7490468.0,29450.5,4,29961872.0,117802.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6410131.0,31577.0,203.0,9250384.0,29744.0,311.0,8215620.0,26502.0,310.0,6085737.0,29979.0,203.0,-0.06370162372619348,-0.06368874935421054
2019-11-15,8000086.5,31453.75,4,32000346.0,125815.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6845566.0,33722.0,203.0,9880159.0,31769.0,311.0,8775170.0,28307.0,310.0,6499451.0,32017.0,203.0,0.026310269739645786,0.026323946878976656
2019-10-15,7794998.0,30647.0,4,31179992.0,122588.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6669362.0,32854.0,203.0,9627005.0,30955.0,311.0,8551040.0,27584.0,310.0,6332585.0,31195.0,203.0,-0.011650763950095011,-0.011634188227136799
2019-9-15,7886886.25,31007.75,4,31547545.0,124031.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6747111.0,33237.0,203.0,9740831.0,31321.0,311.0,8652720.0,27912.0,310.0,6406883.0,31561.0,203.0,-0.039493615728150466,-0.03947989994501622
2019-8-15,8211175.25,32282.25,4,32844701.0,129129.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",7023800.0,34600.0,203.0,10141710.0,32610.0,311.0,9009220.0,29062.0,310.0,6669971.0,32857.0,203.0,0.008952495952172956,0.00897008149647216
2019-7-15,8138317.0,31995.25,4,32553268.0,127981.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6960667.0,34289.0,203.0,10052142.0,32322.0,311.0,8930170.0,28807.0,310.0,6610289.0,32563.0,203.0,0.0049146661508518985,0.004931175551420086
2019-6-15,8098515.5,31838.25,4,32394062.0,127353.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6925751.0,34117.0,203.0,10003315.0,32165.0,311.0,8887390.0,28669.0,310.0,6577606.0,32402.0,203.0,-0.008378927948676562,-0.008362727463851027
2019-5-15,8166945.75,32106.75,4,32667783.0,128427.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6983403.0,34401.0,203.0,10088218.0,32438.0,311.0,8963340.0,28914.0,310.0,6632822.0,32674.0,203.0,0.039609618712333594,0.039625360230547635
2019-4-15,7855781.25,30883.0,4,31423125.0,123532.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6716661.0,33087.0,203.0,9704133.0,31203.0,311.0,8622650.0,27815.0,310.0,6379681.0,31427.0,203.0,0.02277848127943316,0.02279369757987726
2019-3-15,7680823.75,30194.75,4,30723295.0,120779.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6566238.0,32346.0,203.0,9488299.0,30509.0,311.0,8431380.0,27198.0,310.0,6237378.0,30726.0,203.0,0.002790572612300757,0.002806353318222099
2019-2-15,7659449.5,30110.25,4,30637798.0,120441.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6547156.0,32252.0,203.0,9462175.0,30425.0,311.0,8408750.0,27125.0,310.0,6219717.0,30639.0,203.0,0.02439105287919552,0.0244107815702852
2019-1-15,7477075.75,29392.75,4,29908303.0,117571.0,1027,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6390440.0,31480.0,203.0,9237322.0,29702.0,311.0,8209420.0,26482.0,310.0,6071121.0,29907.0,203.0,0.03472865408552983,0.03474648618677567
