,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_4,npsf_4,nfa_4,lumpSum_change,npsf_change
2019-12-15,64420603.5,14172.0,2,128841207.0,28344.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",72672312.0,15909.0,4568.0,56168895.00000001,12435.0,4517.0,-0.1410908119163694,-0.14109090909090904
2019-11-15,75002811.0,16500.0,2,150005622.0,33000.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",84608496.00000001,18522.0,4568.0,65397126.0,14478.0,4517.0,-0.27269528221609085,-0.27269521521609763
2019-10-15,103124329.0,22686.5,2,206248658.0,45373.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",116333256.0,25467.0,4568.0,89915402.0,19906.0,4517.0,0.39845881445206377,0.3984589304977655
2019-9-15,73741413.0,16222.5,2,147482826.0,32445.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",83187847.99999999,18211.0,4568.0,64294978.0,14234.0,4517.0,-0.11495123512555616,-0.11495130800076381
2019-8-15,83319039.5,18329.5,2,166638079.0,36659.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",93991168.0,20576.0,4568.0,72646911.0,16083.0,4517.0,-0.10576906611651293,-0.10576899621905111
2019-7-15,93173962.5,20497.5,2,186347925.0,40995.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",105109680.0,23010.0,4568.0,81238245.0,17985.0,4517.0,0.1010395447526864,0.10103940053178628
2019-6-15,84623629.5,18616.5,2,169247259.0,37233.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",95462064.0,20898.0,4568.0,73785195.0,16335.0,4517.0,-0.05218552756543937,-0.05218542372018431
2019-5-15,89282905.0,19641.5,2,178565810.0,39283.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",100719832.0,22049.0,4568.0,77845978.0,17234.0,4517.0,0.06541732332249128,0.06541726560169248
2019-4-15,83800876.0,18435.5,2,167601752.0,36871.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",94534760.0,20695.0,4568.0,73066992.0,16176.0,4517.0,-0.1369955590955989,-0.13699559966295294
2019-3-15,97103644.0,21362.0,2,194207288.0,42724.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",109540640.0,23980.0,4568.0,84666648.0,18744.0,4517.0,0.22155812433480415,0.22155825589706923
2019-2-15,79491628.0,17487.5,2,158983256.0,34975.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",89674408.0,19631.0,4568.0,69308848.0,15344.0,4517.0,-0.14154927538534157,-0.14154926120465372
