,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,11532383.0,13834.666666666666,3,34597149.0,41504.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12502590.0,13985.0,894.0,9979830.0,13578.0,735.0,12114729.0,13941.0,869.0,-0.04980513495210992,-0.04981684981684986
2019-11-15,12136861.0,14560.0,3,36410583.0,43680.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13156998.0,14717.0,894.0,10505355.0,14293.0,735.0,12748230.0,14670.0,869.0,0.045717665174147104,0.0457015632855331
2019-10-15,11606250.333333334,13923.666666666666,3,34818751.0,41771.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12580368.0,14072.0,894.0,10048920.0,13672.0,735.0,12189463.0,14027.0,869.0,-0.0510534651894875,-0.05134901889534893
2019-9-15,12230668.333333334,14677.333333333334,3,36692005.0,44032.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13355466.0,14939.0,894.0,10669995.0,14517.0,735.0,12666544.0,14576.0,869.0,0.04488220088179373,0.044451824090326886
2019-8-15,11705308.333333334,14052.666666666666,3,35115925.0,42158.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12647418.0,14147.0,894.0,10273830.0,13978.0,735.0,12194677.0,14033.0,869.0,-0.03362162380534395,-0.033627507163323744
2019-7-15,12112552.0,14541.666666666666,3,36337656.0,43625.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13087266.0,14639.0,894.0,10632510.0,14466.0,735.0,12617880.0,14520.0,869.0,0.07360272553138802,0.07360830831323528
2019-6-15,11282154.666666666,13544.666666666666,3,33846464.0,40634.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12190584.0,13636.0,894.0,9902655.0,13473.0,735.0,11753225.0,13525.0,869.0,-0.07688136912713173,-0.07687764096505978
2019-5-15,12221782.0,14672.666666666666,3,36665346.0,44018.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13206168.0,14772.0,894.0,10726590.0,14594.0,735.0,12732588.0,14652.0,869.0,0.042386299230077196,0.042388936250828735
2019-4-15,11724810.666666666,14076.0,3,35174432.0,42228.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12669768.0,14172.0,894.0,10290000.0,14000.0,735.0,12214664.0,14056.0,869.0,0.03372814794186163,0.03373317013463906
2019-3-15,11342257.333333334,13616.666666666666,3,34026772.0,40850.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12256740.0,13710.0,894.0,9953370.0,13542.0,735.0,11816662.0,13598.0,869.0,0.027849293030569156,0.027853961703947938
2019-2-15,11034942.0,13247.666666666666,3,33104826.0,39743.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",11925066.0,13339.0,894.0,9682890.0,13174.0,735.0,11496870.0,13230.0,869.0,0.037214824345077835,0.03721585719132481
2019-1-15,10639013.0,12772.333333333334,3,31917039.0,38317.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",11496840.0,12860.0,894.0,9335235.0,12701.0,735.0,11084964.0,12756.0,869.0,-0.04918663507838372,-0.04918236184520708
2018-12-15,11189381.0,13433.0,3,33568143.0,40299.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12092244.0,13526.0,894.0,9817395.0,13357.0,735.0,11658504.0,13416.0,869.0,-0.0733155605467326,-0.07330926483776756
2018-11-15,12074640.0,14495.666666666666,3,36223920.0,43487.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13049718.0,14597.0,894.0,10592820.0,14412.0,735.0,12581382.0,14478.0,869.0,0.09801579825855122,0.09801792702941547
2018-10-15,10996781.666666666,13201.666666666666,3,32990345.0,39605.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",11884836.0,13294.0,894.0,9646875.0,13125.0,735.0,11458634.0,13186.0,869.0,-0.058327939017966624,-0.058324218935755456
2018-9-15,11677931.333333334,14019.333333333334,3,35033794.0,42058.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12621492.0,14118.0,894.0,10243695.0,13937.0,735.0,12168607.0,14003.0,869.0,-0.08902594057701596,-0.08902269970542365
2018-8-15,12819170.0,15389.333333333334,3,38457510.0,46168.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13855212.0,15498.0,894.0,11244030.0,15298.0,735.0,13358268.0,15372.0,869.0,0.05632592319139862,0.05633093854390703
2018-7-15,12135620.0,14568.666666666666,3,36406860.0,43706.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13116768.0,14672.0,894.0,10643535.0,14481.0,735.0,12646557.0,14553.0,869.0,0.008720686669707822,0.008724150664697117
2018-6-15,12030704.0,14442.666666666666,3,36092112.0,43328.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13004124.0,14546.0,894.0,10550925.0,14355.0,735.0,12537063.0,14427.0,869.0,0.04892015063460309,0.048926332098675696
