,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A7,npsf_A7,nfa_A7,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_A9,npsf_A9,nfa_A9,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_C5,npsf_C5,nfa_C5,lumpSum_C6,npsf_C6,nfa_C6,lumpSum_C7,npsf_C7,nfa_C7,lumpSum_C8,npsf_C8,nfa_C8,lumpSum_change,npsf_change
2019-12-15,5898802.380952381,13013.42857142857,21,123874850.0,273282.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11385954.0,12087.0,942.0,5886087.0,12497.0,471.0,6087384.0,12897.0,472.0,4501090.0,14110.0,319.0,4519273.0,14167.0,319.0,6326688.0,13404.0,472.0,6332595.0,13445.0,471.0,5335612.0,11524.0,463.0,8566341.0,13839.0,619.0,5747142.0,12202.0,471.0,5768100.0,12818.0,450.0,4217778.0,12666.0,333.0,4397328.0,12528.0,351.0,4557735.0,12985.0,351.0,5574057.0,12039.0,463.0,8606576.0,13904.0,619.0,6715047.0,14257.0,471.0,6200100.0,13778.0,450.0,4355307.0,13079.0,333.0,4397328.0,12528.0,351.0,4397328.0,12528.0,351.0,-0.02990919461362329,-0.030165163140300044
2019-11-15,6080670.333333333,13418.190476190477,21,127694077.0,281782.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11747682.0,12471.0,942.0,6072603.0,12893.0,471.0,6281848.0,13309.0,472.0,4643683.0,14557.0,319.0,4662823.0,14617.0,319.0,6527760.0,13830.0,472.0,6534183.0,13873.0,471.0,5506922.0,11894.0,463.0,8713663.0,14077.0,619.0,5929890.0,12590.0,471.0,5950800.0,13224.0,450.0,4352976.0,13072.0,333.0,4537728.0,12928.0,351.0,4702698.0,13398.0,351.0,5752312.0,12424.0,463.0,8880174.0,14346.0,619.0,6929823.0,14713.0,471.0,6398550.0,14219.0,450.0,4492503.0,13491.0,333.0,4537728.0,12928.0,351.0,4537728.0,12928.0,351.0,-0.011392874630092309,-0.011388354828297476
2019-10-15,6150745.0,13572.761904761905,21,129165645.0,285028.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11883330.0,12615.0,942.0,6141369.0,13039.0,471.0,6354536.0,13463.0,472.0,4696318.0,14722.0,319.0,4716415.0,14785.0,319.0,6602808.0,13989.0,472.0,6609072.0,14032.0,471.0,5571742.0,12034.0,463.0,8813941.0,14239.0,619.0,5997714.0,12734.0,471.0,6018300.0,13374.0,450.0,4403925.0,13225.0,333.0,4590378.0,13078.0,351.0,4756401.0,13551.0,351.0,5819910.0,12570.0,463.0,8982309.0,14511.0,619.0,7010835.0,14885.0,471.0,6472800.0,14384.0,450.0,4542786.0,13642.0,333.0,4590378.0,13078.0,351.0,4590378.0,13078.0,351.0,-0.0018474751581117888,-0.001845528882351899
2019-9-15,6162129.380952381,13597.857142857143,21,129404717.0,285555.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11904996.0,12638.0,942.0,6151731.0,13061.0,471.0,6367280.0,13490.0,472.0,4703974.0,14746.0,319.0,4725028.0,14812.0,319.0,6615080.0,14015.0,472.0,6621318.0,14058.0,471.0,5583317.0,12059.0,463.0,8830035.0,14265.0,619.0,6008547.0,12757.0,471.0,6028200.0,13396.0,450.0,4413249.0,13253.0,333.0,4599153.0,13103.0,351.0,4764825.0,13575.0,351.0,5831485.0,12595.0,463.0,8998403.0,14537.0,619.0,7024494.0,14914.0,471.0,6485850.0,14413.0,450.0,4549446.0,13662.0,333.0,4599153.0,13103.0,351.0,4599153.0,13103.0,351.0,-0.049054925489224965,-0.049053399270692744
2019-8-15,6480005.571428572,14299.285714285714,21,136080117.0,300285.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",12518238.0,13289.0,942.0,6467772.0,13732.0,471.0,6696264.0,14187.0,472.0,4945776.0,15504.0,319.0,4968425.0,15575.0,319.0,6955863.999999999,14737.0,472.0,6962321.999999999,14782.0,471.0,5873155.0,12685.0,463.0,9285619.0,15001.0,619.0,6318465.0,13415.0,471.0,6338250.0,14085.0,450.0,4642020.0,13940.0,333.0,4836780.0,13780.0,351.0,5010174.0,14274.0,351.0,6133361.0,13247.0,463.0,9462653.0,15287.0,619.0,7388106.0,15686.0,471.0,6821100.0,15158.0,450.0,4782213.0,14361.0,333.0,4836780.0,13780.0,351.0,4836780.0,13780.0,351.0,0.02483263434832228,0.024835499372030778
2019-7-15,6322989.095238095,13952.761904761905,21,132782771.0,293008.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",12214914.0,12967.0,942.0,6309516.0,13396.0,471.0,6534840.0,13845.0,472.0,4825194.0,15126.0,319.0,4847843.0,15197.0,319.0,6787360.0,14380.0,472.0,6793233.0,14423.0,471.0,5732403.0,12381.0,463.0,9060303.0,14637.0,619.0,6164919.0,13089.0,471.0,6183450.0,13741.0,450.0,4530465.0,13605.0,333.0,4719897.0,13447.0,351.0,4888377.0,13927.0,351.0,5986127.0,12929.0,463.0,9233004.0,14916.0,619.0,7210068.0,15308.0,471.0,6656400.0,14792.0,450.0,4664664.0,14008.0,333.0,4719897.0,13447.0,351.0,4719897.0,13447.0,351.0,0.002170592200721355,0.0021753109052851105
2019-6-15,6309294.19047619,13922.47619047619,21,132495178.0,292372.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",12188538.0,12939.0,942.0,6294915.0,13365.0,471.0,6521624.0,13817.0,472.0,4813710.0,15090.0,319.0,4836997.0,15163.0,319.0,6772256.0,14348.0,472.0,6778161.0,14391.0,471.0,5721754.0,12358.0,463.0,9040495.0,14605.0,619.0,6151260.0,13060.0,471.0,6168600.0,13708.0,450.0,4521807.0,13579.0,333.0,4710069.0,13419.0,351.0,4877145.0,13895.0,351.0,5974089.0,12903.0,463.0,9212577.0,14883.0,619.0,7195466.999999999,15277.0,471.0,6642900.0,14762.0,450.0,4652676.0,13972.0,333.0,4710069.0,13419.0,351.0,4710069.0,13419.0,351.0,-0.00815280901534321,-0.008407636399401675
2019-5-15,6361155.476190476,14040.52380952381,21,133584265.0,294851.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",12300636.0,13058.0,942.0,6351435.0,13485.0,471.0,6582512.0,13946.0,472.0,4857094.0,15226.0,319.0,4881338.0,15302.0,319.0,6834088.0,14479.0,472.0,6840333.0,14523.0,471.0,5775925.0,12475.0,463.0,9123441.0,14739.0,619.0,6207780.0,13180.0,471.0,6223950.0,13831.0,450.0,4564431.0,13707.0,333.0,4753593.0,13543.0,351.0,4921722.0,14022.0,351.0,6030575.0,13025.0,463.0,9166771.0,14809.0,619.0,7262820.000000001,15420.0,471.0,6705000.0,14900.0,450.0,4693635.0,14095.0,333.0,4753593.0,13543.0,351.0,4753593.0,13543.0,351.0,0.04156996150126968,0.041570846712801535
2019-4-15,6107276.238095238,13480.142857142857,21,128252801.0,283083.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11808912.0,12536.0,942.0,6096624.0,12944.0,471.0,6320552.0,13391.0,472.0,4662185.0,14615.0,319.0,4686429.0,14691.0,319.0,6561272.0,13901.0,472.0,6567153.0,13943.0,471.0,5546740.0,11980.0,463.0,8759469.0,14151.0,619.0,5959563.0,12653.0,471.0,5974650.0,13277.0,450.0,4383279.0,13163.0,333.0,4564404.0,13004.0,351.0,4724811.0,13461.0,351.0,5790741.0,12507.0,463.0,8800942.0,14218.0,619.0,6973626.0,14806.0,471.0,6438150.0,14307.0,450.0,4504491.0,13527.0,333.0,4564404.0,13004.0,351.0,4564404.0,13004.0,351.0,0.014223628096580399,0.012674393646705306
2019-3-15,6021626.857142857,13311.42857142857,21,126454164.0,279540.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11442474.0,12147.0,942.0,6043401.0,12831.0,471.0,6267216.0,13278.0,472.0,4621353.0,14487.0,319.0,4645916.0,14564.0,319.0,6504632.0,13781.0,472.0,6510633.0,13823.0,471.0,5500903.0,11881.0,463.0,8510012.0,13748.0,619.0,5908224.0,12544.0,471.0,5922000.0,13160.0,450.0,4346649.0,13053.0,333.0,4525443.0,12893.0,351.0,4683744.0,13344.0,351.0,5742126.0,12402.0,463.0,8725424.0,14096.0,619.0,6655230.0,14130.0,471.0,6383700.0,14186.0,450.0,4464198.0,13406.0,333.0,4525443.0,12893.0,351.0,4525443.0,12893.0,351.0,0.05602991640501931,0.05057444481609119
2019-2-15,5702136.619047619,12670.619047619048,21,119744869.0,266083.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",10183020.0,10810.0,942.0,5796597.0,12307.0,471.0,6013280.0,12740.0,472.0,4432824.0,13896.0,319.0,4457068.0,13972.0,319.0,6240312.0,13221.0,472.0,6245460.0,13260.0,471.0,5279126.0,11402.0,463.0,7782687.0,12573.0,619.0,5668014.0,12034.0,471.0,5680350.0,12623.0,450.0,4171158.0000000005,12526.0,333.0,4341870.0,12370.0,351.0,4493151.0,12801.0,351.0,5510163.0,11901.0,463.0,7975196.0,12884.0,619.0,6384405.0,13555.0,471.0,6125400.0,13612.0,450.0,4281048.0,12856.0,333.0,4341870.0,12370.0,351.0,4341870.0,12370.0,351.0,-0.00016195982865196967,-0.0008111183293966207
