,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_G1,npsf_G1,nfa_G1,lumpSum_G2,npsf_G2,nfa_G2,lumpSum_P1,npsf_P1,nfa_P1,lumpSum_P2,npsf_P2,nfa_P2,lumpSum_P5,npsf_P5,nfa_P5,lumpSum_change,npsf_change
2019-12-15,101213978.2,32304.6,5,506069891.0,161523.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",103906101.0,32279.0,3219.0,100676106.0,31719.0,3174.0,109586628.0,32499.0,3372.0,93034680.0,31580.0,2946.0,98866376.0,33446.0,2956.0,0.16912599940692385,0.16912642862829963
2019-11-15,86572344.0,27631.4,5,432861720.0,138157.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",88876590.00000001,27610.0,3219.0,86110620.0,27130.0,3174.0,93734856.0,27798.0,3372.0,79574406.0,27011.0,2946.0,84565248.0,28608.0,2956.0,0.026380803083756676,0.02638069625425321
2019-10-15,84347197.2,26921.2,5,421735986.0,134606.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",86591099.99999999,26900.0,3219.0,83895168.0,26432.0,3174.0,91327248.0,27084.0,3372.0,77529882.0,26317.0,2946.0,82392588.0,27873.0,2956.0,0.04381378924305013,0.04381339371568593
2019-9-15,80806747.4,25791.2,5,404033737.0,128956.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",82956849.00000001,25771.0,3219.0,80372028.0,25322.0,3174.0,87493284.0,25947.0,3372.0,74274552.0,25212.0,2946.0,78937024.0,26704.0,2956.0,1.1124060943975533,1.1124051959965273
2019-8-15,38253415.2,12209.4,5,191267076.0,61047.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",39271800.0,12200.0,3219.0,38046738.0,11987.0,3174.0,41418276.0,12283.0,3372.0,35160510.0,11935.0,2946.0,37369752.0,12642.0,2956.0,-0.5240818797706999,-0.5240816390170887
2019-7-15,80378144.0,25654.4,5,401890720.0,128272.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",82515846.0,25634.0,3219.0,79943538.0,25187.0,3174.0,87031320.0,25810.0,3372.0,73879788.0,25078.0,2946.0,78520228.0,26563.0,2956.0,-0.2411557516504219,-0.241155730140325
2019-6-15,105921793.8,33807.2,5,529608969.0,169036.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",108741039.0,33781.0,3219.0,105348234.0,33191.0,3174.0,114688464.0,34012.0,3372.0,97359408.0,33048.0,2946.0,103471824.0,35004.0,2956.0,1.7689499943001166,1.768948515078546
2019-5-15,38253415.2,12209.4,5,191267076.0,61047.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",39271800.0,12200.0,3219.0,38046738.0,11987.0,3174.0,41418276.0,12283.0,3372.0,35160510.0,11935.0,2946.0,37369752.0,12642.0,2956.0,-0.6271144415555883,-0.6271141923464558
2019-4-15,102587548.2,32743.0,5,512937741.0,163715.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",105316023.0,32717.0,3219.0,102031404.0,32146.0,3174.0,111080424.0,32942.0,3372.0,94292622.0,32007.0,2946.0,100217268.0,33903.0,2956.0,-0.11127755493529257,-0.11127818732561046
2019-3-15,115432606.4,36842.8,5,577163032.0,184214.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",118504266.0,36814.0,3219.0,114803580.0,36170.0,3174.0,124986552.00000001,37066.0,3372.0,106100190.0,36015.0,2946.0,112768444.0,38149.0,2956.0,0.3123325007620692,0.31206552706552726
2019-2-15,87959877.8,28080.0,5,439799389.0,140400.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",90109467.0,27993.0,3219.0,86958078.0,27397.0,3174.0,94969008.00000001,28164.0,3372.0,80702724.0,27394.0,2946.0,87060112.0,29452.0,2956.0,-0.1300845759336512,-0.1300845751107531
2019-1-15,101113137.4,32279.0,5,505565687.0,161395.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",103584201.0,32179.0,3219.0,99958782.0,31493.0,3174.0,109171872.0,32376.0,3372.0,92769540.0,31490.0,2946.0,100081292.0,33857.0,2956.0,-0.09513665333952559,-0.0953245777770303
2018-12-15,111744096.8,35680.2,5,558720484.0,178401.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",113888220.0,35380.0,3219.0,109118946.0,34379.0,3174.0,120889571.99999999,35851.0,3372.0,102064170.0,34645.0,2946.0,112759576.0,38146.0,2956.0,1.9219233899670614,1.9219241352201255
2018-11-15,38243335.6,12211.2,5,191216678.0,61056.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",38975652.0,12108.0,3219.0,37345284.0,11766.0,3174.0,41374440.0,12270.0,3372.0,34930722.0,11857.0,2946.0,38590580.0,13055.0,2956.0,-0.6486535637623656,-0.6480252728184611
2018-10-15,108847939.4,34693.4,5,544239697.0,173467.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",116627588.99999999,36231.0,3219.0,106176648.0,33452.0,3174.0,121563972.0,36051.0,3372.0,102302796.0,34726.0,2946.0,97568692.0,33007.0,2956.0,-0.14417161882113583,-0.14417161266768308
2018-9-15,127184306.8,40537.8,5,635921534.0,202689.0,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",136273146.0,42334.0,3219.0,124065311.99999999,39088.0,3174.0,142042128.0,42124.0,3372.0,119536896.0,40576.0,2946.0,114004052.0,38567.0,2956.0,,
2018-8-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2018-7-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2018-6-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2018-5-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2018-4-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2018-3-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2018-2-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2018-1-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-12-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-11-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-10-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-9-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-8-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-7-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-6-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-5-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-4-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-3-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-2-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2017-1-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2016-12-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2016-11-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
2016-10-15,,,5,,,15667,"MOUNT PAVILIA(Block B),CLEAR WATER BAY RD|傲瀧B座,清水灣道",,,3219.0,,,3174.0,,,3372.0,,,2946.0,,,2956.0,,
