,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_25,npsf_25,nfa_25,lumpSum_26,npsf_26,nfa_26,lumpSum_27,npsf_27,nfa_27,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,4694515.130434782,14538.869565217392,23,107973848.0,334394.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",6021940.0,14270.0,422.0,3301755.0,15357.0,215.0,3261456.0,15312.0,213.0,3157578.0,15254.0,207.0,3165445.0,14723.0,215.0,5293568.0,13504.0,392.0,4668768.0,13416.0,348.0,4829724.0,14122.0,342.0,6576935.0,13505.0,487.0,5324021.0,15343.0,347.0,5122300.0,14150.0,362.0,4506840.0,14445.0,312.0,4762344.0,13764.0,346.0,5118372.0,14966.0,342.0,5235720.0,15176.0,345.0,4795419.0,14939.0,321.0,4322586.0,13466.0,321.0,5823350.0,13702.0,425.0,4508630.0,15547.0,290.0,4288230.0,14787.0,290.0,4624391.0,14317.0,323.0,3332004.0,15717.0,212.0,5932472.0,14612.0,406.0,-0.030821193268729896,-0.030817878021140332
2019-11-15,4843807.043478261,15001.173913043478,23,111407562.0,345027.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",6213106.0,14723.0,422.0,3406890.0,15846.0,215.0,3365613.0,15801.0,213.0,3257766.0,15738.0,207.0,3265850.0,15190.0,215.0,5462520.0,13935.0,392.0,4818060.0,13845.0,348.0,4983282.0,14571.0,342.0,6786832.0,13936.0,487.0,5494051.0,15833.0,347.0,5285562.0,14601.0,362.0,4650360.0,14905.0,312.0,4913546.0,14201.0,346.0,5281506.0,15443.0,342.0,5401665.0,15657.0,345.0,4947894.0,15414.0,321.0,4459974.0,13894.0,321.0,6007375.0,14135.0,425.0,4651020.0,16038.0,290.0,4425110.0,15259.0,290.0,4771356.0,14772.0,323.0,3437368.0,16214.0,212.0,6120856.0,15076.0,406.0,-0.011348408560456713,-0.011344294613537476
2019-10-15,4899407.521739131,15173.304347826086,23,112686373.0,348986.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",6283580.0,14890.0,422.0,3446235.0,16029.0,215.0,3404805.0,15985.0,213.0,3295026.0,15918.0,207.0,3303045.0,15363.0,215.0,5525632.0,14096.0,392.0,4874436.0,14007.0,348.0,5040738.0,14739.0,342.0,6865726.0,14098.0,487.0,5557899.0,16017.0,347.0,5346740.0,14770.0,362.0,4704024.0,15077.0,312.0,4969598.0,14363.0,346.0,5342382.0,15621.0,342.0,5463075.0,15835.0,345.0,5004069.0,15589.0,321.0,4511334.0,14054.0,321.0,6075375.0,14295.0,425.0,4703220.0,16218.0,290.0,4476150.0,15435.0,290.0,4825620.0,14940.0,323.0,3476164.0,16397.0,212.0,6191500.0,15250.0,406.0,-0.0024948346087805273,-0.0024411159387148773
2019-9-15,4911661.304347826,15210.434782608696,23,112968210.0,349840.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",6294552.0,14916.0,422.0,3452470.0,16058.0,215.0,3411408.0,16016.0,213.0,3301029.0,15947.0,207.0,3308635.0,15389.0,215.0,5535824.0,14122.0,392.0,4884180.0,14035.0,348.0,5049972.0,14766.0,342.0,6879362.0,14126.0,487.0,5646731.0,16273.0,347.0,5356876.0,14798.0,362.0,4712448.0,15104.0,312.0,4978248.0,14388.0,346.0,5352642.0,15651.0,342.0,5472045.0,15861.0,345.0,5013057.0,15617.0,321.0,4519680.0,14080.0,321.0,6085575.0,14319.0,425.0,4710760.0,16244.0,290.0,4484560.0,15464.0,290.0,4834018.0,14966.0,323.0,3481676.0,16423.0,212.0,6202462.0,15277.0,406.0,-0.048359013291114805,-0.04840139921770026
2019-8-15,5161254.478260869,15984.08695652174,23,118708853.0,367634.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",6618226.0,15683.0,422.0,3630705.0000000005,16887.0,215.0,3587772.0,16844.0,213.0,3470976.0,16768.0,207.0,3478915.0000000005,16181.0,215.0,5821592.0,14851.0,392.0,5137176.0,14762.0,348.0,5310576.0,15528.0,342.0,7234871.999999999,14856.0,487.0,5856666.0,16878.0,347.0,5633444.0,15562.0,362.0,4955496.0,15883.0,312.0,5234288.0,15128.0,346.0,5628636.0,16458.0,342.0,5753565.0,16677.0,345.0,5270820.0,16420.0,321.0,4752726.0,14806.0,321.0,6398375.0,15055.0,425.0,4952330.0,17077.0,290.0,4716270.0,16263.0,290.0,5083051.0,15737.0,323.0,3660392.0,17266.0,212.0,6521984.0,16064.0,406.0,0.024870739076646498,0.024875178068138437
2019-7-15,5036005.304347826,15596.130434782608,23,115828122.0,358711.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",6457444.0,15302.0,422.0,3542770.0,16478.0,215.0,3501294.0,16438.0,213.0,3386520.0,16360.0,207.0,3394205.0,15787.0,215.0,5680864.0,14492.0,392.0,5013288.0,14406.0,348.0,5181642.0,15151.0,342.0,7060038.999999999,14497.0,487.0,5715437.0,16471.0,347.0,5496970.0,15185.0,362.0,4835376.0,15498.0,312.0,5106960.0,14760.0,346.0,5492520.0,16060.0,342.0,5613150.0,16270.0,345.0,5142741.0,16021.0,321.0,4637487.0,14447.0,321.0,6241975.0,14687.0,425.0,4831110.0,16659.0,290.0,4602010.0,15869.0,290.0,4959342.0,15354.0,323.0,3570928.0,16844.0,212.0,6364050.0,15675.0,406.0,0.002220721082806909,0.0022239917298800815
2019-6-15,5024846.521739131,15561.521739130434,23,115571470.0,357915.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",6442252.0,15266.0,422.0,3535030.0,16442.0,215.0,3494052.0,16404.0,213.0,3379068.0,16324.0,207.0,3386465.0,15751.0,215.0,5668712.0,14461.0,392.0,5003544.0,14378.0,348.0,5170356.0,15118.0,342.0,7045428.999999999,14467.0,487.0,5703639.0,16437.0,347.0,5485386.0,15153.0,362.0,4824768.0,15464.0,312.0,5095196.0,14726.0,346.0,5480550.0,16025.0,342.0,5600040.0,16232.0,345.0,5130864.0,15984.0,321.0,4627536.0,14416.0,321.0,6227100.0,14652.0,425.0,4819220.0,16618.0,290.0,4592150.0,15835.0,290.0,4948037.0,15319.0,323.0,3562236.0,16803.0,212.0,6349840.0,15640.0,406.0,-0.009741901082177096,-0.0096923783541496
2019-5-15,5074279.652173913,15713.826086956522,23,116708432.0,361418.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",6500910.0,15405.0,422.0,3567495.0,16593.0,215.0,3526641.0000000005,16557.0,213.0,3409911.0,16473.0,207.0,3417210.0,15894.0,215.0,5720848.0,14594.0,392.0,5050524.0,14513.0,348.0,5217894.0,15257.0,342.0,7111174.0,14602.0,487.0,5834111.0,16813.0,347.0,5536066.0,15293.0,362.0,4869384.0,15607.0,312.0,5141560.0,14860.0,346.0,5531166.0,16173.0,342.0,5650410.0,16378.0,345.0,5177730.0,16130.0,321.0,4669908.0,14548.0,321.0,6283200.0,14784.0,425.0,4862430.0,16767.0,290.0,4634780.0,15982.0,290.0,4992934.0,15458.0,323.0,3594248.0000000005,16954.0,212.0,6407898.0,15783.0,406.0,0.04231946212342286,0.042277323089878305
2019-4-15,4868257.608695652,15076.434782608696,23,111969925.0,346758.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",6240536.0,14788.0,422.0,3425165.0,15931.0,215.0,3386274.0,15898.0,213.0,3273498.0,15814.0,207.0,3280255.0,15257.0,215.0,5492704.0,14012.0,392.0,4849728.0,13936.0,348.0,5009616.0,14648.0,342.0,6828227.0,14021.0,487.0,5527363.0,15929.0,347.0,5315246.0,14683.0,362.0,4674696.0,14983.0,312.0,4935690.0,14265.0,346.0,5310576.0,15528.0,342.0,5424090.0,15722.0,345.0,4970364.0,15484.0,321.0,4483407.0,13967.0,321.0,6031175.0,14191.0,425.0,4666970.0,16093.0,290.0,4449760.0,15344.0,290.0,4792997.0,14839.0,323.0,3449876.0,16273.0,212.0,6151712.0,15152.0,406.0,0.009232150392041394,0.009452390170911595
2019-3-15,4823724.260869565,14935.260869565218,23,110945658.0,343511.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",6186520.0,14660.0,422.0,3395925.0,15795.0,215.0,3357519.0,15763.0,213.0,3245139.0,15677.0,207.0,3204360.0,14904.0,215.0,5445664.0,13892.0,392.0,4809012.0,13819.0,348.0,4966866.0,14523.0,342.0,6770274.0,13902.0,487.0,5480518.0,15794.0,347.0,5269996.0,14558.0,362.0,4634760.0,14855.0,312.0,4892786.0,14141.0,346.0,5265090.0,15395.0,342.0,5376480.0,15584.0,345.0,4927350.0,15350.0,321.0,4444887.0,13847.0,321.0,5978050.0,14066.0,425.0,4625790.0,15951.0,290.0,4411770.0,15213.0,290.0,4738410.0,14670.0,323.0,3419560.0,16130.0,212.0,6098932.0,15022.0,406.0,0.04252271240352257,0.04260110782305193
2019-2-15,4626972.826086956,14325.0,23,106420375.0,329475.0,7483,"SEACOAST ROYALE,THE ROYALE,CASTLE PEAK RD CASTLE PEAK BAY|帝御•金灣(帝御),青山公路青山灣段",5934164.0,14062.0,422.0,3257895.0,15153.0,215.0,3221412.0,15124.0,213.0,3099411.0,14973.0,207.0,3074070.0,14298.0,215.0,5224576.0,13328.0,392.0,4614480.0,13260.0,348.0,4764744.0,13932.0,342.0,6496093.0,13339.0,487.0,5258438.0,15154.0,347.0,5056054.0,13967.0,362.0,4446312.0,14251.0,312.0,4693490.0,13565.0,346.0,5051340.0,14770.0,342.0,5157060.0,14948.0,345.0,4726404.0,14724.0,321.0,4264485.0,13285.0,321.0,5734100.0,13492.0,425.0,4436710.0,15299.0,290.0,4232840.0,14596.0,290.0,4545579.0,14073.0,323.0,3279852.0,15471.0,212.0,5850866.0,14411.0,406.0,-0.002967823237404743,-0.003291354446807393
