,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_F.P.,npsf_F.P.,nfa_F.P.,lumpSum_change,npsf_change
2019-12-15,3488100.0,9966.0,1,3488100.0,9966.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3488100.0,9966.0,350.0,0.03146346512109299,0.03146346512109299
2019-11-15,3381700.0,9662.0,1,3381700.0,9662.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3381700.0,9662.0,350.0,-0.0064781491002571245,-0.0064781491002571245
2019-10-15,3403750.0,9725.0,1,3403750.0,9725.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3403750.0,9725.0,350.0,-0.0799432355723746,-0.0799432355723746
2019-9-15,3699500.0,10570.0,1,3699500.0,10570.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3699500.0,10570.0,350.0,0.07549857549857553,0.07549857549857553
2019-8-15,3439800.0,9828.0,1,3439800.0,9828.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3439800.0,9828.0,350.0,0.06977250462610218,0.06977250462610218
2019-7-15,3215450.0,9187.0,1,3215450.0,9187.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3215450.0,9187.0,350.0,-0.0418231122236129,-0.0418231122236129
2019-6-15,3355800.0,9588.0,1,3355800.0,9588.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3355800.0,9588.0,350.0,-0.09487397337864623,-0.09487397337864623
2019-5-15,3707550.0,10593.0,1,3707550.0,10593.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3707550.0,10593.0,350.0,0.034270650263620306,0.034270650263620306
2019-4-15,3584700.0,10242.0,1,3584700.0,10242.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3584700.0,10242.0,350.0,0.05587628865979388,0.05587628865979388
2019-3-15,3395000.0,9700.0,1,3395000.0,9700.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3395000.0,9700.0,350.0,0.022451776114683186,0.022451776114683186
2019-2-15,3320450.0,9487.0,1,3320450.0,9487.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3320450.0,9487.0,350.0,-0.022361912613355295,-0.022361912613355295
2019-1-15,3396400.0,9704.0,1,3396400.0,9704.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3396400.0,9704.0,350.0,0.03157223344318072,0.03157223344318072
2018-12-15,3292450.0,9407.0,1,3292450.0,9407.0,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",3292450.0,9407.0,350.0,,
2018-11-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-10-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-9-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-8-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-7-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-6-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-5-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-4-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-3-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-2-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2018-1-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-12-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-11-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-10-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-9-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-8-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
2017-7-15,,,1,,,350,"MEI KING MANSION(Phase 1),LOK SHAN RD|美景樓1期,落山道",,,350.0,,
