,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,12990052.285714285,22833.0,7,90930366.0,159831.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10285509.0,20287.0,507.0,10399432.0,20716.0,502.0,14849730.0,21870.0,679.0,30338948.0,34204.0,887.0,9575967.0,21139.0,453.0,7772940.0,20895.0,372.0,7707840.0,20720.0,372.0,-0.017559213535816576,-0.017373983289990624
2019-11-15,13222224.142857144,23236.714285714286,7,92555569.0,162657.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10462959.0,20637.0,507.0,10580152.0,21076.0,502.0,15107071.0,22249.0,679.0,30913724.000000004,34852.0,887.0,9742671.0,21507.0,453.0,7907604.0,21257.0,372.0,7841388.0,21079.0,372.0,0.026840244110782008,0.027127891336882204
2019-10-15,12876612.714285715,22623.0,7,90136289.0,158361.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10128339.0,19977.0,507.0,10305056.0,20528.0,502.0,14714609.0,21671.0,679.0,30158886.999999996,34001.0,887.0,9490350.0,20950.0,453.0,7701516.0,20703.0,372.0,7637532.0,20531.0,372.0,-0.02922477897745479,-0.029043887723945172
2019-9-15,13264257.714285715,23299.714285714286,7,92849804.0,163098.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10425948.0,20564.0,507.0,10609770.0,21135.0,502.0,15149169.0,22311.0,679.0,31099994.0,35062.0,887.0,9771663.0,21571.0,453.0,7929552.0,21316.0,372.0,7863708.0,21139.0,372.0,-0.032328397565481004,-0.03262197653590204
2019-8-15,13707395.857142856,24085.428571428572,7,95951771.0,168598.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10757019.0,21217.0,507.0,10947616.0,21808.0,502.0,15631938.0,23022.0,679.0,32143993.0,36239.0,887.0,10084233.0,22261.0,453.0,8271048.0,22234.0,372.0,8115924.0,21817.0,372.0,0.0016146000749897027,0.0018063626748427986
2019-7-15,13685299.57142857,24042.0,7,95797097.0,168294.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10732176.0,21168.0,507.0,10924022.0,21761.0,502.0,15597988.0,22972.0,679.0,32127140.0,36220.0,887.0,10063395.0,22215.0,453.0,8252448.0,22184.0,372.0,8099928.0,21774.0,372.0,0.002209384184244323,0.002400366904717899
2019-6-15,13655130.142857144,23984.428571428572,7,95585911.0,167891.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10701249.0,21107.0,507.0,10893902.0,21701.0,502.0,15555211.0,22909.0,679.0,32090773.0,36179.0,887.0,10036668.0,22156.0,453.0,8229012.0,22121.0,372.0,8079096.0,21718.0,372.0,-0.008534868729286549,-0.009223742136509006
2019-5-15,13772678.142857144,24207.714285714286,7,96408747.0,169454.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10799607.0,21301.0,507.0,10995808.0,21904.0,502.0,15910328.0,23432.0,679.0,32110287.0,36201.0,887.0,10131345.0,22365.0,453.0,8305272.000000001,22326.0,372.0,8156100.000000001,21925.0,372.0,0.0179868073065943,0.018108627733717908
2019-4-15,13529328.714285715,23777.14285714286,7,94705301.0,166440.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10603905.0,20915.0,507.0,10797518.0,21509.0,502.0,15622432.0,23008.0,679.0,31565669.0,35587.0,887.0,9950145.0,21965.0,453.0,8154984.0,21922.0,372.0,8010648.0,21534.0,372.0,0.028455342955943763,0.02722986150541895
2019-3-15,13154998.714285715,23146.85714285714,7,92084991.0,162028.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10344828.0,20404.0,507.0,10535474.0,20987.0,502.0,15242191.999999998,22448.0,679.0,30485303.0,34369.0,887.0,9709602.0,21434.0,453.0,7949640.0,21370.0,372.0,7817952.0,21016.0,372.0,-0.020855893780871715,-0.012728724020058868
2019-2-15,13435201.857142856,23445.285714285714,7,94046413.0,164117.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10106538.000000002,19934.0,507.0,10294012.0,20506.0,502.0,17802701.0,26219.0,679.0,30757612.0,34676.0,887.0,9678798.0,21366.0,453.0,7766988.0,20879.0,372.0,7639764.0,20537.0,372.0,0.016282185590362763,0.01633648957449574
