,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,8889680.166666666,15645.166666666666,6,53338081.0,93871.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11118016.0,15106.0,736.0,7772376.0,15927.0,488.0,7519050.0,15345.0,490.0,11059731.0,15297.0,723.0,7878212.0,15788.0,499.0,7990696.0,16408.0,487.0,-0.014755500028834412,-0.014767312496064111
2019-11-15,9022816.333333334,15879.666666666666,6,54136898.0,95278.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11282880.0,15330.0,736.0,7889008.0,16166.0,488.0,7632240.0,15576.0,490.0,11225298.0,15526.0,723.0,7996974.000000001,16026.0,499.0,8110498.000000001,16654.0,487.0,0.07936066207557868,0.07876948857010224
2019-10-15,8359408.166666667,14720.166666666666,6,50156449.0,88321.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",10420288.0,14158.0,736.0,7456152.0,15279.0,488.0,7045710.0,14379.0,490.0,10363482.0,14334.0,723.0,7382705.0,14795.0,499.0,7488112.0,15376.0,487.0,-0.08898586395020414,-0.08897645105057406
2019-9-15,9175936.833333334,16157.833333333334,6,55055621.0,96947.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11440384.0,15544.0,736.0,8184247.999999999,16771.0,488.0,7733670.000000001,15783.0,490.0,11374959.0,15733.0,723.0,8103261.0,16239.0,499.0,8219099.0,16877.0,487.0,-0.0036372846286881755,-0.0036279547790338817
2019-8-15,9209434.166666666,16216.666666666666,6,55256605.0,97300.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11483808.0,15603.0,736.0,8213528.0,16831.0,488.0,7762090.0,15841.0,490.0,11416170.0,15790.0,723.0,8132203.0,16297.0,499.0,8248806.0,16938.0,487.0,0.00990742403411149,0.009922776716764892
2019-7-15,9119087.5,16057.333333333334,6,54714525.0,96344.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11373408.0,15453.0,736.0,8132520.0,16665.0,488.0,7685650.0,15685.0,490.0,11304105.0,15635.0,723.0,8051365.0,16135.0,499.0,8167477.0,16771.0,487.0,-0.03650312206339135,-0.0364925544788135
2019-6-15,9464574.0,16665.5,6,56787444.0,99993.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11806176.0,16041.0,736.0,8439960.0,17295.0,488.0,7976710.0,16279.0,490.0,11732121.0,16227.0,723.0,8355754.999999999,16745.0,499.0,8476722.0,17406.0,487.0,0.01118502169391311,0.011194709058916397
2019-5-15,9359883.5,16481.0,6,56159301.0,98886.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11677376.0,15866.0,736.0,8346264.0,17103.0,488.0,7888020.0,16098.0,490.0,11601981.0,16047.0,723.0,8262442.000000001,16558.0,499.0,8383218.0,17214.0,487.0,0.021312489084996056,0.021328017682114453
2019-4-15,9164563.833333334,16136.833333333334,6,54987383.0,96821.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11435968.0,15538.0,736.0,8171071.999999999,16744.0,488.0,7723380.0,15762.0,490.0,11359776.0,15712.0,723.0,8089289.000000001,16211.0,499.0,8207898.0,16854.0,487.0,-0.01256588123279645,-0.012554562884999787
2019-3-15,9281190.166666666,16342.0,6,55687141.0,98052.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11583168.0,15738.0,736.0,8275016.0,16957.0,488.0,7821380.000000001,15962.0,490.0,11504376.0,15912.0,723.0,8191085.000000001,16415.0,499.0,8312116.0,17068.0,487.0,0.02024785729163714,0.020259091618542113
2019-2-15,9096995.5,16017.5,6,54581973.0,96105.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11355008.0,15428.0,736.0,8110072.0,16619.0,488.0,7666050.0,15645.0,490.0,11275908.0,15596.0,723.0,8027912.0,16088.0,499.0,8147023.000000001,16729.0,487.0,0.03726526782939055,0.0372796839753482
2019-1-15,8770172.666666666,15441.833333333334,6,52621036.0,92651.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",10949472.0,14877.0,736.0,7818248.0,16021.0,488.0,7390670.0,15083.0,490.0,10870305.0,15035.0,723.0,7738492.0,15508.0,499.0,7853849.0,16127.0,487.0,0.015217858530575334,0.015231040641676241
2018-12-15,8638710.0,15210.166666666666,6,51832260.0,91261.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",10787552.0,14657.0,736.0,7700640.0,15780.0,488.0,7279440.0,14856.0,490.0,10706907.0,14809.0,723.0,7621726.0,15274.0,499.0,7735995.0,15885.0,487.0,-0.008873835102268912,-0.008862147984838753
2018-11-15,8716054.833333334,15346.166666666666,6,52296329.0,92077.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",10886176.0,14791.0,736.0,7768960.0,15920.0,488.0,7344610.0,14989.0,490.0,10802343.0,14941.0,723.0,7689091.0,15409.0,499.0,7805149.0,16027.0,487.0,-0.01664300928512108,-0.016628575090244957
2018-10-15,8863571.333333334,15605.666666666666,6,53181428.0,93634.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11072384.0,15044.0,736.0,7899744.0,16188.0,488.0,7468580.0,15242.0,490.0,10985262.0,15194.0,723.0,7818332.0,15668.0,499.0,7937126.0,16298.0,487.0,-0.037996838318057,-0.0379837872825719
2018-9-15,9213661.333333334,16221.833333333334,6,55281968.0,97331.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11511776.0,15641.0,736.0,8211088.0,16826.0,488.0,7763560.000000001,15844.0,490.0,11419062.0,15794.0,723.0,8126215.000000001,16285.0,499.0,8250267.0,16941.0,487.0,-0.05684458730639885,-0.056833598201480595
2018-8-15,9768974.666666666,17199.333333333332,6,58613848.0,103196.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",12208032.0,16587.0,736.0,8705432.0,17839.0,488.0,8231020.000000001,16798.0,490.0,12106635.0,16745.0,723.0,8615235.0,17265.0,499.0,8747494.0,17962.0,487.0,0.003075479768802847,0.0030910398724703914
2018-7-15,9739022.5,17146.333333333332,6,58434135.0,102878.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",12173440.0,16540.0,736.0,8678104.0,17783.0,488.0,8205540.000000001,16746.0,490.0,12069039.0,16693.0,723.0,8587790.0,17210.0,499.0,8720222.0,17906.0,487.0,0.06620140416616027,0.06621480168723881
2018-6-15,9134317.833333334,16081.5,6,54805907.0,96489.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11419776.0,15516.0,736.0,8138863.999999999,16678.0,488.0,7695940.0,15706.0,490.0,11319288.0,15656.0,723.0,8053360.999999999,16139.0,499.0,8178678.000000001,16794.0,487.0,0.0263232721921578,0.02633678321083255
