,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_R,npsf_R,nfa_R,lumpSum_S,npsf_S,nfa_S,lumpSum_change,npsf_change
2019-12-15,7744349.352941177,16595.764705882353,17,131653939.0,282128.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12077070.0,15870.0,761.0,11243241.0,17113.0,657.0,7807059.0,16367.0,477.0,8346749.999999999,17950.0,465.0,6048279.0,16391.0,369.0,8577583.0,15511.0,553.0,8652288.0,16899.0,512.0,7536268.0,14662.0,514.0,7836521.0,14539.0,539.0,6826500.0,18500.0,369.0,8730510.0,18735.0,466.0,4927790.0,17170.0,287.0,6143324.0,16082.0,382.0,7495950.0,16225.0,462.0,6645376.0,17216.0,386.0,8112582.0,15814.0,513.0,4646848.0,17084.0,272.0,-0.014828331845368248,-0.014826764999615882
2019-11-15,7860913.588235294,16845.529411764706,17,133635531.0,286374.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12259710.0,16110.0,761.0,11412747.0,17371.0,657.0,7922970.0,16610.0,477.0,8471835.0,18219.0,465.0,6139422.0,16638.0,369.0,8706985.0,15745.0,553.0,8782336.0,17153.0,512.0,7649862.0,14883.0,514.0,7954562.0,14758.0,539.0,6929082.0,18778.0,369.0,8861922.0,19017.0,466.0,5002123.0,17429.0,287.0,6235386.0,16323.0,382.0,7609140.0,16470.0,462.0,6744964.0,17474.0,386.0,8235188.999999999,16053.0,513.0,4717296.0,17343.0,272.0,0.08315200967120773,0.08315398900861992
2019-10-15,7257442.647058823,15552.29411764706,17,123376525.0,264389.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",11319114.0,14874.0,761.0,10536966.0,16038.0,657.0,7313841.0,15333.0,477.0,7821300.0,16820.0,465.0,5668209.0,15361.0,369.0,8038961.0,14537.0,553.0,8108032.0,15836.0,512.0,7062874.0,13741.0,514.0,7343336.0,13624.0,539.0,6397353.0,17337.0,369.0,8181562.0,17557.0,466.0,4618117.0,16091.0,287.0,5755976.0,15068.0,382.0,7024710.0,15205.0,462.0,6226952.0,16132.0,386.0,7603686.0,14822.0,513.0,4355536.0,16013.0,272.0,-0.0889911813516544,-0.08899233674228846
2019-9-15,7966380.235294118,17071.529411764706,17,135428464.0,290216.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12425608.0,16328.0,761.0,11566485.0,17605.0,657.0,8026956.000000001,16828.0,477.0,8584830.0,18462.0,465.0,6222447.0,16863.0,369.0,8824221.0,15957.0,553.0,8899584.0,17382.0,512.0,7752662.0,15083.0,514.0,8060745.0,14955.0,539.0,7022439.0,19031.0,369.0,8980752.0,19272.0,466.0,5069568.0,17664.0,287.0,6317898.0,16539.0,382.0,7711242.0,16691.0,462.0,6834516.0,17706.0,386.0,8347023.0,16271.0,513.0,4781488.0,17579.0,272.0,-0.003653674240715943,-0.0036528426256523527
2019-8-15,7995593.529411765,17134.117647058825,17,135925090.0,291280.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12472029.0,16389.0,761.0,11609190.0,17670.0,657.0,8055099.0,16887.0,477.0,8615985.0,18529.0,465.0,6245325.0,16925.0,369.0,8857401.0,16017.0,553.0,8931840.0,17445.0,512.0,7780932.0,15138.0,514.0,8089851.000000001,15009.0,539.0,7048269.0,19101.0,369.0,9013838.0,19343.0,466.0,5088223.0,17729.0,287.0,6340436.0,16598.0,382.0,7739423.999999999,16752.0,462.0,6859220.0,17770.0,386.0,8378316.0,16332.0,513.0,4799712.0,17646.0,272.0,0.009891536494885278,0.009895085741230103
2019-7-15,7917279.470588235,16966.235294117647,17,134593751.0,288426.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12351030.0,16230.0,761.0,11496186.0,17498.0,657.0,7974963.000000001,16719.0,477.0,8531355.0,18347.0,465.0,6184440.0,16760.0,369.0,8770580.0,15860.0,553.0,8844288.0,17274.0,512.0,7704860.0,14990.0,514.0,8010618.0,14862.0,539.0,6979266.0,18914.0,369.0,8925298.0,19153.0,466.0,5038572.0,17556.0,287.0,6277406.0,16433.0,382.0,7663656.0,16588.0,462.0,6791284.0,17594.0,386.0,8296748.999999999,16173.0,513.0,4753200.0,17475.0,272.0,-0.036521758514184044,-0.036521367321510345
2019-6-15,8217393.117647059,17609.352941176472,17,139695683.0,299359.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12819806.0,16846.0,761.0,11932434.0,18162.0,657.0,8275949.999999999,17350.0,477.0,8854530.0,19042.0,465.0,6419124.0,17396.0,369.0,9103486.0,16462.0,553.0,9179136.0,17928.0,512.0,7996812.0,15558.0,514.0,8314075.0,15425.0,539.0,7243839.0,19631.0,369.0,9263614.0,19879.0,466.0,5229714.0,18222.0,287.0,6515010.0,17055.0,382.0,7954254.0,17217.0,462.0,7048360.0,18260.0,386.0,8611731.0,16787.0,513.0,4933808.0,18139.0,272.0,0.011160699970663268,0.0111635039553597
2019-5-15,8126693.529411765,17414.941176470587,17,138153790.0,296054.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12679782.0,16662.0,761.0,11801034.0,17962.0,657.0,8182934.999999999,17155.0,477.0,8756415.0,18831.0,465.0,6348276.0,17204.0,369.0,9003393.0,16281.0,553.0,9077760.0,17730.0,512.0,7908918.0,15387.0,514.0,8221906.0,15254.0,539.0,7163766.0,19414.0,369.0,9161094.0,19659.0,466.0,5172314.0,18022.0,287.0,6442430.0,16865.0,382.0,7866474.0,17027.0,462.0,6970002.0,18057.0,386.0,8517339.0,16603.0,513.0,4879952.0,17941.0,272.0,0.02130809396285316,0.021309037971277256
2019-4-15,7957142.0,17051.58823529412,17,135271414.0,289877.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12415715.0,16315.0,761.0,11555316.0,17588.0,657.0,8011215.0,16795.0,477.0,8573205.0,18437.0,465.0,6216174.0,16846.0,369.0,8815926.0,15942.0,553.0,8888320.0,17360.0,512.0,7743924.0,15066.0,514.0,8049965.0,14935.0,539.0,7014321.0,19009.0,369.0,8970034.0,19249.0,466.0,5064689.0,17647.0,287.0,6307202.0,16511.0,382.0,7702463.999999999,16672.0,462.0,6824094.0,17679.0,386.0,8340354.0,16258.0,513.0,4778496.0,17568.0,272.0,-0.01259304800799499,-0.012593077043607348
2019-3-15,8058624.647058823,17269.058823529413,17,136996619.0,293574.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12575525.0,16525.0,761.0,11703141.0,17813.0,657.0,8111862.000000001,17006.0,477.0,8682015.0,18671.0,465.0,6295878.0,17062.0,369.0,8928738.0,16146.0,553.0,9000960.0,17580.0,512.0,7842612.0,15258.0,514.0,8152375.000000001,15125.0,539.0,7103988.0,19252.0,369.0,9084670.0,19495.0,466.0,5129551.0,17873.0,287.0,6387040.0,16720.0,382.0,7800408.0,16884.0,462.0,6910558.0,17903.0,386.0,8447058.0,16466.0,513.0,4840240.0,17795.0,272.0,0.020236184100964838,0.020239791485664682
2019-2-15,7898783.411764706,16926.470588235294,17,134279318.0,287750.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12326678.0,16198.0,761.0,11471877.0,17461.0,657.0,7949681.999999999,16666.0,477.0,8509500.0,18300.0,465.0,6171156.0,16724.0,369.0,8751778.0,15826.0,553.0,8822272.0,17231.0,512.0,7686870.0,14955.0,514.0,7990674.999999999,14825.0,539.0,6963030.0,18870.0,369.0,8904328.0,19108.0,466.0,5027953.0,17519.0,287.0,6259834.0,16387.0,382.0,7646100.0,16550.0,462.0,6772756.0,17546.0,386.0,8280333.0,16141.0,513.0,4744496.0,17443.0,272.0,0.03725589022668552,0.03725839359224836
