,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,23112164.0,21036.5,4,92448656.0,84146.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",36840807.0,29879.0,1233.0,36840807.0,29879.0,1233.0,9478526.0,12262.0,773.0,9288516.0,12126.0,766.0,-0.020168116158856053,-0.020168145508745017
2019-11-15,23587887.25,21469.5,4,94351549.0,85878.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37599102.0,30494.0,1233.0,37599102.0,30494.0,1233.0,9674095.0,12515.0,773.0,9479250.0,12375.0,766.0,0.01723823394083479,0.017234639849330158
2019-10-15,23188164.25,21105.75,4,92752657.0,84423.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",36961641.0,29977.0,1233.0,36961641.0,29977.0,1233.0,9510219.0,12303.0,773.0,9319156.0,12166.0,766.0,-0.022722180539692882,-0.022983716973926316
2019-9-15,23727300.25,21602.25,4,94909201.0,86409.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37797615.0,30655.0,1233.0,37797615.0,30655.0,1233.0,9732843.0,12591.0,773.0,9581128.0,12508.0,766.0,-0.013184818564375922,-0.013179082489179206
2019-8-15,24044320.25,21890.75,4,96177281.0,87563.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",38303145.0,31065.0,1233.0,38303145.0,31065.0,1233.0,9862707.0,12759.0,773.0,9708284.0,12674.0,766.0,-0.0007075975716404059,-0.0007075606276747415
2019-7-15,24061346.0,21906.25,4,96245384.0,87625.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",38330271.0,31087.0,1233.0,38330271.0,31087.0,1233.0,9869664.0,12768.0,773.0,9715178.0,12683.0,766.0,0.01713666323458618,0.017133106594388714
2019-6-15,23655961.75,21537.25,4,94623847.0,86149.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37684179.0,30563.0,1233.0,37684179.0,30563.0,1233.0,9703469.0,12553.0,773.0,9552020.0,12470.0,766.0,-0.017550576152220554,-0.017685290763968076
2019-5-15,24078554.25,21925.0,4,96314217.0,87700.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",38345067.0,31099.0,1233.0,38345067.0,31099.0,1233.0,9888989.0,12793.0,773.0,9735094.0,12709.0,766.0,0.015593973036870601,0.0155870023392084
2019-4-15,23708839.25,21588.5,4,94835357.0,86354.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",37755693.0,30621.0,1233.0,37755693.0,30621.0,1233.0,9737481.0,12597.0,773.0,9586490.0,12515.0,766.0,0.025250849024724076,0.025253184845714483
2019-3-15,23124915.5,21056.75,4,92499662.0,84227.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",36826011.0,29867.0,1233.0,36826011.0,29867.0,1233.0,9497078.0,12286.0,773.0,9350562.0,12207.0,766.0,0.035542292306288914,0.03554391659289857
2019-2-15,22331213.0,20334.0,4,89324852.0,81336.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",35562186.0,28842.0,1233.0,35562186.0,28842.0,1233.0,9170872.0,11864.0,773.0,9029608.0,11788.0,766.0,0.00855058107739426,0.008543405210361232
2019-1-15,22141887.0,20161.75,4,88567548.0,80647.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",35260101.0,28597.0,1233.0,35260101.0,28597.0,1233.0,9093572.0,11764.0,773.0,8953774.0,11689.0,766.0,0.011715029419424594,0.011717034862569475
2018-12-15,21885497.75,19928.25,4,87541991.0,79713.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",34851978.0,28266.0,1233.0,34851978.0,28266.0,1233.0,8987671.0,11627.0,773.0,8850364.0,11554.0,766.0,-0.03713928025587354,-0.0371430642122047
2018-11-15,22729661.0,20697.0,4,90918644.0,82788.0,4005,"ONTOLO(Block 8A),FO YIN RD|朗濤8A座,科研路",36195948.0,29356.0,1233.0,36195948.0,29356.0,1233.0,9334748.0,12076.0,773.0,9192000.0,12000.0,766.0,-0.022284051000841965,-0.022285208148804303
