,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,10508390.0,12021.666666666666,3,31525170.0,36065.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9873591.0,12873.0,767.0,12721272.0,10001.0,1272.0,8930307.0,13191.0,677.0,-0.0003041722655144907,-0.0003049118527553851
2019-11-15,10511587.333333334,12025.333333333334,3,31534762.0,36076.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9876659.0,12877.0,767.0,12725088.0,10004.0,1272.0,8933015.0,13195.0,677.0,0.020144042126201356,0.020133469064585574
2019-10-15,10304022.666666666,11788.0,3,30912068.0,35364.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9681840.999999998,12623.0,767.0,12473232.0,9806.0,1272.0,8756995.0,12935.0,677.0,0.010740797609801955,0.010746541671430299
2019-9-15,10194525.333333334,11662.666666666666,3,30583576.0,34988.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9579063.0,12489.0,767.0,12340944.0,9702.0,1272.0,8663569.0,12797.0,677.0,-0.04971462146679184,-0.0510442093843233
2019-8-15,10727856.666666666,12290.0,3,32183570.0,36870.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",10125167.0,13201.0,767.0,12900624.0,10142.0,1272.0,9157779.0,13527.0,677.0,0.04110255605349833,0.041113683853843064
2019-7-15,10304322.666666666,11804.666666666666,3,30912968.0,35414.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9725560.0,12680.0,767.0,12391824.0,9742.0,1272.0,8795584.0,12992.0,677.0,-0.04417636335645492,-0.044182343256592316
2019-6-15,10780569.0,12350.333333333334,3,32341707.0,37051.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",10175022.0,13266.0,767.0,12964224.0,10192.0,1272.0,9202461.0,13593.0,677.0,0.00258186854780873,0.0025977540251658215
2019-5-15,10752806.666666666,12318.333333333334,3,32258420.0,36955.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",10145876.0,13228.0,767.0,12932424.0,10167.0,1272.0,9180120.0,13560.0,677.0,-0.0036782319777999284,-0.0036666576797604877
2019-4-15,10792504.0,12363.666666666666,3,32377512.0,37091.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",10183459.0,13277.0,767.0,12980760.0,10205.0,1272.0,9213293.0,13609.0,677.0,0.06056601955921814,0.06056100420324251
2019-3-15,10176173.666666666,11657.666666666666,3,30528521.0,34973.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9602073.0,12519.0,767.0,12239184.0,9622.0,1272.0,8687264.0,12832.0,677.0,0.038543675547727974,0.038544914625092686
2019-2-15,9798503.333333334,11225.0,3,29395510.0,33675.0,2716,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9245418.0,12054.0,767.0,11785080.0,9265.0,1272.0,8365012.0,12356.0,677.0,0.009097095357798013,0.00910970603218364
