,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6601268.25,13304.5,8,52810146.0,106436.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6515490.0,13434.0,485.0,6181236.0,15003.0,412.0,7710912.0,13387.0,576.0,6260600.0,13610.0,460.0,8604563.0,13057.0,659.0,5841358.0,12119.0,482.0,5573871.0,13177.0,423.0,6122116.0,12649.0,484.0,-0.0002818739205402432,-0.000272389987319821
2019-11-15,6603129.5,13308.125,8,52825036.0,106465.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6516460.0,13436.0,485.0,6182060.0,15005.0,412.0,7713792.0,13392.0,576.0,6261060.000000001,13611.0,460.0,8607858.0,13062.0,659.0,5843768.0,12124.0,482.0,5575986.0,13182.0,423.0,6124052.0,12653.0,484.0,0.020149468741473164,0.020160788033844135
2019-10-15,6472707.875,13045.125,8,51781663.0,104361.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6386965.0,13169.0,485.0,6058460.000000001,14705.0,412.0,7561728.0,13128.0,576.0,6136400.0,13340.0,460.0,8439154.0,12806.0,659.0,5729052.0,11886.0,482.0,5466852.0,12924.0,423.0,6003052.0,12403.0,484.0,0.010798802704520272,0.010809240156908428
2019-9-15,6403557.125,12905.625,8,51228457.0,103245.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6318095.0,13027.0,485.0,5992540.0,14545.0,412.0,7481088.0,12988.0,576.0,6070160.0,13196.0,460.0,8350189.0,12671.0,659.0,5668320.0,11760.0,482.0,5408901.0,12787.0,423.0,5939164.0,12271.0,484.0,-0.053935360545788846,-0.05392650966736923
2019-8-15,6768625.375,13641.25,8,54149003.0,109130.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6677480.0,13768.0,485.0,6332852.0,15371.0,412.0,7907903.999999999,13729.0,576.0,6415160.0,13946.0,460.0,8827305.0,13395.0,659.0,5992224.0,12432.0,482.0,5718114.0,13518.0,423.0,6277964.0,12971.0,484.0,0.04116620068093324,0.04117770526838016
2019-7-15,6501003.75,13101.75,8,52008030.0,104814.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6412670.0,13222.0,485.0,6081120.0,14760.0,412.0,7595712.0,13187.0,576.0,6160320.0,13392.0,460.0,8479353.0,12867.0,659.0,5756044.0,11942.0,482.0,5492655.0,12985.0,423.0,6030156.0,12459.0,484.0,-0.04412880978078715,-0.04412140225440486
2019-6-15,6801129.5,13706.5,8,54409036.0,109652.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6707550.0,13830.0,485.0,6360868.0,15439.0,412.0,7947072.0,13797.0,576.0,6443679.999999999,14008.0,460.0,8871458.0,13462.0,659.0,6022590.0,12495.0,482.0,5746878.0,13586.0,423.0,6308940.0,13035.0,484.0,0.002473708965652799,0.002486743463155916
2019-5-15,6784347.0,13672.5,8,54274776.0,109380.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6690090.0,13794.0,485.0,6343564.0,15397.0,412.0,7928064.0,13764.0,576.0,6426200.0,13970.0,460.0,8851029.0,13431.0,659.0,6008612.0,12466.0,482.0,5733765.0,13555.0,423.0,6293452.0,13003.0,484.0,-0.0036455433693544093,-0.0036345749187003396
2019-4-15,6809170.125,13722.375,8,54473361.0,109779.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6713855.0,13843.0,485.0,6365400.0,15450.0,412.0,7957440.0,13815.0,576.0,6448740.0,14019.0,460.0,8884638.0,13482.0,659.0,6031266.0,12513.0,482.0,5755338.0,13606.0,423.0,6316684.0,13051.0,484.0,0.06062519364658692,0.06063592359641756
2019-3-15,6419958.875,12937.875,8,51359671.0,103503.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6329250.0,13050.0,485.0,6000368.0,14564.0,412.0,7502976.0,13026.0,576.0,6078900.0,13215.0,460.0,8377867.0,12713.0,659.0,5687600.0,11800.0,482.0,5427090.0,12830.0,423.0,5955620.0,12305.0,484.0,0.03858234785338466,0.03859237183539532
2019-2-15,6181463.5,12457.125,8,49451708.0,99657.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6093055.0,12563.0,485.0,5776240.0,14020.0,412.0,7224768.000000001,12543.0,576.0,5852120.0,12722.0,460.0,8067478.0,12242.0,659.0,5476966.0,11363.0,482.0,5226165.0,12355.0,423.0,5734916.0,11849.0,484.0,0.009160946652921664,0.009174590637056834
2019-1-15,6125349.5,12343.875,8,49002796.0,98751.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6037280.0,12448.0,485.0,5722268.0,13889.0,412.0,7159680.0,12430.0,576.0,5797840.0,12604.0,460.0,7995647.0,12133.0,659.0,5427802.0,11261.0,482.0,5179635.0,12245.0,423.0,5682644.0,11741.0,484.0,0.05641676635222592,0.05643159741537929
2018-12-15,5798232.0,11684.5,8,46385856.0,93476.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",5713785.0,11781.0,485.0,5415328.0,13144.0,412.0,6777792.0,11767.0,576.0,5487340.0,11929.0,460.0,7569933.0,11487.0,659.0,5138602.0,10661.0,482.0,4903416.0,11592.0,423.0,5379660.0,11115.0,484.0,,
2018-11-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-10-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-9-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
