,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,6954813.5,15105.166666666666,6,41728881.0,90631.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5475210.0,14039.0,390.0,5663915.999999999,14412.0,393.0,8184726.0,13779.0,594.0,9938856.0,16648.0,597.0,6796219.0,17471.0,389.0,5669954.0,14282.0,397.0,-0.020130276151740567,-0.02014184703872679
2019-11-15,7097692.0,15415.666666666666,6,42586152.0,92494.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5587920.0,14328.0,390.0,5780637.0,14709.0,393.0,8352828.0,14062.0,594.0,10141836.0,16988.0,597.0,6936259.0,17831.0,389.0,5786672.0,14576.0,397.0,0.02046985344978003,0.01970079486698917
2019-10-15,6955317.666666667,15117.833333333334,6,41731906.0,90707.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5493539.999999999,14086.0,390.0,5683566.0,14462.0,393.0,8212050.0,13825.0,594.0,9833784.0,16472.0,597.0,6819559.0,17531.0,389.0,5689407.0,14331.0,397.0,-0.027371608020179572,-0.02737508042033021
2019-9-15,7151053.5,15543.333333333334,6,42906321.0,93260.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5648370.0,14483.0,390.0,5843517.0,14869.0,393.0,8443116.0,14214.0,594.0,10110195.0,16935.0,597.0,7011725.0,18025.0,389.0,5849398.0,14734.0,397.0,-0.013223910390564586,-0.013226113638768355
2019-8-15,7246885.666666667,15751.666666666666,6,43481314.0,94510.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5723640.0,14676.0,390.0,5922117.0,15069.0,393.0,8555976.0,14404.0,594.0,10245714.0,17162.0,597.0,7105863.0,18267.0,389.0,5928004.0,14932.0,397.0,-0.0007064709011438408,-0.0007084174799371068
2019-7-15,7252009.0,15762.833333333334,6,43512054.0,94577.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5727930.0,14687.0,390.0,5926047.0,15079.0,393.0,8561916.0,14414.0,594.0,10252878.0,17174.0,597.0,7111309.0,18281.0,389.0,5931974.0,14942.0,397.0,0.017145990353628626,0.017142918598023416
2019-6-15,7129762.166666667,15497.166666666666,6,42778573.0,92983.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5631210.0,14439.0,390.0,5826225.0,14825.0,393.0,8417574.0,14171.0,594.0,10079748.0,16884.0,597.0,6991886.0,17974.0,389.0,5831930.0,14690.0,397.0,-0.018794676808787214,-0.018794056814824267
2019-5-15,7266330.5,15794.0,6,43597983.0,94764.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5739240.0,14716.0,390.0,5937444.0,15108.0,393.0,8579142.0,14443.0,594.0,10272579.0,17207.0,597.0,7126091.0,18319.0,389.0,5943487.0,14971.0,397.0,0.015617211445491774,0.01561511998028009
2019-4-15,7154595.666666667,15551.166666666666,6,42927574.0,93307.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5651100.0,14490.0,390.0,5845875.000000001,14875.0,393.0,8447274.0,14221.0,594.0,10114374.0,16942.0,597.0,7017171.0,18039.0,389.0,5851780.0,14740.0,397.0,0.02524781386924624,0.02525024997527714
2019-3-15,6978406.166666667,15168.166666666666,6,41870437.0,91009.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5511870.000000001,14133.0,390.0,5701644.0,14508.0,393.0,8239374.0,13871.0,594.0,9865425.0,16525.0,597.0,6844455.0,17595.0,389.0,5707669.0,14377.0,397.0,0.035559920564207426,0.03555823585635598
2019-2-15,6738775.833333333,14647.333333333334,6,40432655.0,87884.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5322719.999999999,13648.0,390.0,5505537.000000001,14009.0,393.0,7956630.0,13395.0,594.0,9526328.999999998,15957.0,597.0,6609888.0,16992.0,389.0,5511551.0,13883.0,397.0,0.008565584399435444,0.00856113291560523
2019-1-15,6681544.5,14523.0,6,40089267.0,87138.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5277480.0,13532.0,390.0,5458770.0,13890.0,393.0,7888914.0,13281.0,594.0,9445137.0,15821.0,597.0,6554261.0,16849.0,389.0,5464705.0,13765.0,397.0,0.011725428193676724,0.011726732305405996
2018-12-15,6604108.5,14354.666666666666,6,39624651.0,86128.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5216640.0,13376.0,390.0,5395104.0,13728.0,393.0,7797438.0,13127.0,594.0,9335886.0,15638.0,597.0,6478795.0,16655.0,389.0,5400788.0,13604.0,397.0,-0.037135689030068586,-0.037138065958636224
2018-11-15,6858815.333333333,14908.333333333334,6,41152892.0,89450.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5417880.0,13892.0,390.0,5603001.0,14257.0,393.0,8098596.0,13634.0,594.0,9695280.0,16240.0,597.0,6728922.0,17298.0,389.0,5609213.0,14129.0,397.0,-0.022318879541663006,-0.022318891269181962
2018-10-15,7015391.0,15248.666666666666,6,42092346.0,91492.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5541510.0,14209.0,390.0,5730726.0,14582.0,393.0,8283330.0,13945.0,594.0,9916767.0,16611.0,597.0,6882966.0,17694.0,389.0,5737047.0,14451.0,397.0,-0.03678454174094614,-0.03678436822268549
2018-9-15,7283304.0,15831.0,6,43699824.0,94986.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5753280.0,14752.0,390.0,5949234.0,15138.0,393.0,8599932.0,14478.0,594.0,10295265.0,17245.0,597.0,7146319.0,18371.0,389.0,5955794.0,15002.0,397.0,-0.026731278310095807,-0.026732926891746556
2018-8-15,7483343.333333333,16265.833333333334,6,44900060.0,97595.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5911230.0,15157.0,390.0,6112329.0,15553.0,393.0,8836344.0,14876.0,594.0,10577646.0,17718.0,597.0,7343153.0,18877.0,389.0,6119358.0,15414.0,397.0,0.010469485100095932,0.010467572268698655
2018-7-15,7405808.333333333,16097.333333333334,6,44434850.0,96584.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5850000.0,15000.0,390.0,6049056.0,15392.0,393.0,8744868.0,14722.0,594.0,10467798.0,17534.0,597.0,7267687.0,18683.0,389.0,6055441.0,15253.0,397.0,0.008509341901118406,0.008510060666812924
2018-6-15,7343321.5,15961.5,6,44059929.0,95769.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5800860.0,14874.0,390.0,5997573.0,15261.0,393.0,8671212.0,14598.0,594.0,10379442.0,17386.0,597.0,7206614.0,18526.0,389.0,6004228.0,15124.0,397.0,0.026795346749883375,0.026793181087166218
2018-5-15,7151689.5,15545.0,6,42910137.0,93270.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5649540.0,14486.0,390.0,5840766.0,14862.0,393.0,8444898.0,14217.0,594.0,10108404.0,16932.0,597.0,7019116.0,18044.0,389.0,5847413.0,14729.0,397.0,0.02349093827009785,0.023797501701389612
2018-4-15,6987545.5,15183.666666666666,6,41925273.0,91102.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5529029.999999999,14177.0,390.0,5715792.0,14544.0,393.0,8264916.0,13914.0,594.0,9892290.0,16570.0,597.0,6800887.0,17483.0,389.0,5722358.000000001,14414.0,397.0,0.02069351637545691,0.020693518570388036
2018-3-15,6845880.166666667,14875.833333333334,6,41075281.0,89255.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5417100.0,13890.0,390.0,5599857.0,14249.0,393.0,8097408.0,13632.0,594.0,9691698.0,16234.0,597.0,6663181.000000001,17129.0,389.0,5606037.0,14121.0,397.0,0.01113643153919619,0.011136034076490997
2018-2-15,6770481.166666667,14712.0,6,40622887.0,88272.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5357430.0,13737.0,390.0,5537763.0,14091.0,393.0,8008308.0,13482.0,594.0,9584835.0,16055.0,597.0,6590049.0,16941.0,389.0,5544502.0,13966.0,397.0,,
2018-1-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-12-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
