,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6602895.625,12922.125,8,52823165.0,103377.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",6586360.0,14969.0,440.0,6712320.0,14592.0,460.0,7369072.0,11098.0,664.0,5917188.0,13327.0,444.0,7195812.0,12428.0,579.0,5911257.000000001,13107.0,451.0,7542711.0,11241.0,671.0,5588445.0,12615.0,443.0,-0.0003193600913247163,-0.00029978338233016544
2019-11-15,6605005.0,12926.0,8,52840040.0,103408.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",6586800.0,14970.0,440.0,6714620.0,14597.0,460.0,7373056.0,11104.0,664.0,5918076.0,13329.0,444.0,7198128.0,12432.0,579.0,5913963.0,13113.0,451.0,7546066.0,11246.0,671.0,5589331.0,12617.0,443.0,0.020114818816818314,0.020134757860053032
2019-10-15,6474766.25,12670.875,8,51798130.0,101367.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",6455240.0,14671.0,440.0,6582600.0,14310.0,460.0,7229632.0,10888.0,664.0,5800416.0,13064.0,444.0,7056273.0,12187.0,579.0,5798056.0,12856.0,451.0,7397775.0,11025.0,671.0,5478138.0,12366.0,443.0,0.010768487901122947,0.010789250635688363
2019-9-15,6405785.625,12535.625,8,51246285.0,100285.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",6384840.0,14511.0,440.0,6512680.0,14158.0,460.0,7153936.0,10774.0,664.0,5737812.0,12923.0,444.0,6981582.000000001,12058.0,579.0,5736720.0,12720.0,451.0,7319939.000000001,10909.0,671.0,5418776.0,12232.0,443.0,-0.053969864365257414,-0.053950794309648664
2019-8-15,6771227.875,13250.5,8,54169823.0,106004.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",6747400.0,15335.0,440.0,6884820.0,14967.0,460.0,7564288.0,11392.0,664.0,6063708.0,13657.0,444.0,7379934.0,12746.0,579.0,6064597.0,13447.0,451.0,7737972.0,11532.0,671.0,5727104.0,12928.0,443.0,0.041132178148849396,0.04115347594633345
2019-7-15,6503715.875,12726.75,8,52029727.0,101814.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",6479000.0,14725.0,440.0,6612960.0,14376.0,460.0,7267480.0,10945.0,664.0,5823060.0,13115.0,444.0,7088697.0,12243.0,579.0,5826018.0,12918.0,451.0,7432667.0,11077.0,671.0,5499845.0,12415.0,443.0,-0.04415354079407097,-0.04413462892550346
2019-6-15,6804142.875,13314.375,8,54433143.0,106515.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",6776440.0,15401.0,440.0,6918860.0,15041.0,460.0,7604792.0,11453.0,664.0,6091235.999999999,13719.0,444.0,7416411.0,12809.0,579.0,6095716.0,13516.0,451.0,7776890.0,11590.0,671.0,5752798.0,12986.0,443.0,0.0024607950975923387,0.0024846824971058723
2019-5-15,6787440.375,13281.375,8,54299523.0,106251.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",6757960.0,15359.0,440.0,6902300.0,15005.0,460.0,7588192.0,11428.0,664.0,6074808.0,13682.0,444.0,7398462.0,12778.0,579.0,6081735.0,13485.0,451.0,7758773.0,11563.0,671.0,5737293.0,12951.0,443.0,-0.0036793911198246265,-0.003657129996905484
2019-4-15,6812506.25,13330.125,8,54500050.0,106641.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",6780840.0,15411.0,440.0,6928060.0,15061.0,460.0,7618072.0,11473.0,664.0,6096120.0,13730.0,444.0,7426254.0,12826.0,579.0,6104736.0,13536.0,451.0,7788297.0,11607.0,671.0,5757671.0,12997.0,443.0,0.06396496860486289,0.06453641590800197
2019-3-15,6402942.25,12522.0,8,51223538.0,100176.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",6228640.000000001,14156.0,440.0,6532920.0,14202.0,460.0,7185144.0,10821.0,664.0,5746692.0,12943.0,444.0,7001847.0,12093.0,579.0,5756564.0,12764.0,451.0,7344095.0,10945.0,671.0,5427636.0,12252.0,443.0,0.038515140269740566,0.03853450688893734
2019-2-15,6165478.0,12057.375,8,49323824.0,96459.0,4152,"WETLAND SEASONS PARK(Phase 2),Block 11,WETLAND PARK RD|WETLAND SEASONS PARK2期,11座,濕地公園路",5996760.0,13629.0,440.0,6290500.0,13675.0,460.0,6920208.0,10422.0,664.0,5532684.0,12461.0,444.0,6742455.0,11645.0,579.0,5543692.0,12292.0,451.0,7072339.999999999,10540.0,671.0,5225185.0,11795.0,443.0,0.009132596658180558,0.009154251757616416
