,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_18,npsf_18,nfa_18,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_change,npsf_change
2019-12-15,1924882.2,6185.4,5,9624411.0,30927.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1927141.0,6157.0,313.0,1920126.0,6214.0,309.0,1937783.0,6191.0,313.0,1907457.0,6173.0,309.0,1931904.0,6192.0,312.0,0.027030317762885447,0.02703151462823361
2019-11-15,1874221.4,6022.6,5,9371107.0,30113.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1876748.0,5996.0,313.0,1868523.0,6047.0,309.0,1887077.0,6029.0,313.0,1857399.0,6011.0,309.0,1881360.0,6030.0,312.0,0.009893415486055268,0.009893353008250116
2019-10-15,1855860.6,5963.6,5,9279303.0,29818.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1858281.0,5937.0,313.0,1850292.0,5988.0,309.0,1868610.0,5970.0,313.0,1839168.0,5952.0,309.0,1862952.0,5971.0,312.0,0.008830649185623374,0.00883039550698661
2019-9-15,1839615.6,5911.4,5,9198078.0,29557.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1842005.0,5885.0,313.0,1834224.0,5936.0,309.0,1852021.0,5917.0,313.0,1823100.0,5900.0,309.0,1846728.0,5919.0,312.0,-0.0946489363199493,-0.09464881918706158
2019-8-15,2031936.2,6529.4,5,10159681.0,32647.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",2034500.0,6500.0,313.0,2025804.0,6556.0,309.0,2045768.0,6536.0,313.0,2013753.0,6517.0,309.0,2039856.0,6538.0,312.0,0.11804800736350174,0.11804794520547945
2019-7-15,1817396.2,5840.0,5,9086981.0,29200.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1819782.0,5814.0,313.0,1811976.0,5864.0,309.0,1829798.0000000002,5846.0,313.0,1801161.0,5829.0,309.0,1824264.0,5847.0,312.0,-0.0167356550986697,-0.016735697208472122
2019-6-15,1848329.2,5939.4,5,9241646.0,29697.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1850769.0,5913.0,313.0,1842876.0,5964.0,309.0,1860784.9999999998,5945.0,313.0,1831752.0,5928.0,309.0,1855464.0,5947.0,312.0,-0.08336955230181053,-0.08336934378665362
2019-5-15,2016438.8,6479.6,5,10082194.0,32398.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",2019163.0,6451.0,313.0,2010354.0,6506.0,309.0,2030118.0,6486.0,313.0,1998302.9999999998,6467.0,309.0,2024256.0,6488.0,312.0,0.06408593325939127,0.06407856274838264
2019-4-15,1894996.2,6089.4,5,9474981.0,30447.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1898658.0,6066.0,313.0,1895406.0,6134.0,309.0,1906170.0,6090.0,313.0,1878411.0,6079.0,309.0,1896336.0,6078.0,312.0,0.01873486745614561,0.018737243617626298
2019-3-15,1860146.6,5977.4,5,9300733.0,29887.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1865167.0,5959.0,313.0,1862034.0,6026.0,309.0,1872366.0,5982.0,313.0,1841022.0,5958.0,309.0,1860144.0,5962.0,312.0,0.046926174333464576,0.04694013381441131
2019-2-15,1776769.6,5709.4,5,8883848.0,28547.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1781283.0,5691.0,313.0,1778913.0,5757.0,309.0,1793177.0,5729.0,313.0,1747395.0,5655.0,309.0,1783080.0,5715.0,312.0,0.059061574802868,0.05906139862734183
2019-1-15,1677683.0,5391.0,5,8388415.0,26955.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1681748.9999999998,5373.0,313.0,1679724.0,5436.0,309.0,1693330.0,5410.0,313.0,1650060.0,5340.0,309.0,1683552.0,5396.0,312.0,,
