,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,15005441.0,13078.0,3,45016323.0,39234.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",15827496.0,12443.0,1272.0,15682686.0,12678.0,1237.0,13506141.000000002,14113.0,957.0,-0.0003078823545636933,-0.00030576364470269457
2019-11-15,15010062.333333334,13082.0,3,45030187.0,39246.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",15832584.0,12447.0,1272.0,15687634.0,12682.0,1237.0,13509969.0,14117.0,957.0,0.02014373387186197,0.020145044319097583
2019-10-15,14713674.0,12823.666666666666,3,44141022.0,38471.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",15519672.0,12201.0,1272.0,15378384.0,12432.0,1237.0,13242966.0,13838.0,957.0,0.010746616475809656,0.01074562555829961
2019-9-15,14557233.0,12687.333333333334,3,43671699.0,38062.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",15354312.0,12071.0,1272.0,15215100.0,12300.0,1237.0,13102287.0,13691.0,957.0,-0.053940924711098126,-0.05393716444621188
2019-8-15,15387234.666666666,13410.666666666666,3,46161704.0,40232.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",16230720.0,12760.0,1272.0,16082237.0,13001.0,1237.0,13848747.0,14471.0,957.0,0.04114608089054572,0.04114693856425644
2019-7-15,14779131.333333334,12880.666666666666,3,44337394.0,38642.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",15589632.000000002,12256.0,1272.0,15446419.0,12487.0,1237.0,13301343.0,13899.0,957.0,-0.044153786974197806,-0.044153659682885205
2019-6-15,15461829.666666666,13475.666666666666,3,46385489.0,40427.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",16309584.0,12822.0,1272.0,16160168.0,13064.0,1237.0,13915737.0,14541.0,957.0,0.0024797523809263478,0.00247972822178677
2019-5-15,15423583.0,13442.333333333334,3,46270749.0,40327.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",16268880.0,12790.0,1272.0,16120584.0,13032.0,1237.0,13881285.0,14505.0,957.0,-0.0036853141802848377,-0.0036811937938531214
2019-4-15,15480634.0,13492.0,3,46441902.0,40476.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",16329936.0,12838.0,1272.0,16179960.0,13080.0,1237.0,13932006.0,14558.0,957.0,0.06060819278052754,0.060608442732489554
2019-3-15,14595997.0,12721.0,3,43787991.0,38163.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",15396288.0,12104.0,1272.0,15255921.0,12333.0,1237.0,13135782.0,13726.0,957.0,0.03855923523241067,0.03856202035595713
2019-2-15,14054082.333333334,12248.666666666666,3,42162247.0,36746.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",14825160.0,11655.0,1272.0,14689375.0,11875.0,1237.0,12647712.0,13216.0,957.0,0.009143825393339355,0.009145085546370835
2019-1-15,13926738.666666666,12137.666666666666,3,41780216.0,36413.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",14690328.0,11549.0,1272.0,14557016.0,11768.0,1237.0,12532872.0,13096.0,957.0,0.05636614705334653,0.05636785610675954
2018-12-15,13183628.333333334,11490.0,3,39550885.0,34470.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",13906776.0,10933.0,1272.0,13780180.0,11140.0,1237.0,11863929.0,12397.0,957.0,,
2018-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-12-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
