,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,7209767.625,14419.5,8,57678141.0,115356.0,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9891211.0,14741.0,671.0,7492352.0,16724.0,448.0,8063896.0,14197.0,568.0,5089962.0,13907.0,366.0,9559200.0,14225.0,672.0,5932476.0,13926.0,426.0,5898688.0,13912.0,424.0,5750356.0,13724.0,419.0,-0.00029368186215517067,-0.00029465291619723555
2019-11-15,7211885.625,14423.75,8,57695085.0,115390.0,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9894566.0,14746.0,671.0,7493696.0,16727.0,448.0,8065600.0,14200.0,568.0,5091060.0,13910.0,366.0,9561888.0,14229.0,672.0,5933754.0,13929.0,426.0,5901232.0,13918.0,424.0,5753289.0,13731.0,419.0,0.020144224964889546,0.02014834985103131
2019-10-15,7069476.5,14138.875,8,56555812.0,113111.0,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9699305.000000002,14455.0,671.0,7344512.0,16394.0,448.0,7905992.0,13919.0,568.0,4990044.0,13634.0,366.0,9373728.0,13949.0,672.0,5816178.0,13653.0,426.0,5785056.0,13644.0,424.0,5640997.0,13463.0,419.0,0.010764022078536772,0.010758933757495148
2019-9-15,6994190.875,13988.375,8,55953527.0,111907.0,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9595971.0,14301.0,671.0,7265664.0,16218.0,448.0,7821360.0,13770.0,568.0,4936608.0,13488.0,366.0,9273600.0,13800.0,672.0,5753981.999999999,13507.0,426.0,5724424.0,13501.0,424.0,5581918.0,13322.0,419.0,-0.05394815218723714,-0.05394460976599491
2019-8-15,7393031.25,14786.0,8,59144250.0,118288.0,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",10143507.000000002,15117.0,671.0,7678720.0,17140.0,448.0,8266672.0,14554.0,568.0,5217696.0,14256.0,366.0,9803136.0,14588.0,672.0,6081576.0,14276.0,426.0,6051328.0,14272.0,424.0,5901615.0,14085.0,419.0,0.04114903047807261,0.04114846012340134
2019-7-15,7100838.625,14201.625,8,56806709.0,113613.0,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9742920.0,14520.0,671.0,7374527.999999999,16461.0,448.0,7938936.0,13977.0,568.0,5011272.0,13692.0,366.0,9416064.0,14012.0,672.0,5840460.0,13710.0,426.0,5813040.0,13710.0,424.0,5669489.0,13531.0,419.0,-0.0441377023555386,-0.044136329600619195
2019-6-15,7428725.5,14857.375,8,59429804.0,118859.0,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",10193160.999999998,15191.0,671.0,7714112.0,17219.0,448.0,8305296.0,14622.0,568.0,5242218.0,14323.0,366.0,9850848.0,14659.0,672.0,6109692.0,14342.0,426.0,6081856.0,14344.0,424.0,5932621.0,14159.0,419.0,0.0024574542024038415,0.0024542878348290387
2019-5-15,7410514.5,14821.0,8,59284116.0,118568.0,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",10168334.0,15154.0,671.0,7693952.0,17174.0,448.0,8284280.0,14585.0,568.0,5229042.0,14287.0,366.0,9826656.0,14623.0,672.0,6094356.0,14306.0,426.0,6067864.0,14311.0,424.0,5919632.0,14128.0,419.0,-0.0036480286155007313,-0.0036469975294532997
2019-4-15,7437647.25,14875.25,8,59501178.0,119002.0,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",10205239.0,15209.0,671.0,7721280.0,17235.0,448.0,8313816.0,14637.0,568.0,5247708.0,14338.0,366.0,9863616.0,14678.0,672.0,6116082.0,14357.0,426.0,6090760.0,14365.0,424.0,5942677.0,14183.0,419.0,,
2019-3-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2019-2-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
