,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_25,npsf_25,nfa_25,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4767124.333333333,14150.714285714286,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",6725052.0,15354.0,438.0,4606056.0,14763.0,312.0,4925700.0,15156.0,325.0,3273623.9999999995,14358.0,228.0,3045380.0,13780.0,221.0,3989128.0,13948.0,286.0,3956832.0,13739.0,288.0,4581736.0,13319.0,344.0,4577926.0,13231.0,346.0,4622904.0,14817.0,312.0,5895674.0,13219.0,446.0,4339182.0,13434.0,323.0,4039789.0,13511.0,299.0,3999084.0,13242.0,302.0,5348030.0,13855.0,386.0,4572633.0,14703.0,311.0,6522978.0,14119.0,462.0,4837735.0,14441.0,335.0,4884635.0,14581.0,335.0,6734432.0,14704.0,458.0,4631101.0,14891.0,311.0,,0.023012349077245586,0.02301011081619797
2022-11-15,4659889.333333333,13832.42857142857,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",6573504.0,15008.0,438.0,4502160.0,14430.0,312.0,4815200.0,14816.0,325.0,3199980.0,14035.0,228.0,2976870.0,13470.0,221.0,3899610.0,13635.0,286.0,3867839.9999999995,13430.0,288.0,4478192.0,13018.0,344.0,4474818.0,12933.0,346.0,4518696.0,14483.0,312.0,5762766.0,12921.0,446.0,4241636.0,13132.0,323.0,3948893.0,13207.0,299.0,3909088.0,12944.0,302.0,5227598.0,13543.0,386.0,4470314.0,14374.0,311.0,6376524.0,13802.0,462.0,4728860.0,14116.0,335.0,4774755.0,14253.0,335.0,6582834.0,14373.0,458.0,4527538.0,14558.0,311.0,,-0.06832545994430295,-0.0683620059269523
2022-10-15,5001627.857142857,14847.42857142857,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",7051800.0,16100.0,438.0,4829448.0,15479.0,312.0,5165550.000000001,15894.0,325.0,3432540.0,15055.0,228.0,3193450.0,14450.0,221.0,4183322.0,14627.0,286.0,4148928.0000000005,14406.0,288.0,4803272.0,13963.0,344.0,4800404.0,13874.0,346.0,4847544.0,15537.0,312.0,6182006.0,13861.0,446.0,4566574.0,14138.0,323.0,4236232.0,14168.0,299.0,4193270.0,13885.0,302.0,5607422.0,14527.0,386.0,4837605.0,15555.0,311.0,6840834.0,14807.0,462.0,5072570.0,15142.0,335.0,5122150.0,15290.0,335.0,7061444.0,15418.0,458.0,4857820.0,15620.0,311.0,,0.036432480446442206,0.036431810022736544
2022-9-15,4825811.571428572,14325.52380952381,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",6803891.999999999,15534.0,438.0,4659720.0,14935.0,312.0,4983875.0,15335.0,325.0,3311928.0,14526.0,228.0,3081182.0,13942.0,221.0,4036318.0,14113.0,286.0,4003200.0,13900.0,288.0,4634368.0,13472.0,344.0,4631556.0,13386.0,346.0,4677192.0,14991.0,312.0,5964804.0,13374.0,446.0,4406043.0,13641.0,323.0,4087330.0,13670.0,299.0,4045894.0,13397.0,302.0,5410562.000000001,14017.0,386.0,4667488.0,15008.0,311.0,6600132.0,14286.0,462.0,4894350.0,14610.0,335.0,4941920.0,14752.0,335.0,6813208.000000001,14876.0,458.0,4687081.0,15071.0,311.0,,-0.0395842797274657,-0.039583699139623674
2022-8-15,5024711.142857143,14915.952380952382,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",7084650.0,16175.0,438.0,4851912.0,15551.0,312.0,5189274.999999999,15967.0,325.0,3448500.0,15125.0,228.0,3208036.0,14516.0,221.0,4202484.0,14694.0,286.0,4168224.0,14473.0,288.0,4825976.0,14029.0,344.0,4822548.0,13938.0,346.0,4869696.0,15608.0,312.0,6210550.0,13925.0,446.0,4587569.0,14203.0,323.0,4255667.0,14233.0,299.0,4212598.0,13949.0,302.0,5633670.000000001,14595.0,386.0,4859686.0,15626.0,311.0,6871788.0,14874.0,462.0,5096020.0,15212.0,335.0,5145600.0,15360.0,335.0,7093961.999999999,15489.0,458.0,4880523.0,15693.0,311.0,,-0.06897432076945076,-0.068974946573099
2022-7-15,5396963.0,16021.0,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",7609374.0,17373.0,438.0,5211648.0,16704.0,312.0,5573425.0,17149.0,325.0,3704088.0000000005,16246.0,228.0,3445611.0,15591.0,221.0,4513938.0,15783.0,286.0,4477248.0,15546.0,288.0,5183736.0,15069.0,344.0,5179620.0,14970.0,346.0,5230368.0,16764.0,312.0,6670822.0,14957.0,446.0,4927688.0,15256.0,323.0,4570813.0,15287.0,299.0,4524564.0,14982.0,302.0,6050936.0,15676.0,386.0,5219513.0,16783.0,311.0,7380450.0,15975.0,462.0,5473900.0,16340.0,335.0,5526830.0,16498.0,335.0,7619746.0,16637.0,458.0,5241905.0,16855.0,311.0,,0.017197821709650896,0.017200198335913353
2022-6-15,5305716.238095238,15750.095238095239,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",7481040.0,17080.0,438.0,5123352.0,16421.0,312.0,5479175.0,16859.0,325.0,3641388.0,15971.0,228.0,3387267.0,15327.0,221.0,4437576.0,15516.0,286.0,4401504.0,15283.0,288.0,5096360.0,14815.0,344.0,5092082.0,14717.0,346.0,5142072.0,16481.0,312.0,6557984.0,14704.0,446.0,4844354.0,14998.0,323.0,4493372.0,15028.0,299.0,4448158.0,14729.0,302.0,5948646.0,15411.0,386.0,5130878.000000001,16498.0,311.0,7255710.0,15705.0,462.0,5381440.0,16064.0,335.0,5433365.0,16219.0,335.0,7491048.0,16356.0,458.0,5153270.0,16570.0,311.0,,1.646948075961774e-05,1.5117295092625938e-05
2022-5-15,5305628.857142857,15749.857142857143,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",7481040.0,17080.0,438.0,5123352.0,16421.0,312.0,5478850.000000001,16858.0,325.0,3641388.0,15971.0,228.0,3387267.0,15327.0,221.0,4437576.0,15516.0,286.0,4401504.0,15283.0,288.0,5096704.0,14816.0,344.0,5092082.0,14717.0,346.0,5141760.0,16480.0,312.0,6557538.0,14703.0,446.0,4844031.0,14997.0,323.0,4493372.0,15028.0,299.0,4448158.0,14729.0,302.0,5948646.0,15411.0,386.0,5130567.0,16497.0,311.0,7255248.0,15704.0,462.0,5381440.0,16064.0,335.0,5433365.0,16219.0,335.0,7491048.0,16356.0,458.0,5153270.0,16570.0,311.0,,-0.02312582988953782,-0.023123316478427247
2022-4-15,5431230.571428572,16122.666666666666,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",7657992.0,17484.0,438.0,5244720.0,16810.0,312.0,5608200.0,17256.0,325.0,3727572.0,16349.0,228.0,3467269.0,15689.0,221.0,4542538.0,15883.0,286.0,4505760.0,15645.0,288.0,5217792.0,15168.0,344.0,5212490.0,15065.0,346.0,5263440.0,16870.0,312.0,6713191.999999999,15052.0,446.0,4958696.000000001,15352.0,323.0,4599517.0,15383.0,299.0,4553556.0,15078.0,302.0,6089922.0,15777.0,386.0,5251857.0,16887.0,311.0,7426650.0,16075.0,462.0,5508740.0,16444.0,335.0,5562005.0,16603.0,335.0,7668752.0,16744.0,458.0,5275182.0,16962.0,311.0,,-0.006034486492430324,-0.006032921254965018
2022-3-15,5464204.238095238,16220.52380952381,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",7704858.0,17591.0,438.0,5276856.0,16913.0,312.0,5642000.0,17360.0,325.0,3750144.0,16448.0,228.0,3488264.0,15784.0,221.0,4569994.0,15979.0,286.0,4533120.0,15740.0,288.0,5249784.0,15261.0,344.0,5244322.0,15157.0,346.0,5295264.0,16972.0,312.0,6753778.0,15143.0,446.0,4988735.000000001,15445.0,323.0,4627324.0,15476.0,299.0,4581038.0,15169.0,302.0,6126978.0,15873.0,386.0,5283268.0,16988.0,311.0,7471464.0,16172.0,462.0,5542575.0,16545.0,335.0,5595840.0,16704.0,335.0,7715468.0,16846.0,458.0,5307215.000000001,17065.0,311.0,,0.016119301676274844,0.016117388762275198
2022-2-15,5377522.333333333,15963.238095238095,"ONE INNOVALE(Phase 2),Block C,MA SIK RD|ONE INNOVALE2期,C座,馬適路",7582656.0,17312.0,438.0,5193240.000000001,16645.0,312.0,5552300.0,17084.0,325.0,3690636.0,16187.0,228.0,3433014.0,15534.0,221.0,4497636.0,15726.0,286.0,4461408.0,15491.0,288.0,5166880.0,15020.0,344.0,5160936.0,14916.0,346.0,5211024.0,16702.0,312.0,6646292.0,14902.0,446.0,4909600.0,15200.0,323.0,4554069.0,15231.0,299.0,4508558.0,14929.0,302.0,6029706.0,15621.0,386.0,5199298.0,16718.0,311.0,7352730.0,15915.0,462.0,5454805.0,16283.0,335.0,5507065.0,16439.0,335.0,7593182.0,16579.0,458.0,5222933.999999999,16794.0,311.0,,-0.006243731657187057,-0.006243070665868267
