,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4459124.894736842,13703.894736842105,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",4599609.0,14329.0,321.0,4162466.0,13783.0,302.0,4257402.0,13778.0,309.0,4318526.0,12374.0,349.0,4271544.0,13023.0,328.0,4277987.0,13003.0,329.0,4257280.0,13304.0,320.0,4157410.0,13411.0,310.0,4234230.0,13442.0,315.0,4373480.0,14108.0,310.0,4166190.0,13226.0,315.0,4344445.0,13205.0,329.0,4396840.0,13405.0,328.0,4565990.0,14729.0,310.0,6294752.0,13744.0,458.0,6332308.0,13826.0,458.0,3172844.0,14228.0,223.0,4280745.0,14511.0,295.0,4259325.0,14945.0,285.0,,0.02301991764148137,0.02302025420898568
2022-11-15,4358786.0,13395.526315789473,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",4496247.0,14007.0,321.0,4068846.0,13473.0,302.0,4161611.9999999995,13468.0,309.0,4221504.0,12096.0,349.0,4175439.9999999995,12730.0,328.0,4181590.0,12710.0,329.0,4161280.0,13004.0,320.0,4063790.0,13109.0,310.0,4138785.0,13139.0,315.0,4274900.0,13790.0,310.0,4072320.0,12928.0,315.0,4246732.0,12908.0,329.0,4297784.0,13103.0,328.0,4463380.0,14398.0,310.0,6153230.0,13435.0,458.0,6189870.0,13515.0,458.0,3101483.9999999995,13908.0,223.0,4184574.9999999995,14185.0,295.0,4163565.0,14609.0,285.0,,-0.06780902596653193,-0.06780964659431787
2022-10-15,4675850.894736842,14369.947368421053,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",4823346.0,15026.0,321.0,4364806.0,14453.0,302.0,4464432.0,14448.0,309.0,4528624.0,12976.0,349.0,4479168.0,13656.0,328.0,4485915.0,13635.0,329.0,4464000.0,13950.0,320.0,4359220.0,14062.0,310.0,4439925.0,14095.0,315.0,4586140.0,14794.0,310.0,4368420.0,13868.0,315.0,4555663.0,13847.0,329.0,4610368.0,14056.0,328.0,4787950.0,15445.0,310.0,6600696.0,14412.0,458.0,6640084.0,14498.0,458.0,3327160.0,14920.0,223.0,4489015.0,15217.0,295.0,4466235.0,15671.0,285.0,,0.03644993959468512,0.03645032589673791
2022-9-15,4511410.263157895,13864.578947368422,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",4653858.0,14498.0,321.0,4211390.0,13945.0,302.0,4307460.0,13940.0,309.0,4369480.0,12520.0,349.0,4321728.0,13176.0,328.0,4328324.0,13156.0,329.0,4307200.0,13460.0,320.0,4205770.0,13567.0,310.0,4283685.0,13599.0,315.0,4424630.0,14273.0,310.0,4214700.0,13380.0,315.0,4395440.0,13360.0,329.0,4448336.0,13562.0,328.0,4619620.0,14902.0,310.0,6368948.0,13906.0,458.0,6406046.0,13987.0,458.0,3210085.0,14395.0,223.0,4330895.0,14681.0,295.0,4309200.0,15120.0,285.0,,-0.03961108172495975,-0.03961107141294673
2022-8-15,4697482.631578947,14436.421052631578,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",4845816.0,15096.0,321.0,4385040.0,14520.0,302.0,4485135.0,14515.0,309.0,4549564.0,13036.0,349.0,4499832.0,13719.0,328.0,4506642.0,13698.0,329.0,4484800.0,14015.0,320.0,4379060.0,14126.0,310.0,4460400.0,14160.0,315.0,4607220.0,14862.0,310.0,4388580.0,13932.0,315.0,4576719.0,13911.0,329.0,4631688.0,14121.0,328.0,4810270.0,15517.0,310.0,6631840.0,14480.0,458.0,6670312.0,14564.0,458.0,3342547.0,14989.0,223.0,4509665.0,15287.0,295.0,4487040.0,15744.0,285.0,,-0.06895619497938732,-0.06895627055704723
2022-7-15,5045393.7894736845,15505.631578947368,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",5204694.0,16214.0,321.0,4709690.0,15595.0,302.0,4817310.000000001,15590.0,309.0,4886349.000000001,14001.0,349.0,4833080.0,14735.0,328.0,4840577.0,14713.0,329.0,4816960.0,15053.0,320.0,4703630.0,15173.0,310.0,4790835.0,15209.0,315.0,4948530.0,15963.0,310.0,4713660.0,14964.0,315.0,4915589.0,14941.0,329.0,4974776.0,15167.0,328.0,5166460.0,16666.0,310.0,7122816.0,15552.0,458.0,7164494.0,15643.0,458.0,3590077.0,16099.0,223.0,4843605.0,16419.0,295.0,4819350.0,16910.0,285.0,,0.017209279543731526,0.01720857804801401
2022-6-15,4960035.157894737,15243.315789473685,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",5116740.0,15940.0,321.0,4629962.0,15331.0,302.0,4735734.0,15326.0,309.0,4803636.0,13764.0,349.0,4751408.0,14486.0,328.0,4758656.0,14464.0,329.0,4735360.0,14798.0,320.0,4624270.0,14917.0,310.0,4709565.0,14951.0,315.0,4864830.0,15693.0,310.0,4633965.0,14711.0,315.0,4832352.000000001,14688.0,329.0,4890808.0,14911.0,328.0,5079040.0,16384.0,310.0,7001904.0,15288.0,458.0,7043582.0,15379.0,458.0,3529421.0,15827.0,223.0,4761595.000000001,16141.0,295.0,4737840.0,16624.0,285.0,,2.23475396410322e-05,2.4169935362694517e-05
2022-5-15,4959924.315789473,15242.947368421053,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",5116419.0,15939.0,321.0,4629962.0,15331.0,302.0,4735734.0,15326.0,309.0,4803636.0,13764.0,349.0,4751408.0,14486.0,328.0,4758327.0,14463.0,329.0,4735360.0,14798.0,320.0,4624270.0,14917.0,310.0,4709565.0,14951.0,315.0,4864520.0,15692.0,310.0,4633965.0,14711.0,315.0,4832352.000000001,14688.0,329.0,4890480.0,14910.0,328.0,5078730.0,16383.0,310.0,7001904.0,15288.0,458.0,7043582.0,15379.0,458.0,3529198.0,15826.0,223.0,4761595.0,16141.0,295.0,4737555.0,16623.0,285.0,,-0.023126587041837787,-0.02312858169209331
2022-4-15,5077346.0,15603.842105263158,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",5237436.0,16316.0,321.0,4739588.0,15694.0,302.0,4847901.0,15689.0,309.0,4917410.0,14090.0,349.0,4863912.0,14829.0,328.0,4870845.0,14805.0,329.0,4847359.999999999,15148.0,320.0,4733700.0,15270.0,310.0,4821075.0,15305.0,315.0,4979840.0,16064.0,310.0,4743900.0,15060.0,315.0,4946844.0,15036.0,329.0,5006264.0,15263.0,328.0,5199010.0,16771.0,310.0,7167242.0,15649.0,458.0,7210294.0,15743.0,458.0,3612823.0,16201.0,223.0,4874285.0,16523.0,295.0,4849845.000000001,17017.0,285.0,,-0.00602603114642053,-0.006024742682804063
2022-3-15,5108127.736842105,15698.421052631578,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",5268894.0,16414.0,321.0,4768278.0,15789.0,302.0,4877256.0,15784.0,309.0,4947075.0,14175.0,349.0,4893431.999999999,14919.0,328.0,4900455.0,14895.0,329.0,4876800.0,15240.0,320.0,4762530.0,15363.0,310.0,4850370.0,15398.0,315.0,5009910.0,16161.0,310.0,4772880.0,15152.0,315.0,4976783.0,15127.0,329.0,5036768.0,15356.0,328.0,5230320.0,16872.0,310.0,7210752.0,15744.0,458.0,7254262.0,15839.0,458.0,3634677.0,16299.0,223.0,4903785.0,16623.0,295.0,4879200.0,17120.0,285.0,,0.016131825306837433,0.016130955422692272
2022-2-15,5027032.52631579,15449.21052631579,"ONE INNOVALE(Phase 1),Block B,MA SIK RD|ONE INNOVALE1期,B座,馬適路",5185113.0,16153.0,321.0,4692778.0,15539.0,302.0,4799697.0,15533.0,309.0,4868549.999999999,13950.0,349.0,4815696.0,14682.0,328.0,4822481.999999999,14658.0,329.0,4799360.0,14998.0,320.0,4687200.0,15120.0,310.0,4773510.0,15154.0,315.0,4930550.0,15905.0,310.0,4697280.0,14912.0,315.0,4897823.0,14887.0,329.0,4956736.0,15112.0,328.0,5147240.0,16604.0,310.0,7095794.0,15493.0,458.0,7139303.999999999,15588.0,458.0,3576920.0,16040.0,223.0,4825905.0,16359.0,295.0,4801680.0,16848.0,285.0,,-0.006240047560500672,-0.006239462654632377
