,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4466842.823529412,13923.823529411764,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8081430.0,13270.0,609.0,4257093.0,13777.0,309.0,4155760.0,12670.0,328.0,4250913.0,13757.0,309.0,4141760.0,13760.0,301.0,4326870.0,15182.0,285.0,4366590.0,14802.0,295.0,2958175.9999999995,14222.0,208.0,5931306.0,14022.0,423.0,5848584.0,13476.0,434.0,5854743.0,13841.0,423.0,3867050.0,14062.0,275.0,4090175.0,13865.0,295.0,3950670.0,13862.0,285.0,3970604.0000000005,13981.0,284.0,2999777.0,14353.0,209.0,2884827.0,13803.0,209.0,,0.023027186827364154,0.02302735362633279
2022-11-15,4366299.235294118,13610.411764705883,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",7899339.0,12971.0,609.0,4161303.0,13467.0,309.0,4062280.0,12385.0,328.0,4155432.0,13448.0,309.0,4048450.0,13450.0,301.0,4229400.0,14840.0,285.0,4268355.0,14469.0,295.0,2891615.9999999995,13902.0,208.0,5798061.0,13707.0,423.0,5717082.0,13173.0,434.0,5722767.0,13529.0,423.0,3779875.0,13745.0,275.0,3998135.0,13553.0,295.0,3861750.0,13550.0,285.0,3881144.0,13666.0,284.0,2932269.9999999995,14030.0,209.0,2819828.0,13492.0,209.0,,-0.06781628280050045,-0.06781381819353849
2022-10-15,4683947.117647059,14600.529411764706,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8474235.0,13915.0,609.0,4464123.0,14447.0,309.0,4357808.0,13286.0,328.0,4457634.0,14426.0,309.0,4342828.0,14428.0,301.0,4536915.0,15919.0,285.0,4578990.0,15522.0,295.0,3101904.0,14913.0,208.0,6219791.999999999,14704.0,423.0,6132854.0,14131.0,434.0,6139422.0,14514.0,423.0,4054874.9999999995,14745.0,275.0,4289005.0,14539.0,295.0,4142760.0,14536.0,285.0,4163440.0,14660.0,284.0,3145659.0,15051.0,209.0,3024857.0,14473.0,209.0,,0.036464143901188795,0.03645846382548723
2022-9-15,4519159.823529412,14086.941176470587,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8175825.0,13425.0,609.0,4307151.0,13939.0,309.0,4204304.0,12818.0,328.0,4300971.0,13919.0,309.0,4190221.0000000005,13921.0,301.0,4377600.0,15360.0,285.0,4417920.0,14976.0,295.0,2992704.0000000005,14388.0,208.0,6001101.0,14187.0,423.0,5916722.0,13633.0,434.0,5923269.0,14003.0,423.0,3912150.0,14226.0,275.0,4138260.0,14028.0,295.0,3996840.0,14024.0,285.0,4016895.9999999995,14144.0,284.0,3035098.0,14522.0,209.0,2918684.9999999995,13965.0,209.0,,-0.03960559554498155,-0.03960249124734816
2022-8-15,4705524.94117647,14667.823529411764,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8513211.0,13979.0,609.0,4484517.0,14513.0,309.0,4377816.0,13347.0,328.0,4478337.0,14493.0,309.0,4362995.0,14495.0,301.0,4558005.0,15993.0,285.0,4599935.0,15593.0,295.0,3116256.0,14982.0,208.0,6248556.0,14772.0,423.0,6160629.999999999,14195.0,434.0,6167763.0,14581.0,423.0,4073575.0,14813.0,275.0,4309065.0,14607.0,295.0,4161855.0,14603.0,285.0,4182468.0,14727.0,284.0,3160080.0,15120.0,209.0,3038860.0,14540.0,209.0,,-0.06894695617213265,-0.06894607531980679
2022-7-15,5053981.588235294,15754.0,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9143526.0,15014.0,609.0,4816692.0,15588.0,309.0,4701880.000000001,14335.0,328.0,4809894.0,15566.0,309.0,4685968.0,15568.0,301.0,4895445.0,17177.0,285.0,4940660.0,16748.0,295.0,3346928.0,16091.0,208.0,6711318.0,15866.0,423.0,6617198.0,15247.0,434.0,6624603.0,15661.0,423.0,4375250.0,15910.0,275.0,4627960.0,15688.0,295.0,4469940.0,15684.0,285.0,4492312.0,15818.0,284.0,3394160.0,16240.0,209.0,3263953.0,15617.0,209.0,,0.017193651962984502,0.017190039955638614
2022-6-15,4968554.0,15487.764705882353,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8988840.0,14760.0,609.0,4735425.0,15325.0,309.0,4622504.0,14093.0,328.0,4728627.0,15303.0,309.0,4606805.0,15305.0,301.0,4812795.0,16887.0,285.0,4857175.0,16465.0,295.0,3290352.0,15819.0,208.0,6597531.000000001,15597.0,423.0,6505226.0,14989.0,434.0,6512508.0,15396.0,423.0,4301275.0,15641.0,275.0,4549785.0,15423.0,295.0,4394415.0,15419.0,285.0,4416484.0,15551.0,284.0,3336894.0,15966.0,209.0,3208777.0,15353.0,209.0,,2.166614091736463e-05,2.2788906360426964e-05
2022-5-15,4968446.352941177,15487.411764705883,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8988840.0,14760.0,609.0,4735116.0,15324.0,309.0,4622504.0,14093.0,328.0,4728318.0,15302.0,309.0,4606805.0,15305.0,301.0,4812510.0,16886.0,285.0,4857175.0,16465.0,295.0,3290352.0,15819.0,208.0,6597531.0,15597.0,423.0,6505226.0,14989.0,434.0,6512085.0,15395.0,423.0,4301275.0,15641.0,275.0,4549490.0,15422.0,295.0,4394415.0,15419.0,285.0,4416484.0,15551.0,284.0,3336685.0,15965.0,209.0,3208777.0,15353.0,209.0,,-0.023123430258943256,-0.023122759889877442
2022-4-15,5086053.352941177,15854.0,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9201381.0,15109.0,609.0,4847283.0,15687.0,309.0,4732055.999999999,14427.0,328.0,4840485.0,15665.0,309.0,4715767.0,15667.0,301.0,4926510.0,17286.0,285.0,4971930.0,16854.0,295.0,3368144.0,16193.0,208.0,6753618.0,15966.0,423.0,6659296.0,15344.0,434.0,6666480.0,15760.0,423.0,4403025.0,16011.0,275.0,4657165.0,15787.0,295.0,4498440.0,15784.0,285.0,4520996.0,15919.0,284.0,3415687.0,16343.0,209.0,3284644.0,15716.0,209.0,,-0.0060408520488669515,-0.006040803080145762
2022-3-15,5116964.176470588,15950.35294117647,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9257409.0,15201.0,609.0,4876637.999999999,15782.0,309.0,4760920.0,14515.0,328.0,4869840.0,15760.0,309.0,4744362.0,15762.0,301.0,4956435.000000001,17391.0,285.0,5002315.0,16957.0,295.0,3388736.0,16292.0,208.0,6794649.0,16063.0,423.0,6700092.0,15438.0,434.0,6706665.0,15855.0,423.0,4429700.0,16108.0,275.0,4685485.0,15883.0,295.0,4525515.0,15879.0,285.0,4548544.0,16016.0,284.0,3436378.0,16442.0,209.0,3304708.0,15812.0,209.0,,0.01611970151203246,0.01612117487465059
2022-2-15,5035788.764705882,15697.29411764706,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9110640.0,14960.0,609.0,4799388.0,15532.0,309.0,4685152.0,14284.0,328.0,4792590.000000001,15510.0,309.0,4669112.0,15512.0,301.0,4877775.0,17115.0,285.0,4922960.0,16688.0,295.0,3334864.0,16033.0,208.0,6686784.0,15808.0,423.0,6593762.0,15193.0,434.0,6600492.0,15604.0,423.0,4359575.0,15853.0,275.0,4610850.0,15630.0,295.0,4453695.0,15627.0,285.0,4476692.0,15763.0,284.0,3381829.0,16181.0,209.0,3252249.0,15561.0,209.0,,-0.0062371530896725424,-0.0062376875495755435
