,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_17,npsf_17,nfa_17,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4793175.0,14308.214285714286,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",6898854.0,15063.0,458.0,4594238.0,14402.0,319.0,4275510.0,13445.0,318.0,4286856.0,13566.0,316.0,4572568.0,14846.0,308.0,4870071.0,15363.0,317.0,5104603.0,13909.0,367.0,6939856.0,14672.0,473.0,3597594.0,15574.0,231.0,5598544.0,14504.0,386.0,2752424.9999999995,14115.0,195.0,4542423.0,13479.0,337.0,4537176.0,13384.0,339.0,4533732.0,13993.0,324.0,,0.023024404465865622,0.02302267028247207
2022-11-15,4685298.785714285,13986.214285714286,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",6743592.0,14724.0,458.0,4490882.0,14078.0,319.0,4179156.0,13142.0,318.0,4190476.0000000005,13261.0,316.0,4470004.0,14513.0,308.0,4760389.0,15017.0,317.0,4989365.0,13595.0,367.0,6783766.0,14342.0,473.0,3516513.0,15223.0,231.0,5472322.0,14177.0,386.0,2690610.0,13798.0,195.0,4439975.0,13175.0,337.0,4435137.0,13083.0,339.0,4431996.0,13679.0,324.0,,-0.06781282517085385,-0.06781210277504035
2022-10-15,5026135.214285715,15003.642857142857,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7234110.0,15795.0,458.0,4817538.0,15102.0,319.0,4483164.0,14098.0,318.0,4495416.0,14226.0,316.0,4795252.0,15569.0,308.0,5106870.0,16110.0,317.0,5351961.0,14583.0,367.0,7277578.0,15386.0,473.0,3772229.9999999995,16330.0,231.0,5870674.0,15209.0,386.0,2886390.0,14802.0,195.0,4762484.0,14132.0,337.0,4757526.0,14034.0,339.0,4754700.0,14675.0,324.0,,0.03645956739538292,0.036459721111999244
2022-9-15,4849330.714285715,14475.857142857143,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",6979462.0,15239.0,458.0,4648149.0,14571.0,319.0,4325436.0,13602.0,318.0,4337416.0,13726.0,316.0,4626776.0,15022.0,308.0,4927448.0,15544.0,317.0,5163323.0,14069.0,367.0,7021685.0,14845.0,473.0,3639405.0,15755.0,231.0,5664164.0,14674.0,386.0,2784795.0,14281.0,195.0,4594995.0,13635.0,337.0,4590060.0,13540.0,339.0,4587516.0,14159.0,324.0,,-0.03960657421889435,-0.03960762013079333
2022-8-15,5049316.857142857,15072.857142857143,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7267544.0,15868.0,458.0,4839868.0,15172.0,319.0,4503834.0,14163.0,318.0,4516272.0,14292.0,316.0,4817736.0,15642.0,308.0,5130645.0,16185.0,317.0,5376183.0,14649.0,367.0,7311161.000000001,15457.0,473.0,3789324.0,16404.0,231.0,5897694.0,15279.0,386.0,2899845.0,14871.0,195.0,4784052.0,14196.0,337.0,4779222.0,14098.0,339.0,4777056.0,14744.0,324.0,,-0.06897240131965132,-0.06897327632989636
2022-7-15,5423380.428571428,16189.5,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7805694.0,17043.0,458.0,5198743.0,16297.0,319.0,4837416.0,15212.0,318.0,4851232.000000001,15352.0,316.0,5175016.0,16802.0,308.0,5510728.0,17384.0,317.0,5774011.0,15733.0,367.0,7852746.0,16602.0,473.0,4069989.0,17619.0,231.0,6334646.0,16411.0,386.0,3114540.0,15972.0,195.0,5138239.0,15247.0,337.0,5133138.0,15142.0,339.0,5131188.0,15837.0,324.0,,0.017197526808713892,0.01719766090269781
2022-6-15,5331688.571428572,15915.785714285714,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7673790.0,16755.0,458.0,5110699.0,16021.0,319.0,4755690.0,14955.0,318.0,4769071.999999999,15092.0,316.0,5087544.0,16518.0,308.0,5417847.0,17091.0,317.0,5676022.0,15466.0,367.0,7720306.0,16322.0,473.0,4000920.0,17320.0,231.0,6227338.0,16133.0,386.0,3062085.0,15703.0,195.0,5051293.0,14989.0,337.0,5046354.0,14886.0,339.0,5044680.0,15570.0,324.0,,1.985473142407379e-05,1.795195160148033e-05
2022-5-15,5331582.714285715,15915.5,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7673790.0,16755.0,458.0,5110699.0,16021.0,319.0,4755689.999999999,14955.0,318.0,4769072.0,15092.0,316.0,5087852.0,16519.0,308.0,5417847.0,17091.0,317.0,5675288.0,15464.0,367.0,7719832.999999999,16321.0,473.0,4000689.0,17319.0,231.0,6227338.0,16133.0,386.0,3062085.0,15703.0,195.0,5050956.0,14988.0,337.0,5046015.0,14885.0,339.0,5045004.000000001,15571.0,324.0,,-0.02314249089918763,-0.023143764029180725
2022-4-15,5457891.928571428,16292.57142857143,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7855158.0,17151.0,458.0,5231919.000000001,16401.0,319.0,4868262.0,15309.0,318.0,4882200.0,15450.0,316.0,5208588.0,16911.0,308.0,5546232.0,17496.0,317.0,5809610.0,15830.0,367.0,7902884.0,16708.0,473.0,4095399.0,17729.0,231.0,6374790.0,16515.0,386.0,3134625.0,16075.0,195.0,5170254.0,15342.0,337.0,5165681.999999999,15238.0,339.0,5164884.0,15941.0,324.0,,-0.006021447529506174,-0.006022363799579877
2022-3-15,5490955.428571428,16391.285714285714,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7902790.0,17255.0,458.0,5263819.0,16501.0,319.0,4897518.0,15401.0,318.0,4911904.0,15544.0,316.0,5240312.0,17014.0,308.0,5579834.0,17602.0,317.0,5844475.0,15925.0,367.0,7950656.999999999,16809.0,473.0,4120116.0,17836.0,231.0,6413776.0,16616.0,386.0,3153735.0,16173.0,195.0,5201258.0,15434.0,337.0,5196870.0,15330.0,339.0,5196312.0,16038.0,324.0,,0.01612540152506492,0.016126746842841655
2022-2-15,5403816.714285715,16131.142857142857,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7777298.0,16981.0,458.0,5180241.0,16239.0,319.0,4819926.0,15157.0,318.0,4834168.0,15298.0,316.0,5157460.0,16745.0,308.0,5491391.0,17323.0,317.0,5751256.999999999,15671.0,367.0,7824839.0,16543.0,473.0,4054512.0,17552.0,231.0,6311872.0,16352.0,386.0,3103620.0,15916.0,195.0,5118356.0,15188.0,337.0,5114154.0,15086.0,339.0,5114340.0,15785.0,324.0,,-0.006255120049572183,-0.0062572054669143284
2022-1-15,5437831.0,16232.714285714286,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7826304.0,17088.0,458.0,5213098.0,16342.0,319.0,4850136.0,15252.0,318.0,4864820.0,15395.0,316.0,5190108.0,16851.0,308.0,5525944.0,17432.0,317.0,5786856.0,15768.0,367.0,7874031.0,16647.0,473.0,4079922.0,17662.0,231.0,6351630.0,16455.0,386.0,3123315.0,16017.0,195.0,5150371.0,15283.0,337.0,5146358.999999999,15181.0,339.0,5146740.0,15885.0,324.0,,0.020527842648193628,0.02052656868160252
2021-12-15,5328449.428571428,15906.214285714286,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7668752.0,16744.0,458.0,5108147.0,16013.0,319.0,4752509.999999999,14945.0,318.0,4767176.0,15086.0,316.0,5086004.0,16513.0,308.0,5414994.0,17082.0,317.0,5670150.0,15450.0,367.0,7715576.0,16312.0,473.0,3997686.0,17306.0,231.0,6223864.0,16124.0,386.0,3060525.0,15695.0,195.0,5046575.0,14975.0,337.0,5042625.0,14875.0,339.0,5043708.0,15567.0,324.0,,-0.0322345783211353,-0.032233251051698386
2021-11-15,5505930.785714285,16436.0,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7924316.0,17302.0,458.0,5278493.0,16547.0,319.0,4910874.0,15443.0,318.0,4925808.0,15588.0,316.0,5255403.999999999,17063.0,308.0,5595367.0,17651.0,317.0,5858788.0,15964.0,367.0,7972888.0,16856.0,473.0,4130742.0,17882.0,231.0,6431146.0,16661.0,386.0,3162510.0,16218.0,195.0,5214401.0,15473.0,337.0,5210430.0,15370.0,339.0,5211864.0,16086.0,324.0,,0.06050599555804692,0.0605043875820368
2021-10-15,5191796.0,15498.285714285714,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7472270.0,16315.0,458.0,4977357.0,15603.0,319.0,4630716.0,14562.0,318.0,4644884.0,14699.0,316.0,4955720.0,16090.0,308.0,5276465.0,16645.0,317.0,5524084.0,15052.0,367.0,7517862.0,15894.0,473.0,3894890.9999999995,16861.0,231.0,6064059.999999999,15710.0,386.0,2982135.0,15293.0,195.0,4916493.0,14589.0,337.0,4913127.0,14493.0,339.0,4915080.000000001,15170.0,324.0,,-0.049691933314484515,-0.04969297746165513
2021-9-15,5463276.785714285,16308.714285714286,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7862944.0,17168.0,458.0,5237661.0,16419.0,319.0,4872714.000000001,15323.0,318.0,4888204.0,15469.0,316.0,5215364.0,16933.0,308.0,5552255.0,17515.0,317.0,5812546.000000001,15838.0,367.0,7910925.0,16725.0,473.0,4098402.0,17742.0,231.0,6381352.0,16532.0,386.0,3138135.0,16093.0,195.0,5173287.0,15351.0,337.0,5169750.0,15250.0,339.0,5172335.999999999,15964.0,324.0,,-0.01683025690483586,-0.016027339995948853
2021-8-15,5556799.142857143,16574.35714285714,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",7975154.0,17413.0,458.0,5312626.0,16654.0,319.0,4942356.0,15542.0,318.0,4958040.0,15690.0,316.0,5289900.0,17175.0,308.0,5631822.0,17766.0,317.0,5894754.0,16062.0,367.0,8241552.0,17424.0,473.0,4156614.0000000005,17994.0,231.0,6472448.0,16768.0,386.0,3182985.0,16323.0,195.0,5246753.0,15569.0,337.0,5243652.0,15468.0,339.0,5246532.0,16193.0,324.0,,0.02865114773297517,0.030048119606520096
2021-7-15,5402024.928571428,16090.857142857143,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",8096524.0,17678.0,458.0,5138771.0,16109.0,319.0,4780176.0,15032.0,318.0,4795616.0,15176.0,316.0,5116804.0,16613.0,308.0,5447328.0,17184.0,317.0,5701345.0,15535.0,367.0,7971469.0,16853.0,473.0,4020324.0,17404.0,231.0,6260534.000000001,16219.0,386.0,3078660.0,15788.0,195.0,5074546.0,15058.0,337.0,5071440.0,14960.0,339.0,5074812.0,15663.0,324.0,,,
2021-6-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2021-5-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2021-4-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2021-3-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2021-2-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2021-1-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-12-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-11-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-10-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-9-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-8-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-7-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-6-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-5-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-4-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-3-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
2020-2-15,,,"ONE INNOVALE(Phase 3),Block D,MA SIK RD|ONE INNOVALE3期,D座,馬適路",,,458.0,,,319.0,,,318.0,,,316.0,,,308.0,,,317.0,,,367.0,,,473.0,,,231.0,,,386.0,,,195.0,,,337.0,,,339.0,,,324.0,,,
