,A,B,C,D,E,F,G,H
2.0,5089530,3532480,4646208,5089530,5018850,4493664,4493664,4531784
4.0,5226330,3671360,4772096,5226330,5154510,4615488,4615488,4654736
6.0,5357430,3775296,4897984,5357430,5266800,4737312,4737312,4777688
