,A,B,C,D,E,F,G,H,J,K,L,M
2.0,10986882,9683996,13424678,8510982,17048094,10503891,10692676,10883941,17037961,14975007,10826710,10923500
5.0,11255997,10142912,14237841,8647275,15212176,10338051,12312576,12617660,17979778,15713190,10897600,11456900
7.0,11883000,11016656,16470295,8881851,18312462,13091686,12746108,11476819,18553494,18916067,11937320,11855200
