,A,B,C,D,E,F,G,H,J,K,L,M
2.0,699,668,881,543,994,691,668,691,1003,1021,695,700
5.0,699,668,881,543,994,691,668,691,1003,1021,695,700
7.0,699,668,881,543,994,691,668,691,1003,1021,695,700
