,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5644853.5,8164.833333333333,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6384573.0,7683.0,831.0,5713773.0,7969.0,717.0,5574675.0,7775.0,717.0,6979569.0,8399.0,831.0,4530669.0,8437.0,537.0,4685862.0,8726.0,537.0,,0.05157175868810371,0.051559447914654166
2022-11-15,5368015.5,7764.5,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6072117.0,7307.0,831.0,5434142.999999999,7579.0,717.0,5302215.0,7395.0,717.0,6634704.000000001,7984.0,831.0,4309425.0,8025.0,537.0,4455489.0,8297.0,537.0,,-0.0697690276783639,-0.06980412515224721
2022-10-15,5770626.5,8347.166666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6529167.000000001,7857.0,831.0,5843550.0,8150.0,717.0,5700867.0,7951.0,717.0,7125824.999999999,8575.0,831.0,4634847.0,8631.0,537.0,4789503.0,8919.0,537.0,,-0.018389672130966317,-0.01842306410834349
2022-9-15,5878734.5,8503.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6652986.0,8006.0,831.0,5954685.0,8305.0,717.0,5809134.0,8102.0,717.0,7252968.000000001,8728.0,831.0,4723452.0,8796.0,537.0,4879182.0,9086.0,537.0,,-0.045971978806606195,-0.046851357157534856
2022-8-15,6162014.5,8921.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6953808.0,8368.0,831.0,6224277.000000001,8681.0,717.0,6071556.0,8468.0,717.0,7572072.0,9112.0,831.0,5052096.0,9408.0,537.0,5098278.0,9494.0,537.0,,0.008225972327518205,0.008211696016574122
2022-7-15,6111739.5,8849.166666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",6898962.0,8302.0,831.0,6175520.999999999,8613.0,717.0,6023517.0,8401.0,717.0,7504761.0,9031.0,831.0,5010747.0,9331.0,537.0,5056929.0,9417.0,537.0,,-0.044038736225406216,-0.04405674984696273
2022-6-15,6393292.0,9257.0,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7218897.0,8687.0,831.0,6461604.0,9012.0,717.0,6302430.0,8790.0,717.0,7844640.0,9440.0,831.0,5242194.0,9762.0,537.0,5289987.0,9851.0,537.0,,0.01419539018247229,0.01416937515977068
2022-5-15,6303807.0,9127.666666666666,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7119177.0,8567.0,831.0,6371979.0,8887.0,717.0,6214239.0,8667.0,717.0,7730793.0,9303.0,831.0,5169162.0,9626.0,537.0,5217492.0,9716.0,537.0,,-0.003259665210538998,-0.0032940833894481436
2022-4-15,6324422.5,9157.833333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7143276.0,8596.0,831.0,6393489.0,8917.0,717.0,6235032.0,8696.0,717.0,7751568.0,9328.0,831.0,5186883.000000001,9659.0,537.0,5236287.0,9751.0,537.0,,0.014334293363442718,0.013988078761372202
2022-3-15,6235047.5,9031.5,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7036908.0,8468.0,831.0,6295977.0,8781.0,717.0,6141105.0,8565.0,717.0,7628580.0,9180.0,831.0,5149293.0,9589.0,537.0,5158422.0,9606.0,537.0,,-0.03991557172707638,-0.03995110197718099
2022-2-15,6494270.0,9407.333333333334,"CARMEL HEIGHTS(Block 7,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,7座(嘉美閣),100 青山公路青龍頭段",7331082.0,8822.0,831.0,6556965.0,9145.0,717.0,6397074.0,8922.0,717.0,7941036.0,9556.0,831.0,5364630.0,9990.0,537.0,5374833.0,10009.0,537.0,,0.029471314587663056,0.02975571488515505
