,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5845318.833333333,8404.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",6532940.0,7967.0,820.0,5820364.0,8129.0,716.0,5854125.0,8375.0,699.0,6673160.0,8138.0,820.0,4885452.0,8541.0,572.0,5305872.0,9276.0,572.0,,0.05196997102996126,0.0519881503734303
2022-11-15,5556545.333333333,7989.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",6211499.999999999,7575.0,820.0,5533963.999999999,7729.0,716.0,5564040.0,7960.0,699.0,6343520.0,7736.0,820.0,4642924.0,8117.0,572.0,5043324.0,8817.0,572.0,,-0.06928113742023512,-0.06926079105260097
2022-10-15,5970165.166666667,8583.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",6675620.0,8141.0,820.0,5948528.0,8308.0,716.0,5975751.0,8549.0,699.0,6815840.0,8312.0,820.0,4986696.0,8718.0,572.0,5418556.0,9473.0,572.0,,-0.017986470135977095,-0.017962359132772776
2022-9-15,6079514.166666667,8740.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",6800259.999999999,8293.0,820.0,6059508.0,8463.0,716.0,6083397.000000001,8703.0,699.0,6940480.0,8464.0,820.0,5075928.0,8874.0,572.0,5517512.0,9646.0,572.0,,-0.04250152501954718,-0.04248676282636488
2022-8-15,6349372.166666667,9128.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7103660.0,8663.0,820.0,6330872.0,8842.0,716.0,6351813.0,9087.0,699.0,7247980.0,8839.0,820.0,5299580.0,9265.0,572.0,5762328.0,10074.0,572.0,,0.007911511963849316,0.005729185794557168
2022-7-15,6299533.333333333,9076.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7045440.0,8592.0,820.0,6278604.0,8769.0,716.0,6162384.0,8816.0,699.0,7056100.0,8605.0,820.0,5541536.0,9688.0,572.0,5713136.0,9988.0,572.0,,-0.0440911720312932,-0.044059823058559044
2022-6-15,6590098.5,9494.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7370980.0,8989.0,820.0,6568584.0,9174.0,716.0,6448275.0,9225.0,699.0,7383280.0,9004.0,820.0,5794932.0,10131.0,572.0,5974540.0,10445.0,572.0,,0.014062326047247886,0.014098547422386698
2022-5-15,6498711.5,9362.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7270120.0,8866.0,820.0,6477652.0,9047.0,716.0,6360201.0,9099.0,699.0,7282420.0,8881.0,820.0,5712564.0,9987.0,572.0,5889312.0,10296.0,572.0,,-0.003436983912820546,-0.0034061879080329316
2022-4-15,6521124.5,9394.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7296360.0,8898.0,820.0,6499848.0,9078.0,716.0,6383966.999999999,9133.0,699.0,7308660.0,8913.0,820.0,5730296.0,10018.0,572.0,5907616.000000001,10328.0,572.0,,0.015941164300458333,0.015969143145524667
2022-3-15,6418801.333333333,9247.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7186480.0,8764.0,820.0,6401756.0,8941.0,716.0,6268632.0,8968.0,699.0,7198780.0,8779.0,820.0,5641636.0,9863.0,572.0,5815524.0,10167.0,572.0,,-0.039865368574195315,-0.039838017444275176
2022-2-15,6685313.833333333,9630.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7485780.0,9129.0,820.0,6667392.0,9312.0,716.0,6529359.0,9341.0,699.0,7499720.0,9146.0,820.0,5874440.0,10270.0,572.0,6055192.0,10586.0,572.0,,0.03125722196459857,0.03124944229293436
2022-1-15,6482683.166666667,9338.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7258640.0,8852.0,820.0,6464764.0,9029.0,716.0,6330843.0,9057.0,699.0,7272580.0,8869.0,820.0,5696548.0,9959.0,572.0,5872724.0,10267.0,572.0,,-0.0053373732790353845,-0.005343132033940323
2021-12-15,6517469.333333333,9389.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7298000.0,8900.0,820.0,6498416.0,9076.0,716.0,6363696.0,9104.0,699.0,7311940.0,8917.0,820.0,5728008.0,10014.0,572.0,5904756.0,10323.0,572.0,,-0.043397215439849646,-0.043402954661232784
2021-11-15,6813140.666666667,9815.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7628460.0,9303.0,820.0,6791976.0,9486.0,716.0,6651684.0,9516.0,699.0,7644860.0,9323.0,820.0,5988268.0,10469.0,572.0,6173596.0,10793.0,572.0,,0.032820257108773454,0.03281362352899908
2021-10-15,6596637.333333333,9503.166666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7386560.0,9008.0,820.0,6575028.0,9183.0,716.0,6439188.0,9212.0,699.0,7402140.0,9027.0,820.0,5798364.0,10137.0,572.0,5978544.0,10452.0,572.0,,-0.01612014026937747,-0.01613348517789981
2021-9-15,6704718.333333333,9659.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7507100.0,9155.0,820.0,6681712.0,9332.0,716.0,6544038.0,9362.0,699.0,7523500.0,9175.0,820.0,5894460.0,10305.0,572.0,6077500.0,10625.0,572.0,,0.002478441135608689,0.003688886579726658
2021-8-15,6688142.166666667,9623.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7544820.0,9201.0,820.0,6668108.0,9313.0,716.0,6530757.0,9343.0,699.0,7576800.0,9240.0,820.0,5705128.000000001,9974.0,572.0,6103240.0,10670.0,572.0,,-0.010432211818242942,-0.010420058612829797
2021-7-15,6758649.833333333,9724.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7626000.0,9300.0,820.0,6737560.0,9410.0,716.0,6599259.0,9441.0,699.0,7657160.000000001,9338.0,820.0,5766904.0,10082.0,572.0,6165016.0,10778.0,572.0,,0.012926307729037578,0.012528849324101587
2021-6-15,6672400.333333333,9604.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7551380.000000001,9209.0,820.0,6670256.0,9316.0,716.0,6521670.0,9330.0,699.0,7477580.0,9119.0,820.0,5711420.0,9985.0,572.0,6102096.0,10668.0,572.0,,0.008373567498124457,0.008381745642892291
2021-5-15,6616992.5,9524.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7489880.0,9134.0,820.0,6614408.0,9238.0,716.0,6467847.0,9253.0,699.0,7415260.0,9043.0,820.0,5665660.0,9905.0,572.0,6048900.0,10575.0,572.0,,8.249644572555503e-05,8.749978125033309e-05
2021-4-15,6616446.666666667,9523.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7490700.0,9135.0,820.0,6612976.0,9236.0,716.0,6467148.0,9252.0,699.0,7414440.0,9042.0,820.0,5666804.0,9907.0,572.0,6046612.0,10571.0,572.0,,-0.0009536554169552458,-0.0009441054600766163
2021-3-15,6622762.5,9532.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7499720.0,9146.0,820.0,6618704.0,9244.0,716.0,6473438.999999999,9261.0,699.0,7421000.0,9050.0,820.0,5673668.0,9919.0,572.0,6050044.0,10577.0,572.0,,0.028962668585490903,0.028963606598665148
2021-2-15,6436348.666666667,9264.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7288160.0,8888.0,820.0,6432543.999999999,8984.0,716.0,6290999.999999999,9000.0,699.0,7212720.0,8796.0,820.0,5515796.0,9643.0,572.0,5877872.0,10276.0,572.0,,0.008351505619944355,0.008326077492381456
2021-1-15,6383040.666666667,9188.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7226660.0,8813.0,820.0,6378128.0,8908.0,716.0,6237876.0,8924.0,699.0,7152860.0,8723.0,820.0,5473468.0,9569.0,572.0,5829252.0,10191.0,572.0,,0.0088462221323089,0.008820407715111944
2020-12-15,6327070.0,9107.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7162700.0,8735.0,820.0,6320848.0,8828.0,716.0,6181956.0,8844.0,699.0,7089720.0,8646.0,820.0,5428852.000000001,9491.0,572.0,5778344.0,10102.0,572.0,,0.0073301683529880535,0.007299539170506852
2020-11-15,6281029.0,9041.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7109400.0,8670.0,820.0,6274308.0,8763.0,716.0,6135822.0,8778.0,699.0,7037240.0,8582.0,820.0,5392816.0,9428.0,572.0,5736588.0,10029.0,572.0,,-0.009701001559596856,-0.010072625086675724
