,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5719242.5,8321.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",5983200.0,7200.0,831.0,6083028.0,8484.0,717.0,6186275.999999999,8628.0,717.0,6516702.0,7842.0,831.0,4763727.0,8871.0,537.0,4782522.0,8906.0,537.0,,0.051842955231533594,0.0518432694333264
2022-11-15,5437354.0,7911.666666666667,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",5688195.0,6845.0,831.0,5782605.0,8065.0,717.0,5881550.999999999,8203.0,717.0,6195936.0,7456.0,831.0,4529058.0,8434.0,537.0,4546779.0,8467.0,537.0,,-0.06910435761596656,-0.0694711255733721
2022-10-15,5840992.0,8502.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6113667.0,7357.0,831.0,6215673.000000001,8669.0,717.0,6261561.0,8733.0,717.0,6659634.0,8014.0,831.0,4908180.0,9140.0,537.0,4887237.0,9101.0,537.0,,-0.01830244074280707,-0.01830077937073027
2022-9-15,5949889.5,8660.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6227514.0,7494.0,831.0,6331110.0,8830.0,717.0,6378431.999999999,8896.0,717.0,6784284.0,8164.0,831.0,5000007.0,9311.0,537.0,4977990.000000001,9270.0,537.0,,-0.04282843177315221,-0.04282556640265245
2022-8-15,6216116.0,9048.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6505899.0,7829.0,831.0,6613608.0,9224.0,717.0,6664515.0,9295.0,717.0,7088430.000000001,8530.0,831.0,5223399.0,9727.0,537.0,5200845.0,9685.0,537.0,,0.007781954814079395,0.007646905972753304
2022-7-15,6168116.0,8979.666666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6452715.0,7765.0,831.0,6559116.0,9148.0,717.0,6610022.999999999,9219.0,717.0,7030260.0,8460.0,831.0,5180976.0,9648.0,537.0,5175605.999999999,9638.0,537.0,,-0.04405516324101666,-0.04405528645694723
2022-6-15,6452376.5,9393.5,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6750213.0,8123.0,831.0,6860973.0,9569.0,717.0,6914748.000000001,9644.0,717.0,7354350.0,8850.0,831.0,5419404.0,10092.0,537.0,5414571.0,10083.0,537.0,,0.012556013348262285,0.01284908169500043
2022-5-15,6372365.0,9274.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6717804.0,8084.0,831.0,6763460.999999999,9433.0,717.0,6817953.0,9509.0,717.0,7252968.0,8728.0,831.0,5343687.000000001,9951.0,537.0,5338317.0,9941.0,537.0,,-0.003159219220529863,-0.003135020870281724
2022-4-15,6392560.5,9303.5,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6740241.0,8111.0,831.0,6782103.0,9459.0,717.0,6840897.0,9541.0,717.0,7277898.0,8758.0,831.0,5359797.0,9981.0,537.0,5354427.0,9971.0,537.0,,0.020132525809866575,0.01997149539540999
2022-3-15,6266402.0,9121.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6638028.0,7988.0,831.0,6673836.0,9308.0,717.0,6570588.0,9164.0,717.0,7168206.0,8626.0,831.0,5276562.0,9826.0,537.0,5271192.0,9816.0,537.0,,-0.03533887667446334,-0.03532397941197207
2022-2-15,6495962.0,9455.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6804228.0,8188.0,831.0,6947013.0,9689.0,717.0,6843765.0,9545.0,717.0,7465704.0,8984.0,831.0,5494047.0,10231.0,537.0,5421015.0,10095.0,537.0,,0.03304211531877144,0.03340741010601489
