,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5095308.339631215,10597.2,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",6362858.562051966,10457.0,552.0,6371744.330767447,10415.0,555.0,4585083.112770856,11092.0,375.0,4107140.9716396653,10585.0,352.0,4049714.72092614,10437.0,352.0,,0.05338326532668658,0.04165765624078488
2022-11-15,4837088.74760888,10173.4,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",6046377.28151443,10051.0,552.0,6054439.623557086,10010.0,555.0,4355659.037440358,10658.0,375.0,3904379.3042947208,10178.0,352.0,3824588.491237804,9970.0,352.0,,-0.06935312483495704,0.03182684895938981
2022-10-15,5197555.460282462,9859.6,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",6495937.477809103,9739.0,552.0,6504416.3847590815,9699.0,555.0,4678080.1278101085,10324.0,375.0,4196354.47925172,9866.0,352.0,4112988.8317822963,9670.0,352.0,,-0.03950597550982138,-0.2572358409546338
2022-9-15,5411335.5499960305,13274.2,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",6838677.143084975,13277.0,552.0,6761911.076851271,13057.0,555.0,4984909.471818119,14246.0,375.0,4270898.929747196,13003.0,352.0,4200281.128478593,12788.0,352.0,,-0.042959204812929586,0.006200539704678487
2022-8-15,5654237.0787216965,13192.4,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",7146039.94055467,13196.0,552.0,7065637.33784897,12977.0,555.0,5207818.935090463,14156.0,375.0,4463312.240197337,12925.0,352.0,4388376.939917042,12708.0,352.0,,0.00816039196237317,-0.020361486938054174
2022-7-15,5608469.767112935,13466.6,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",7088586.28893138,13471.0,552.0,7008070.310009439,13246.0,555.0,5165231.3145695375,14449.0,375.0,4427980.369451171,13196.0,352.0,4352480.552603148,12971.0,352.0,,-0.044173890227523716,0.024060470563185277
2022-6-15,5867667.465631346,13150.2,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",7416449.554145355,13155.0,552.0,7332051.944140508,12935.0,555.0,5402963.715458276,14107.0,375.0,4633341.465545491,12888.0,352.0,4553530.6488671005,12666.0,352.0,,0.013927079169704593,-0.02305989331827707
2022-5-15,5787070.476938365,13460.6,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",7314840.811798156,13466.0,552.0,7231163.140509433,13240.0,555.0,5328384.7363546025,14439.0,375.0,4570317.111606961,13194.0,352.0,4490646.584422666,12964.0,352.0,,-0.003524339773914198,0.023137380094556237
2022-4-15,5807538.214857514,13156.2,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",7341522.346506751,13163.0,552.0,7256370.105806507,12940.0,555.0,5346643.477329652,14111.0,375.0,4586944.964230538,12897.0,352.0,4506210.180414121,12670.0,352.0,,0.01475210595307197,0.006764719386583851
2022-3-15,5723110.285544053,13067.8,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",7230973.011762989,13066.0,552.0,7147301.468704738,12845.0,555.0,5265376.004398065,14005.0,375.0,4518594.173477113,12804.0,352.0,4453306.769377357,12619.0,352.0,,-0.03999623850006695,0.04768700392848557
2022-2-15,5961549.855390282,12473.0,"FORTUNE COURT(Block A,TSUEN WAN GARDEN),CASTLE PEAK RD TSUEN WAN|荃灣花園,A座(富貴閣),青山公路荃灣段",7532656.972099122,12472.0,552.0,7444858.778628483,12260.0,555.0,5484104.671043402,13366.0,375.0,4707534.223302021,12223.0,352.0,4638594.631878387,12044.0,352.0,,0.031225556508601038,-0.02040399597888909
