,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6554865.0,8705.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",6554865.0,8705.0,753.0,6554865.0,8705.0,753.0,,0.051709556602633766,0.051709556602633766
2022-11-15,6232581.0,8277.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",6232581.0,8277.0,753.0,6232581.0,8277.0,753.0,,-0.06968641114982577,-0.06968641114982577
2022-10-15,6699441.0,8897.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",6699441.0,8897.0,753.0,6699441.0,8897.0,753.0,,-0.018316230828644087,-0.018316230828643976
2022-9-15,6824439.000000001,9063.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",6824439.000000001,9063.0,753.0,6824439.000000001,9063.0,753.0,,-0.04287675572922156,-0.04287675572922167
2022-8-15,7130157.0,9469.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7130157.0,9469.0,753.0,7130157.0,9469.0,753.0,,0.008305824725801214,0.008305824725801214
2022-7-15,7071423.0,9391.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7071423.0,9391.0,753.0,7071423.0,9391.0,753.0,,-0.04417302798982192,-0.04417302798982192
2022-6-15,7398225.0,9825.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7398225.0,9825.0,753.0,7398225.0,9825.0,753.0,,0.014036536278253742,0.014036536278253742
2022-5-15,7295817.0,9689.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7295817.0,9689.0,753.0,7295817.0,9689.0,753.0,,-0.003394363299732528,-0.003394363299732528
2022-4-15,7320666.0,9722.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7320666.0,9722.0,753.0,7320666.0,9722.0,753.0,,0.0153524804177545,0.0153524804177545
2022-3-15,7209975.000000001,9575.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7209975.000000001,9575.0,753.0,7209975.000000001,9575.0,753.0,,-0.03990775092750409,-0.039907750927504315
2022-2-15,7509669.0,9973.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7509669.0,9973.0,753.0,7509669.0,9973.0,753.0,,0.031227380829283335,0.031227380829283335
2022-1-15,7282263.0,9671.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7282263.0,9671.0,753.0,7282263.0,9671.0,753.0,,-0.0051435037547576945,-0.0051435037547576945
2021-12-15,7319913.0,9721.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7319913.0,9721.0,753.0,7319913.0,9721.0,753.0,,-0.04339696910057078,-0.04339696910057078
2021-11-15,7651986.0,10162.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7651986.0,10162.0,753.0,7651986.0,10162.0,753.0,,0.03293352307379549,0.03293352307379549
2021-10-15,7408014.0,9838.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",7408014.0,9838.0,753.0,7408014.0,9838.0,753.0,,,
2021-9-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2021-8-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2021-7-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2021-6-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2021-5-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2021-4-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2021-3-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2021-2-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2021-1-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-12-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-11-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-10-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-9-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-8-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-7-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-6-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-5-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-4-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-3-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-2-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2020-1-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2019-12-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2019-11-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2019-10-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2019-9-15,4129452.0,5484.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",4129452.0,5484.0,753.0,4129452.0,5484.0,753.0,,0.006423196916865548,0.006423196916865548
2019-8-15,4103097.0,5449.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",4103097.0,5449.0,753.0,4103097.0,5449.0,753.0,,-0.020316432937792173,-0.020316432937792173
2019-7-15,4188186.0,5562.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",4188186.0,5562.0,753.0,4188186.0,5562.0,753.0,,0.024120788068495713,0.024120788068495713
2019-6-15,4089543.0,5431.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",4089543.0,5431.0,753.0,4089543.0,5431.0,753.0,,-0.02302572405108827,-0.02302572405108827
2019-5-15,4185927.0,5559.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",4185927.0,5559.0,753.0,4185927.0,5559.0,753.0,,0.02319160684704591,0.02319160684704591
2019-4-15,4091049.0,5433.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",4091049.0,5433.0,753.0,4091049.0,5433.0,753.0,,0.007603857566765626,0.007603857566765626
2019-3-15,4060176.0,5392.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",4060176.0,5392.0,753.0,4060176.0,5392.0,753.0,,0.04780411970462506,0.04780411970462506
2019-2-15,3874937.9999999995,5146.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",3874937.9999999995,5146.0,753.0,3874937.9999999995,5146.0,753.0,,-0.02036931277365328,-0.02036931277365317
2019-1-15,3955509.0,5253.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",3955509.0,5253.0,753.0,3955509.0,5253.0,753.0,,-0.007932011331444722,-0.007932011331444722
2018-12-15,3987135.0,5295.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",3987135.0,5295.0,753.0,3987135.0,5295.0,753.0,,-0.016895655402896392,-0.016895655402896392
2018-11-15,4055658.0,5386.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",4055658.0,5386.0,753.0,4055658.0,5386.0,753.0,,-0.009380172889461136,-0.009380172889461136
2018-10-15,4094061.0,5437.0,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",4094061.0,5437.0,753.0,4094061.0,5437.0,753.0,,,
2018-9-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2018-8-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2018-7-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2018-6-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2018-5-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2018-4-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2018-3-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2018-2-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,,,
2018-1-15,,,"PEACE HSE,WO TIK ST|平愛大廈,禾笛街",,,753.0,,,753.0,753.0,,
