,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5904221.0,8565.333333333334,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",6755199.0,8129.0,831.0,6055065.0,8445.0,717.0,6150426.0,8578.0,717.0,6709494.0,8074.0,831.0,4848036.0,9028.0,537.0,4907106.0,9138.0,537.0,,0.05189323897054443,0.05190764696250216
2022-11-15,5612947.0,8142.666666666667,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",6422799.0,7729.0,831.0,5756076.0,8028.0,717.0,5847135.0,8155.0,717.0,6378756.0,7676.0,831.0,4609071.0,8583.0,537.0,4663845.0,8685.0,537.0,,-0.06911639687427129,-0.06912582882402263
2022-10-15,6029698.0,8747.333333333334,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",6899793.0,8303.0,831.0,6182690.999999999,8623.0,717.0,6279486.0,8758.0,717.0,6853257.0,8247.0,831.0,4952214.0,9222.0,537.0,5010747.0,9331.0,537.0,,-0.0176537921277381,-0.017668638167252948
2022-9-15,6138058.0,8904.666666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7024442.999999999,8453.0,831.0,6292392.000000001,8776.0,717.0,6391338.0,8914.0,717.0,6976245.0,8395.0,831.0,5041893.0,9389.0,537.0,5102037.0,9501.0,537.0,,-0.036185264231599734,-0.036430529505122045
2022-8-15,6368504.0,9241.333333333334,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7334406.0,8826.0,831.0,6327525.0,8825.0,717.0,6671685.0,9305.0,717.0,7284546.0,8766.0,831.0,5264748.0,9804.0,537.0,5328114.0,9922.0,537.0,,0.007912467957234881,0.007669101879111739
2022-7-15,6318509.0,9171.0,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7270419.0,8749.0,831.0,6275901.0,8753.0,717.0,6611457.0,9221.0,717.0,7220558.999999999,8689.0,831.0,5219103.0,9719.0,537.0,5313615.0,9895.0,537.0,,-0.04364982724875921,-0.04365810420939198
2022-6-15,6606899.0,9589.666666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7601157.0,9147.0,831.0,6565569.0,9157.0,717.0,6911163.0,9639.0,717.0,7549635.0,9085.0,831.0,5456994.0,10162.0,537.0,5556876.0,10348.0,537.0,,0.020779602018106136,0.020502997410521084
2022-5-15,6472405.0,9397.0,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7493958.000000001,9018.0,831.0,6474510.000000001,9030.0,717.0,6562701.0,9153.0,717.0,7442436.0,8956.0,831.0,5380740.0,10020.0,537.0,5480085.0,10205.0,537.0,,-0.002166590597935669,-0.0024239636228525763
2022-4-15,6486458.5,9419.833333333334,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7467366.000000001,8986.0,831.0,6496737.0,9061.0,717.0,6585645.0,9185.0,717.0,7467366.000000001,8986.0,831.0,5401146.0,10058.0,537.0,5500491.0,10243.0,537.0,,0.015230193747979515,0.015232347182554618
2022-3-15,6389150.5,9278.5,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7358504.999999999,8855.0,831.0,6398508.0,8924.0,717.0,6485982.0,9046.0,717.0,7353519.0,8849.0,831.0,5320059.0,9907.0,537.0,5418330.0,10090.0,537.0,,-0.03950338278068122,-0.03955903664343374
2022-2-15,6651924.0,9660.666666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7668468.0,9228.0,831.0,6664515.0,9295.0,717.0,6740517.0,9401.0,717.0,7650186.0,9206.0,831.0,5542914.0,10322.0,537.0,5644944.0,10512.0,537.0,,0.025893939059784987,0.026783816339545075
2022-1-15,6484027.0,9408.666666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7569579.0,9109.0,831.0,6462321.0,9013.0,717.0,6535455.0,9115.0,717.0,7485648.0,9008.0,831.0,5375907.0,10011.0,537.0,5475252.0,10196.0,537.0,,-0.005249343630688186,-0.005268629627671828
2021-12-15,6518243.5,9458.5,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7609467.0,9157.0,831.0,6496020.0,9060.0,717.0,6569871.0,9163.0,717.0,7523874.000000001,9054.0,831.0,5404905.0,10065.0,537.0,5505324.0,10252.0,537.0,,-0.043384867495115054,-0.0434042409736034
2021-11-15,6813862.0,9887.666666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7954332.0,9572.0,831.0,6790707.0,9471.0,717.0,6867426.0,9578.0,717.0,7863753.0,9463.0,831.0,5650851.0,10523.0,537.0,5756103.0,10719.0,537.0,,0.032876970022692964,0.03285224324936009
2021-10-15,6596973.5,9573.166666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7700877.0,9267.0,831.0,6574173.0,9169.0,717.0,6648741.0,9273.0,717.0,7611960.0,9160.0,831.0,5472030.0,10190.0,537.0,5574060.0,10380.0,537.0,,-0.01672373775855629,-0.016724869898657957
2021-9-15,6709176.0,9736.0,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7826358.0,9418.0,831.0,6681006.0,9318.0,717.0,6783537.0,9461.0,717.0,7734948.0,9308.0,831.0,5562783.0,10359.0,537.0,5666424.0,10552.0,537.0,,-0.0017341605524674453,-0.002765543378060009
2021-8-15,6720831.0,9763.0,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7812231.0,9401.0,831.0,6668100.0,9300.0,717.0,6770631.0,9443.0,717.0,7719159.0,9289.0,831.0,5553117.0,10341.0,537.0,5801748.0,10804.0,537.0,,-0.011840059329314978,-0.011592002024803816
2021-7-15,6801359.5,9877.5,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7894500.0,9500.0,831.0,6738366.0,9398.0,717.0,6841614.0,9542.0,717.0,7859598.0,9458.0,831.0,5612724.0,10452.0,537.0,5861355.0,10915.0,537.0,,0.010041443518114646,0.010038175744767841
2021-6-15,6733743.0,9779.333333333334,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7816386.0,9406.0,831.0,6671685.0,9305.0,717.0,6773499.0,9447.0,717.0,7780653.0,9363.0,831.0,5558487.0,10351.0,537.0,5801748.0,10804.0,537.0,,0.00679906863793911,0.007071261842647392
2021-5-15,6688269.0,9710.666666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7814724.0,9404.0,831.0,6615759.0,9227.0,717.0,6717573.0,9369.0,717.0,7715835.0,9285.0,831.0,5513379.0,10267.0,537.0,5752344.0,10712.0,537.0,,0.0027207150574393157,0.0034617570569899225
2021-4-15,6670121.5,9677.166666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7814724.0,9404.0,831.0,6615042.0,9226.0,717.0,6716856.0,9368.0,717.0,7714173.0,9283.0,831.0,5409201.0,10073.0,537.0,5750733.0,10709.0,537.0,,-0.0009429458944820723,-0.0009463505282357731
2021-3-15,6676417.0,9686.333333333334,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7822203.0,9413.0,831.0,6621495.0,9235.0,717.0,6723309.0,9377.0,717.0,7720821.0,9291.0,831.0,5415108.0,10084.0,537.0,5755566.0,10718.0,537.0,,0.029189639315918336,0.029183637329555756
2021-2-15,6487062.0,9411.666666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7600326.000000001,9146.0,831.0,6433641.0,8973.0,717.0,6532587.0,9111.0,717.0,7501437.0,9027.0,831.0,5262600.0,9800.0,537.0,5591781.0,10413.0,537.0,,0.008494467558254115,0.008500910811872542
2021-1-15,6432422.0,9332.333333333334,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7536339.0,9069.0,831.0,6379149.0,8897.0,717.0,6477378.0,9034.0,717.0,7439112.0,8952.0,831.0,5219103.0,9719.0,537.0,5543451.0,10323.0,537.0,,0.008615634147427498,0.008682807320939734
2020-12-15,6377476.0,9252.0,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7469859.0,8989.0,831.0,6321789.0,8817.0,717.0,6420018.0,8954.0,717.0,7386759.0,8889.0,831.0,5172921.0,9633.0,537.0,5493510.0,10230.0,537.0,,0.0060289399846069625,0.005433601391001908
2020-11-15,6339257.0,9202.0,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7415013.0,8923.0,831.0,6274467.0,8751.0,717.0,6349035.0,8855.0,717.0,7332744.0,8824.0,831.0,5135331.0,9563.0,537.0,5528952.0,10296.0,537.0,,-0.006738595681830439,-0.006924834073780861
2020-10-15,6382264.5,9266.166666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7474014.0,8994.0,831.0,6323223.0,8819.0,717.0,6399225.0,8925.0,717.0,7348533.0,8843.0,831.0,5176680.0,9640.0,537.0,5571912.0,10376.0,537.0,,-0.025498376915865317,-0.02550304984926033
2020-9-15,6549260.0,9508.666666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7670961.0,9231.0,831.0,6488133.0,9049.0,717.0,6566286.0,9158.0,717.0,7539663.0,9073.0,831.0,5313615.000000001,9895.0,537.0,5716902.0,10646.0,537.0,,0.040756001589755675,0.041132888061607975
2020-8-15,6292791.0,9133.0,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7380111.0,8881.0,831.0,6242202.0,8706.0,717.0,6316770.0,8810.0,717.0,7253799.0,8729.0,831.0,5064447.0,9431.0,537.0,5499417.000000001,10241.0,537.0,,-0.009528314099973567,-0.009525530953456873
2020-7-15,6353327.5,9220.833333333334,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7451577.0,8967.0,831.0,6301713.0,8789.0,717.0,6377715.0,8895.0,717.0,7323603.0,8813.0,831.0,5113851.0,9523.0,537.0,5551506.0,10338.0,537.0,,-0.00011567402744305788,3.615132946510613e-05
2020-6-15,6354062.5,9220.5,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7424985.0,8935.0,831.0,6422169.0,8957.0,717.0,6354054.0,8862.0,717.0,7297011.0,8781.0,831.0,5096130.0,9490.0,537.0,5530026.0,10298.0,537.0,,-0.025383270317736684,-0.025626122794039974
2020-5-15,6519550.0,9463.0,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7617777.0,9167.0,831.0,6590663.999999999,9192.0,717.0,6518964.0,9092.0,717.0,7465704.0,8984.0,831.0,5251323.0,9779.0,537.0,5672868.0,10564.0,537.0,,0.021752848665685942,0.02179351053682943
2020-4-15,6380750.5,9261.166666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7456563.0,8973.0,831.0,6453000.0,9000.0,717.0,6380583.0,8899.0,717.0,7306983.0,8793.0,831.0,5135867.999999999,9564.0,537.0,5551506.0,10338.0,537.0,,-0.0005349954872727603,-0.0005216202604504394
2020-3-15,6384166.0,9266.0,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7460718.0,8978.0,831.0,6458019.0,9007.0,717.0,6383451.0,8903.0,717.0,7311138.0,8798.0,831.0,5138553.0,9569.0,537.0,5553117.0,10341.0,537.0,,0.027847602371136482,0.02841287458379571
2020-2-15,6211199.0,9010.0,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7235517.0,8707.0,831.0,6265146.0,8738.0,717.0,6190578.0,8634.0,717.0,7208094.0,8674.0,831.0,4983360.0,9280.0,537.0,5384499.0,10027.0,537.0,,-0.04684248490990983,-0.046712162090673415
2020-1-15,6516445.5,9451.5,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7567917.0,9107.0,831.0,6554097.000000001,9141.0,717.0,6594966.0,9198.0,717.0,7539663.0,9073.0,831.0,5211585.0,9705.0,537.0,5630445.0,10485.0,537.0,,-0.009831566633088484,-0.009501685501196344
2019-12-15,6581148.5,9542.166666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7628580.0,9180.0,831.0,6608589.0,9217.0,717.0,6648024.0,9272.0,717.0,7674285.0,9235.0,831.0,5252934.0,9782.0,537.0,5674478.999999999,10567.0,537.0,,0.004120447487981904,0.004139116403879317
2019-11-15,6554142.5,9502.833333333334,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7597002.0,9142.0,831.0,6583494.000000001,9182.0,717.0,6621495.0,9235.0,717.0,7642707.0,9197.0,831.0,5230380.0,9740.0,537.0,5649777.0,10521.0,537.0,,0.016330718052123716,0.016327694693499373
2019-10-15,6448828.5,9350.166666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7474845.0,8995.0,831.0,6479529.0,9037.0,717.0,6516813.000000001,9089.0,717.0,7517226.0,9046.0,831.0,5146071.0,9583.0,537.0,5558487.000000001,10351.0,537.0,,-0.026528593784742815,-0.027206519854343636
2019-9-15,6624569.0,9611.666666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7681764.0,9244.0,831.0,6660930.0,9290.0,717.0,6541191.0,9123.0,717.0,7763202.0,9342.0,831.0,5389332.0,10036.0,537.0,5710995.0,10635.0,537.0,,0.0062758482564890805,0.006299185119265749
2019-8-15,6583253.5,9551.5,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7634397.0,9187.0,831.0,6621495.0,9235.0,717.0,6498888.0,9064.0,717.0,7715835.0,9285.0,831.0,5354427.0,9971.0,537.0,5674479.000000001,10567.0,537.0,,-0.020380304881682743,-0.02037572007316113
2019-7-15,6720213.5,9750.166666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7793118.0,9378.0,831.0,6762027.0,9431.0,717.0,6632250.0,9250.0,717.0,7876218.0,9478.0,831.0,5463438.0,10174.0,537.0,5794229.999999999,10790.0,537.0,,0.021967807972266717,0.0213698343139479
2019-6-15,6575758.5,9546.166666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7610298.0,9158.0,831.0,6605004.0,9212.0,717.0,6473793.0,9029.0,717.0,7690905.0,9255.0,831.0,5415645.0,10085.0,537.0,5658906.0,10538.0,537.0,,-0.023053283064884744,-0.02306026028074848
2019-5-15,6730928.5,9771.5,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7789794.0,9374.0,831.0,6762744.0,9432.0,717.0,6624363.0,9239.0,717.0,7872063.0,9473.0,831.0,5542377.0,10321.0,537.0,5794230.0,10790.0,537.0,,0.023184627958379833,0.023175860805221715
2019-4-15,6578410.5,9550.166666666666,"FONTANA HEIGHTS(Block 10,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,10座(富儷閣),100 青山公路青龍頭段",7612791.0,9161.0,831.0,6610740.0,9220.0,717.0,6473076.0,9028.0,717.0,7693398.0,9258.0,831.0,5416182.0,10086.0,537.0,5664275.999999999,10548.0,537.0,,0.00914671982585702,0.008855945631888407
