,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_I,npsf_I,nfa_I,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,5862334.4,17221.9,10,58623344.0,172219.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11403630.0,16527.0,690.0,3801840.0,17520.0,217.0,3819578.0000000005,17521.0,218.0,4219248.0,17292.0,244.0,4997388.0,17292.0,289.0,5065020.0,17772.0,285.0,7387890.0,16602.0,445.0,7717140.0,16596.0,465.0,5195033.999999999,17433.0,298.0,5016576.0,17664.0,284.0,0.004554061357582073,0.004555582776280875
2019-11-15,5835758.0,17143.8,10,58357580.0,171438.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11351880.0,16452.0,690.0,3784480.0,17440.0,217.0,3802356.0,17442.0,218.0,4199972.0,17213.0,244.0,4974557.0,17213.0,289.0,5042505.0,17693.0,285.0,7354515.0,16527.0,445.0,7682265.0,16521.0,465.0,5171194.0,17353.0,298.0,4993856.0,17584.0,284.0,0.00916788184844819,0.009171179656227935
2019-10-15,5782742.5,16988.0,10,57827425.0,169880.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11249070.0,16303.0,690.0,3750194.0,17282.0,217.0,3767912.0,17284.0,218.0,4161908.0,17057.0,244.0,4929473.0,17057.0,289.0,4995480.0,17528.0,285.0,7287764.999999999,16377.0,445.0,7612515.0,16371.0,465.0,5124408.0,17196.0,298.0,4948700.0,17425.0,284.0,-0.02235592687735244,-0.021845526676416815
2019-9-15,5914977.3,17367.4,10,59149773.0,173674.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11537490.0,16721.0,690.0,3846324.9999999995,17725.0,217.0,3864486.0,17727.0,218.0,4268536.0,17494.0,244.0,5055477.0,17493.0,289.0,4964415.0,17419.0,285.0,7474220.0,16796.0,445.0,7807350.0,16790.0,465.0,5255826.0,17637.0,298.0,5075648.0,17872.0,284.0,-0.01328969593742202,-0.013288791168833969
2019-8-15,5994644.3,17601.3,10,59946443.0,176013.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11692740.0,16946.0,690.0,3898188.0,17964.0,217.0,3916370.0,17965.0,218.0,4326120.0,17730.0,244.0,5123681.0,17729.0,289.0,5031105.0,17653.0,285.0,7574790.0,17022.0,445.0,7912905.0,17017.0,465.0,5326452.0,17874.0,298.0,5144092.0,18113.0,284.0,-0.003383410677530896,-0.0033859725611654623
2019-7-15,6014995.5,17661.1,10,60149955.0,176611.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11732070.0,17003.0,690.0,3911425.0,18025.0,217.0,3929668.0,18026.0,218.0,4340760.0,17790.0,244.0,5141021.0,17789.0,289.0,5048490.0,17714.0,285.0,7600600.0,17080.0,445.0,7939875.0,17075.0,465.0,5344630.0,17935.0,298.0,5161416.0,18174.0,284.0,0.022897792537295958,0.022900895996107673
2019-6-15,5880348.5,17265.7,10,58803485.0,172657.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11469870.0,16623.0,690.0,3823757.0,17621.0,217.0,3841814.0,17623.0,218.0,4243648.0,17392.0,244.0,5025999.0,17391.0,289.0,4935345.0,17317.0,285.0,7430610.0,16698.0,445.0,7761780.0,16692.0,465.0,5224834.0,17533.0,298.0,5045828.0,17767.0,284.0,-0.02597331715970652,-0.025973000265145596
2019-5-15,6037153.4,17726.1,10,60371534.0,177261.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11775540.0,17066.0,690.0,3925747.0,18091.0,217.0,3944274.0,18093.0,218.0,4356620.0,17855.0,244.0,5160095.0,17855.0,289.0,5067015.0,17779.0,285.0,7629080.0,17144.0,445.0,7968705.0,17137.0,465.0,5364298.0,18001.0,298.0,5180160.0,18240.0,284.0,0.017597174141916527,0.017589281101281662
2019-4-15,5932753.7,17419.7,10,59327537.0,174197.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11571299.999999998,16770.0,690.0,3857826.0,17778.0,217.0,3876040.0,17780.0,218.0,4281468.0,17547.0,244.0,5071083.0,17547.0,289.0,4979520.0,17472.0,285.0,7496915.0,16847.0,445.0,7831065.0,16841.0,465.0,5271620.0,17690.0,298.0,5090700.0,17925.0,284.0,0.01401270595456472,0.014017195513100322
2019-3-15,5850768.6,17178.9,10,58507686.0,171789.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11411220.0,16538.0,690.0,3804444.0,17532.0,217.0,3822412.0,17534.0,218.0,4222176.0,17304.0,244.0,5001145.0,17305.0,289.0,4910835.0,17231.0,285.0,7393675.0,16615.0,445.0,7723185.0,16609.0,465.0,5198610.0,17445.0,298.0,5019984.0,17676.0,284.0,0.048754155007979305,0.048753685829930005
2019-2-15,5578779.9,16380.3,10,55787799.0,163803.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",10880610.0,15769.0,690.0,3627589.0,16717.0,217.0,3644742.0,16719.0,218.0,4026000.0,16500.0,244.0,4768500.0,16500.0,289.0,4682550.0,16430.0,285.0,7050135.0,15843.0,445.0,7364205.0,15837.0,465.0,4956932.0,16634.0,298.0,4786536.0,16854.0,284.0,-0.014645255912586919,-0.01464767381705745
2019-1-15,5661696.9,16623.8,10,56616969.0,166238.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11042070.0,16003.0,690.0,3681621.9999999995,16966.0,217.0,3698806.0000000005,16967.0,218.0,4085780.0,16745.0,244.0,4839594.0,16746.0,289.0,4752090.0,16674.0,285.0,7155155.000000001,16079.0,445.0,7473480.0,16072.0,465.0,5030836.0,16882.0,298.0,4857536.0,17104.0,284.0,-0.004638628790464949,-0.004634397528321399
2018-12-15,5688081.8,16701.2,10,56880818.0,167012.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11093820.0,16078.0,690.0,3698765.0,17045.0,217.0,3716028.0,17046.0,218.0,4104812.0,16823.0,244.0,4862136.0,16824.0,289.0,4774320.0,16752.0,285.0,7188530.0,16154.0,445.0,7508355.0,16147.0,465.0,5054080.0,16960.0,298.0,4879972.0,17183.0,284.0,-0.030895222538899425,-0.03089876230873234
2018-11-15,5869418.8,17233.7,10,58694188.0,172337.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11447100.0,16590.0,690.0,3816596.0,17588.0,217.0,3834620.0,17590.0,218.0,4235596.0,17359.0,244.0,5017328.999999999,17361.0,289.0,4926510.0,17286.0,285.0,7417705.0,16669.0,445.0,7747830.0,16662.0,465.0,5215298.0,17501.0,298.0,5035604.0,17731.0,284.0,-0.007504046216540328,-0.0075040313291867555
2018-10-15,5913796.2,17364.0,10,59137962.0,173640.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11533350.0,16715.0,690.0,3845457.0,17721.0,217.0,3863614.0,17723.0,218.0,4267560.0,17490.0,244.0,5055188.0,17492.0,289.0,4963845.0,17417.0,285.0,7474220.0,16796.0,445.0,7806420.0,16788.0,465.0,5254932.0,17634.0,298.0,5073376.0,17864.0,284.0,-0.030384157852734073,-0.03038289935839078
2018-9-15,6099112.6,17908.1,10,60991126.0,179081.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11894910.0,17239.0,690.0,3965892.0,18276.0,217.0,3984604.0,18278.0,218.0,4401272.0,18038.0,244.0,5213849.0,18041.0,289.0,5119455.0,17963.0,285.0,7708290.0,17322.0,445.0,8051010.0,17314.0,465.0,5419428.0,18186.0,298.0,5232416.0,18424.0,284.0,0.013786123068371126,0.01378463140971209
2018-8-15,6016172.9,17664.6,10,60161729.0,176646.0,3435,"THE AURORA(Block 3),YEUNG UK RD|映日灣3座,楊屋道",11732760.0,17004.0,690.0,3912076.0,18028.0,217.0,3930322.0,18029.0,218.0,4341492.0,17793.0,244.0,5143044.0,17796.0,289.0,5049915.0,17719.0,285.0,7603715.0,17087.0,445.0,7941735.0,17079.0,465.0,5345822.0,17939.0,298.0,5160848.0,18172.0,284.0,-0.03845500462354634,-0.038451907898318094
