,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5854351.031947385,9411.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",6640851.859913937,8857.0,831.0,6127045.651420761,9471.0,717.0,6144512.680518888,9498.0,717.0,6600363.432632086,8803.0,831.0,4798671.727510471,9904.0,537.0,4814660.83968816,9937.0,537.0,,0.051902880981014254,0.005018865238129111
2022-11-15,5565486.260944132,9364.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",6356012.528965674,8878.0,831.0,5824429.214312484,9429.0,717.0,5841107.503503961,9456.0,717.0,6277260.402564883,8768.0,831.0,4515825.780697866,9761.0,537.0,4578282.135619924,9896.0,537.0,,-0.06962305742523223,0.01646224537790797
2022-10-15,5981969.249519394,9213.0,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",6831418.940956862,8734.0,831.0,6258683.001889669,9274.0,717.0,6276904.313195581,9301.0,717.0,6750073.902044621,8630.0,831.0,4852744.919076658,9601.0,537.0,4921990.419952973,9738.0,537.0,,-0.016022149172855715,-0.02489019033674955
2022-9-15,6079373.884778884,9448.166666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",6959347.92371205,8975.0,831.0,6374615.173353053,9528.0,717.0,6392679.2591717485,9555.0,717.0,6792633.739467137,8760.0,831.0,4941654.202320137,9862.0,537.0,5015313.010649184,10009.0,537.0,,-0.029226968148024834,0.031797167922536396
2022-8-15,6262404.996130832,9157.0,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7070979.000000001,8509.0,831.0,6528285.0,9105.0,717.0,6528285.0,9105.0,717.0,7044387.0,8477.0,831.0,5161735.844451498,9798.0,537.0,5240758.132333487,9948.0,537.0,,0.007389559586398198,-0.0033378079309218656
2022-7-15,6216468.035168017,9187.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7013640.0,8440.0,831.0,6473793.0,9029.0,717.0,6473793.0,9029.0,717.0,6986217.0,8407.0,831.0,5117580.634708865,9997.0,537.0,5233784.576299232,10224.0,537.0,,-0.04393790399298059,-0.019982222222222235
2022-6-15,6502159.2856060425,9375.0,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7336899.0,8829.0,831.0,6769914.0,9442.0,717.0,6769914.0,9442.0,717.0,7308645.0,8795.0,831.0,5352364.981327942,9759.0,537.0,5475218.732308314,9983.0,537.0,,0.015301258420239883,0.005218199363808518
2022-5-15,6404167.464268774,9326.333333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7235517.0,8707.0,831.0,6674553.0,9309.0,717.0,6674553.0,9309.0,717.0,7207263.0,8673.0,831.0,5276543.7856126465,9985.0,537.0,5356575.0,9975.0,537.0,,-0.003944741091080561,0.0005542939903804278
2022-4-15,6429530.296626222,9321.166666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7261277.999999999,8738.0,831.0,6696063.0,9339.0,717.0,6696063.0,9339.0,717.0,7232192.999999999,8703.0,831.0,5314603.779757332,9795.0,537.0,5376981.0,10013.0,537.0,,0.01549976395110586,0.014107236758599262
2022-3-15,6331395.16607095,9191.5,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7150755.0,8605.0,831.0,6592815.0,9195.0,717.0,6592815.0,9195.0,717.0,7122501.0,8571.0,831.0,5231442.996425701,9717.0,537.0,5298042.000000001,9866.0,537.0,,-0.039798819749902736,-0.025429419664946717
2022-2-15,6593821.478559163,9431.333333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7448253.0,8963.0,831.0,6864558.0,9574.0,717.0,6864558.0,9574.0,717.0,7419168.0,8928.0,831.0,5446031.8713549785,9269.0,537.0,5520360.0,10280.0,537.0,,0.03143151275113487,0.02260693568498473
