,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,10972497.16024679,8258.5,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",11054728.0,7796.0,1418.0,10890266.320493579,8721.0,1384.0,,-0.0010801401562127166,-0.02966748913171191
2022-11-15,10984361.81052871,8511.0,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",10510216.0,7412.0,1418.0,11458507.621057423,9610.0,1384.0,,-0.06931063842260954,-0.022566752799310974
2022-10-15,11802393.21948596,8707.5,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",11297206.0,7967.0,1418.0,12307580.438971924,9448.0,1384.0,,-0.0179597057348857,-0.02256272099680079
2022-9-15,12018237.22347156,8908.5,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",11507070.0,8115.0,1418.0,12529404.446943121,9702.0,1384.0,,-0.042403546412744575,-0.016233228424714308
2022-8-15,12550419.520091161,9055.5,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",12017550.0,8475.0,1418.0,13083289.040182324,9636.0,1384.0,,0.00891691487798929,-0.00647320204070434
2022-7-15,12439497.579053786,9114.5,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",11911200.000000002,8400.0,1418.0,12967795.158107571,9829.0,1384.0,,-0.04342962399822681,-0.0077835837143479525
2022-6-15,13004268.05087546,9186.0,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",12451458.0,8781.0,1418.0,13557078.101750921,9591.0,1384.0,,0.014683481996548231,-0.004982668977469684
2022-5-15,12816083.322148431,9232.0,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",12271372.0,8654.0,1418.0,13360794.64429686,9810.0,1384.0,,-0.0028247158326371036,0.011171960569550832
2022-4-15,12852387.665073153,9130.0,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",12305404.000000002,8678.0,1418.0,13399371.330146305,9582.0,1384.0,,0.016004029581070167,0.011858583619638763
2022-3-15,12649937.688113883,9023.0,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",12111138.0,8541.0,1418.0,13188737.376227764,9505.0,1384.0,,-0.03929052389321752,0.005012252171975984
2022-2-15,13167287.304562662,8978.0,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",12606020.0,8890.0,1418.0,13728554.609125322,9066.0,1384.0,,0.031953822665786946,0.005206292336113805
2022-1-15,12759570.259208271,8931.5,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",12214652.0,8614.0,1418.0,13304488.518416543,9249.0,1384.0,,0.050124324522082375,0.029805142395941342
2021-12-15,12150533.0,8673.0,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",12269954.0,8653.0,1418.0,12031111.999999998,8693.0,1384.0,,-0.042662900307918084,-0.04266239858711851
2021-11-15,12692011.0,9059.5,"QUEEN'S HEIGHTS(Block 22,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,22座(帝后閣),100 青山公路青龍頭段",12817302.0,9039.0,1418.0,12566720.0,9080.0,1384.0,,0.033599781748738344,0.03359954363947515
