,lumpSum_avg,npsf_avg,final_address,lumpSum_E,npsf_E,nfa_E,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2022-12-15,10040934.5,19291.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",10018309.0,19229.0,521.0,10063560.0,19353.0,520.0,,-0.045283576445629636,-0.045283579134910434
2022-11-15,10517190.5,20206.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",10493461.0,20141.0,521.0,10540920.0,20271.0,520.0,,0.01344166244206213,0.013441669174440785
2022-10-15,10377697.0,19938.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",10354354.0,19874.0,521.0,10401040.0,20002.0,520.0,,-0.01744530498075003,-0.01744529863985811
2022-9-15,10561953.5,20292.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",10538267.0,20227.0,521.0,10585640.0,20357.0,520.0,,-0.0830961051813719,-0.0830961095296191
2022-8-15,11519150.0,22131.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",11493260.0,22060.0,521.0,11545040.0,22202.0,520.0,,0.017002903483849474,0.017002895087541825
2022-7-15,11326565.5,21761.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",11301011.0,21691.0,521.0,11352120.0,21831.0,520.0,,-0.06357984497175084,-0.06357983518729693
2022-6-15,12095602.0,23238.5,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",12068444.0,23164.0,521.0,12122760.0,23313.0,520.0,,0.04980574786691516,0.04980574629562695
2022-5-15,11521752.5,22136.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",11495865.0,22065.0,521.0,11547640.0,22207.0,520.0,,0.012116494633765518,0.012116501303095495
2022-4-15,11383820.5,21871.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",11358321.0,21801.0,521.0,11409320.0,21941.0,520.0,,-0.024095298973899393,-0.02409531033867296
2022-3-15,11664889.5,22411.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",11638619.000000002,22339.0,521.0,11691159.999999998,22483.0,520.0,,-0.008647960629735718,-0.008647955234114102
2022-2-15,11766646.999999998,22606.5,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",11740213.999999998,22534.0,521.0,11793079.999999998,22679.0,520.0,,-0.040450775776457504,-0.040450773573293186
2022-1-15,12262682.0,23559.5,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",12235164.0,23484.0,521.0,12290200.0,23635.0,520.0,,0.031388871401447194,0.03138885848746864
2021-12-15,11889484.5,22842.5,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",11862649.0,22769.0,521.0,11916320.0,22916.0,520.0,,0.020392208053689576,0.020392209416599583
2021-11-15,11651877.0,22386.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",11625594.0,22314.0,521.0,11678160.0,22458.0,520.0,,-0.04867943685669651,-0.04867942970061412
2021-10-15,12248108.0,23531.5,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",12220576.0,23456.0,521.0,12275639.999999998,23607.0,520.0,,-0.010949071916966924,-0.010949058507061182
2021-9-15,12383698.0,23792.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",12356036.0,23716.0,521.0,12411360.0,23868.0,520.0,,-0.014027873579908534,-0.01402789001471172
2021-8-15,12559886.5,24130.5,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",12531613.0,24053.0,521.0,12588160.0,24208.0,520.0,,0.0669422704260978,0.06694227665642338
2021-7-15,11771852.0,22616.5,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",11745424.0,22544.0,521.0,11798280.0,22689.0,520.0,,-0.07768693165376017,-0.07768692779805475
2021-6-15,12763401.5,24521.5,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",12734803.0,24443.0,521.0,12792000.0,24600.0,520.0,,0.04327424792494017,0.04326831032355516
2021-5-15,12233985.0,23504.5,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",12134090.0,23290.0,521.0,12333880.0,23719.0,520.0,,0.028778373797418544,0.028778395412964564
2021-4-15,11891759.499999998,22847.0,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",11794918.999999998,22639.0,521.0,11988599.999999998,23055.0,520.0,,,
2021-3-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2021-2-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2021-1-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-12-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-11-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-10-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-9-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-8-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-7-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-6-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-5-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-4-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-3-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-2-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2020-1-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-12-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-11-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-10-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-9-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-8-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-7-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-6-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-5-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-4-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-3-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-2-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2019-1-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-12-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-11-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-10-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-9-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-8-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-7-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-6-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-5-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-4-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-3-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-2-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,,,
2018-1-15,,,"KOKO HILLS(Phase 1),Block 3,KO LING RD|KOKO HILLS1期,3座,高嶺道",,,521.0,,,520.0,520.5,,
