,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,13919812.666666666,19311.0,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",16753764.000000002,18636.0,899.0,15400352.0,20896.0,737.0,9605322.0,18401.0,522.0,,-0.045337085587047854,-0.04533320150286735
2022-11-15,14580866.666666666,20228.0,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",17549379.0,19521.0,899.0,16132193.0,21889.0,737.0,10061028.0,19274.0,522.0,,0.013269239099490182,0.013274557932174469
2022-10-15,14389923.333333334,19963.0,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",17320134.0,19266.0,899.0,15920674.0,21602.0,737.0,9928962.0,19021.0,522.0,,-0.017491297115947102,-0.01748831104913451
2022-9-15,14646102.666666666,20318.333333333332,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",17628491.0,19609.0,899.0,16204418.999999998,21987.0,737.0,10105398.0,19359.0,522.0,,-0.08289086436043036,-0.08284557861001196
2022-8-15,15969858.0,22153.666666666668,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",19226014.0,21386.0,899.0,17668838.0,23974.0,737.0,11014722.0,21101.0,522.0,,0.017382790397681314,0.017452274153794356
2022-7-15,15697000.333333334,21773.666666666668,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",18903273.0,21027.0,899.0,17366668.0,23564.0,737.0,10821060.0,20730.0,522.0,,-0.03637529210723833,-0.03691854036122366
2022-6-15,16289537.0,22608.333333333332,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",20185247.0,22453.0,899.0,17136724.0,23252.0,737.0,11546639.999999998,22120.0,522.0,,0.049761505966604114,0.04976009905587353
2022-5-15,15517369.333333334,21536.666666666668,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",19228711.0,21389.0,899.0,16323813.0,22149.0,737.0,10999584.0,21072.0,522.0,,0.012062345522092066,0.01206140350877205
2022-4-15,15332424.333333334,21280.0,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",18999466.0,21134.0,899.0,16129244.999999998,21885.0,737.0,10868562.0,20821.0,522.0,,-0.02410369165059123,-0.02410688353180368
2022-3-15,15711120.333333334,21805.666666666668,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",19468744.0,21656.0,899.0,16527225.0,22425.0,737.0,11137392.0,21336.0,522.0,,-0.008691179307742991,-0.008698155809125474
2022-2-15,15848865.666666666,21997.0,"KOKO HILLS(Phase 1),Block 2,KO LING RD|KOKO HILLS1期,2座,高嶺道",19638655.0,21845.0,899.0,16672414.0,22622.0,737.0,11235528.0,21524.0,522.0,,-0.04043951943789914,-0.04043796894084806
