,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,13450110.0,22466.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",11013180.0,21220.0,519.0,15887040.000000002,23712.0,670.0,,-0.04535726076697788,-0.045360868549089606
2022-11-15,14089155.5,23533.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",11536851.0,22229.0,519.0,16641459.999999998,24838.0,670.0,,0.013236473435180418,0.013239473004391655
2022-10-15,13905101.0,23226.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",11385822.0,21938.0,519.0,16424380.0,24514.0,670.0,,-0.01753092229188835,-0.0175334701042702
2022-9-15,14153220.0,23640.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",11589270.0,22330.0,519.0,16717170.0,24951.0,670.0,,-0.08308077091929589,-0.08307960826141758
2022-8-15,15435623.5,25782.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",12639207.0,24353.0,519.0,18232040.0,27212.0,670.0,,0.017001489433560613,0.017000966412243912
2022-7-15,15177582.0,25351.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",12427974.0,23946.0,519.0,17927190.0,26757.0,670.0,,-0.06355324817858155,-0.06355274822695034
2022-6-15,16207629.5,27072.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",13271349.0,25571.0,519.0,19143910.0,28573.0,670.0,,0.04977197476771855,0.04977024642767125
2022-5-15,15439190.5,25788.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",12642320.999999998,24359.0,519.0,18236060.0,27218.0,670.0,,0.012087309431306315,0.012087674888640265
2022-4-15,15254801.0,25480.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",12491291.999999998,24068.0,519.0,18018310.0,26893.0,670.0,,-0.024091468804041893,-0.024090848158716205
2022-3-15,15631384.0,26109.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",12799578.0,24662.0,519.0,18463190.0,27557.0,670.0,,-0.008637503677245473,-0.00863803774158034
2022-2-15,15767576.5,26337.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",12911163.000000002,24877.0,519.0,18623990.0,27797.0,670.0,,-0.04042407359989242,-0.04042409779024647
2022-1-15,16431817.5,27446.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",13455075.0,25925.0,519.0,19408560.0,28968.0,670.0,,0.03135920398671965,0.031358033969637766
2021-12-15,15932196.5,26612.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",13046103.000000002,25137.0,519.0,18818290.0,28087.0,670.0,,0.02037941288879197,0.020379210521270785
