,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6695256.25,17402.0,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",8586036.0,18114.0,474.0,4340430.0,16630.0,261.0,5864989.0,17719.0,331.0,7989570.0,17145.0,466.0,,-0.0453539336025941,-0.045354179524103366
2022-11-15,7013338.75,18228.75,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",8994150.0,18975.0,474.0,4546620.0,17420.0,261.0,6143691.0,18561.0,331.0,8368894.0,17959.0,466.0,,0.013226569481747719,0.013229020468852104
2022-10-15,6921787.25,17990.75,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",8876598.0,18727.0,474.0,4487112.0,17192.0,261.0,6063589.0,18319.0,331.0,8259850.0,17725.0,466.0,,-0.017543463097542067,-0.017543141109654825
2022-9-15,7045387.75,18312.0,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",9034914.0,19061.0,474.0,4567239.0,17499.0,261.0,6171826.0,18646.0,331.0,8407572.0,18042.0,466.0,,-0.08310544269953779,-0.08310488565098206
2022-8-15,7683967.25,19971.75,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",9853986.0,20789.0,474.0,4981185.0,19085.0,261.0,6731216.000000001,20336.0,331.0,9169482.0,19677.0,466.0,,0.017018522184654827,0.017021005728835137
2022-7-15,7555385.75,19637.5,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",9689034.0,20441.0,474.0,4897665.0,18765.0,261.0,6618676.0,19996.0,331.0,9016168.0,19348.0,466.0,,-0.0635886871796375,-0.06358781174002193
2022-6-15,8068447.75,20971.0,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",10346946.0,21829.0,474.0,5230179.0,20039.0,261.0,7068174.0,21354.0,331.0,9628492.0,20662.0,466.0,,0.04976809258107684,0.049770358041222984
2022-5-15,7685933.5,19976.75,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",9856356.0,20794.0,474.0,4982229.0,19089.0,261.0,6732871.0,20341.0,331.0,9172278.0,19683.0,466.0,,0.01209750760273054,0.012095957037187244
2022-4-15,7594064.25,19738.0,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",9738330.0,20545.0,474.0,4922721.0,18861.0,261.0,6652438.0,20098.0,331.0,9062768.0,19448.0,466.0,,-0.024103752288683222,-0.02410323601394282
2022-3-15,7781630.75,20225.5,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",9978648.0,21052.0,474.0,5044347.0,19327.0,261.0,6816614.000000001,20594.0,331.0,9286914.0,19929.0,466.0,,-0.008679403273627928,-0.00867540742556061
2022-2-15,7849762.0,20402.5,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",10065864.0,21236.0,474.0,5088195.0,19495.0,261.0,6876525.000000001,20775.0,331.0,9368464.0,20104.0,466.0,,-0.04043435780665616,-0.04043551364507514
2022-1-15,8180536.75,21262.25,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",10490094.0,22131.0,474.0,5302737.0,20317.0,261.0,7166150.0,21650.0,331.0,9763166.0,20951.0,466.0,,0.031359205365918186,0.03135951881449861
2021-12-15,7931801.75,20615.75,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",10171092.0,21458.0,474.0,5141439.0,19699.0,261.0,6948352.0,20992.0,331.0,9466324.0,20314.0,466.0,,0.020361591636633536,0.02036700199215513
2021-11-15,7773520.5,20204.25,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",9968220.0,21030.0,474.0,5038605.0,19305.0,261.0,6809663.0,20573.0,331.0,9277594.0,19909.0,466.0,,-0.0459220377927283,-0.046440833952780425
2021-10-15,8147678.5,21188.25,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",10383918.0,21907.0,474.0,5296473.0,20293.0,261.0,7157875.0,21625.0,331.0,9752448.0,20928.0,466.0,,-0.010983187112874382,-0.010980932153943135
2021-9-15,8238159.75,21423.5,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",10499100.0,22150.0,474.0,5355198.0,20518.0,261.0,7237315.0,21865.0,331.0,9861026.0,21161.0,466.0,,-0.01702466426175675,-0.01652626988316841
2021-8-15,8380840.75,21783.5,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",10597692.0,22358.0,474.0,5431410.0,20810.0,261.0,7340587.0,22177.0,331.0,10153674.0,21789.0,466.0,,0.06537288330420865,0.06512969708823313
2021-7-15,7866579.75,20451.5,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",9933144.0,20956.0,474.0,5090544.0,19504.0,261.0,6925513.0,20923.0,331.0,9517118.0,20423.0,466.0,,-0.07396481684680656,-0.07334534044698182
2021-6-15,8494903.75,22070.25,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",10770702.0,22723.0,474.0,5519628.0,21148.0,261.0,7369714.999999999,22265.0,331.0,10319570.0,22145.0,466.0,,,
2021-5-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2021-4-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2021-3-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2021-2-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2021-1-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-12-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-11-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-10-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-9-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-8-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-7-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-6-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-5-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-4-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-3-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-2-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2020-1-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-12-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-11-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-10-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-9-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-8-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-7-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-6-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-5-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-4-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-3-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-2-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2019-1-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-12-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-11-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-10-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-9-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-8-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-7-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-6-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-5-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-4-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-3-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-2-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,,,
2018-1-15,,,"CHILL RESIDENCE(Block 1),KO CHIU RD|朗譽1座,高超道",,,474.0,,,261.0,,,331.0,,,466.0,383.0,,
