,lumpSum_avg,npsf_avg,final_address,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5884944.0,18862.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",5884944.0,18862.0,312.0,,-0.04534871950602293,-0.04534871950602293
2022-11-15,6164496.0,19758.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6164496.0,19758.0,312.0,,0.013230769230769157,0.013230769230769157
2022-10-15,6084000.0,19500.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6084000.0,19500.0,312.0,,-0.017533252720677184,-0.017533252720677184
2022-9-15,6192576.0,19848.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6192576.0,19848.0,312.0,,-0.08310620409294589,-0.08310620409294589
2022-8-15,6753864.0,21647.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6753864.0,21647.0,312.0,,0.017007282123561396,0.017007282123561174
2022-7-15,6640919.999999999,21285.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6640919.999999999,21285.0,312.0,,-0.06357237131544224,-0.06357237131544213
2022-6-15,7091760.0,22730.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",7091760.0,22730.0,312.0,,0.04973906618020574,0.04973906618020596
2022-5-15,6755736.000000001,21653.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6755736.000000001,21653.0,312.0,,0.012106197999439017,0.012106197999439017
2022-4-15,6674928.000000001,21394.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6674928.000000001,21394.0,312.0,,-0.02408539366846074,-0.024085393668460853
2022-3-15,6839664.0,21922.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6839664.0,21922.0,312.0,,-0.008682282716830914,-0.008682282716830914
2022-2-15,6899568.0,22114.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6899568.0,22114.0,312.0,,-0.040399218919505264,-0.040399218919505264
2022-1-15,7190040.0,23045.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",7190040.0,23045.0,312.0,,0.0313269187737748,0.0313269187737748
2021-12-15,6971640.0,22345.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6971640.0,22345.0,312.0,,0.02036622676834554,0.02036622676834554
2021-11-15,6832488.0,21899.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6832488.0,21899.0,312.0,,-0.04865545853425435,-0.04865545853425435
2021-10-15,7181928.0,23019.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",7181928.0,23019.0,312.0,,-0.010956432070121203,-0.010956432070121203
2021-9-15,7261488.0,23274.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",7261488.0,23274.0,312.0,,-0.014064220960772644,-0.014064220960772644
2021-8-15,7365072.0,23606.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",7365072.0,23606.0,312.0,,0.06693785310734457,0.06693785310734457
2021-7-15,6903000.0,22125.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",6903000.0,22125.0,312.0,,-0.07770228021176373,-0.07770228021176373
2021-6-15,7484568.0,23989.0,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",7484568.0,23989.0,312.0,,,
2021-5-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2021-4-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2021-3-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2021-2-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2021-1-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-12-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-11-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-10-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-9-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-8-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-7-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-6-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-5-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-4-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-3-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-2-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2020-1-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-12-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-11-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-10-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-9-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-8-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-7-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-6-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-5-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-4-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-3-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-2-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2019-1-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-12-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-11-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-10-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-9-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-8-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-7-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-6-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-5-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-4-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-3-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-2-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,,,
2018-1-15,,,"CHILL RESIDENCE(Block 2),KO CHIU RD|朗譽2座,高超道",,,312.0,312.0,,
