,A,B,D,E,F,G,H,J,K
7.0,5792128,5734704,5734704,3911325,4807088,5625776,5734704,4743200,3911325
16.0,5859616,5801600,5801600,3973820,4863716,5690896,5801600,4790148,4380253
24.0,5920592,5862576,5862576,4017782,4911148,5751280,5862576,4824512,4420767
