,A,B,C,D,E,G,H,J,K
8.0,3869047,4351680,4705392,4672520,4298400,4590891,4441242,4860947,4652844
16.0,3942491,4436640,4773484,4740025,4381920,4652844,4485267,4947236,4720587
25.0,4028318,4535520,4538097,4556294,4479840,4504620,4521661,5039395,4485513
