,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層A,7.0,低層,A,4531965,10515,431,122,2,HSSW
16.0/F中層A,16.0,中層,A,4630664,10744,431,140,2,HSSW
24.0/F高層A,24.0,高層,A,4719450,10950,431,156,2,HSSW
7.0/F低層B,7.0,低層,B,5038924,10411,484,178,2,HSSW
16.0/F中層B,16.0,中層,B,5150728,10642,484,201,2,HSSW
24.0/F高層B,24.0,高層,B,5249948,10847,484,221,2,HSSW
7.0/F低層C,7.0,低層,C,5915264,9992,592,141,2,HSSW
16.0/F中層C,16.0,中層,C,6049648,10219,592,159,2,HSSW
24.0/F高層C,24.0,高層,C,6168640,10420,592,175,2,HSSW
7.0/F低層D,7.0,低層,D,5915264,9992,592,141,2,HSSW
16.0/F中層D,16.0,中層,D,6049648,10219,592,159,2,HSSW
24.0/F高層D,24.0,高層,D,6168640,10420,592,175,2,HSSW
7.0/F低層E,7.0,低層,E,5009884,10351,484,138,2,HSSW
16.0/F中層E,16.0,中層,E,5120720,10580,484,156,2,HSSW
24.0/F高層E,24.0,高層,E,5218972,10783,484,172,2,HSSW
7.0/F低層F,7.0,低層,F,4531965,10515,431,122,2,HSSW
16.0/F中層F,16.0,中層,F,4630664,10744,431,140,2,HSSW
24.0/F高層F,24.0,高層,F,4719450,10950,431,156,2,HSSW
7.0/F低層G,7.0,低層,G,5883296,9938,592,177,2,HSSW
16.0/F中層G,16.0,中層,G,6016496,10163,592,200,2,HSSW
24.0/F高層G,24.0,高層,G,6126608,10349,592,235,2,HSSW
7.0/F低層J,7.0,低層,J,5915264,9992,592,141,2,HSSW
16.0/F中層J,16.0,中層,J,6049648,10219,592,159,2,HSSW
24.0/F高層J,24.0,高層,J,6168640,10420,592,175,2,HSSW
7.0/F低層K,7.0,低層,K,6031296,10188,592,231,3,HSSW
16.0/F中層K,16.0,中層,K,6146144,10382,592,235,3,HSSW
24.0/F高層K,24.0,高層,K,6248560,10555,592,239,3,HSSW
