,A,B,C,D,E,F,G,H,J,K
6.0,5512112,5484288,5425680,5511132,4100103,4502652,5407328,5441040,4680764,4109154
14.0,5568944,5555920,5498496,5598450,3972096,4564120,5482512,5514102,4760624,4169494
23.0,5667216,5655376,5599136,5700024,4225524,4649304,5577824,5615082,4840000,4250091
