,A,B,D,E,F,G,H,J,K
7.0,9784,9687,9687,9075,9932,9503,9687,9800,9075
16.0,9898,9800,9800,9220,10049,9613,9800,9897,10163
24.0,10001,9903,9903,9322,10147,9715,9903,9968,10257
