,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
7.0,7627,7762,7686,7832,7848,7985,7985,7853,7606,7676,7848,7848,7985,8779,7832,7648
20.0,7902,8140,8003,8081,8081,8288,8288,8096,7923,7951,8081,8081,8288,9117,8075,7870
32.0,8146,8482,8274,8366,8366,8561,8561,8382,7838,8219,8366,8366,8561,9381,8366,8146
