,A,B,C,D,E,F,G,H,J,K
7.0,8604,8604,8451,8604,8722,11604,8847,8604,11561,8649
20.0,11445,11767,8752,11767,8988,8887,11794,11767,8917,8911
32.0,11778,9114,9122,9114,9259,9154,12259,9114,9188,9182
