,A,B,C,CD,D,E,F
5.0,5595996,8533614,5372500,11813974,5239426,8889219,5717075
14.0,5913127,9011982,5743663,12578404,5760966,8461750,6120725
23.0,6273238,9431007,6144912,13316432,6365338,8964950,6257350
