,A,B,BC,C,D,E,F,G,H
8.0,17245,16798,18804,16798,16523,16038,15572,15884,16096
19.0,18168,17956,20440,17956,15727,16740,17109,17067,17384
30.0,19557,19360,22132,19360,19008,18558,18487,18833,18924
