,A,B,BC,C,D,E,F,G,H
8.0,13985695,13488794,30199224,13488794,13400153,11082258,10106228,10308716,11122336
19.0,14734248,14418668,32826640,14418668,12754597,11567340,11103741,11076483,12012344
30.0,15860727,15546080,35543992,15546080,15415488,12823578,11998063,12222617,13076484
