,A,B,C,D,D1,D2,S1,S2
9.0,38849395,40692690,42231774,28948696,32218926,32366064,,
18.0,43051840,44425785,46472560,31005618,34503200,30727008,,
26.0,44744050,47384898,46960650,32799830,36745802,36892954,,
