,1,2,3,4,A2,A3,A4
6.0,11720880,6828930,7095375,11775600,6891444,7092672,11222640
16.0,12786480,7323600,7570400,12870000,7293200,7691200,12221280
26.0,13828320,8214000,8214000,13919760,7912400,8269600,13278960
