,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,14333728.0,14108.0,1,14333728.0,14108,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14333728.0,14108.0,1016.0,-0.03422782037239869,-0.03422782037239869
2016-2-15,14841728.0,14608.0,1,14841728.0,14608,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14841728.0,14608.0,1016.0,-0.005649717514124242,-0.005649717514124242
2016-3-15,14926056.0,14691.0,1,14926056.0,14691,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14926056.0,14691.0,1016.0,,
2016-4-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2016-5-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2016-6-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2016-7-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2016-8-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2016-9-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2016-10-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2016-11-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2016-12-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2017-1-15,12833096.0,12631.0,1,12833096.0,12631,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,12833096.0,12631.0,1016.0,-0.0038643533123028373,-0.0038643533123028373
2017-2-15,12882880.0,12680.0,1,12882880.0,12680,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,12882880.0,12680.0,1016.0,-0.00220333648095683,-0.00220333648095683
2017-3-15,12911328.0,12708.0,1,12911328.0,12708,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,12911328.0,12708.0,1016.0,-0.01671309192200554,-0.01671309192200554
2017-4-15,13130784.0,12924.0,1,13130784.0,12924,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,13130784.0,12924.0,1016.0,0.008663076562865912,0.008663076562865912
2017-5-15,13018008.0,12813.0,1,13018008.0,12813,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,13018008.0,12813.0,1016.0,-0.00874207024601581,-0.00874207024601581
2017-6-15,13132816.0,12926.0,1,13132816.0,12926,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,13132816.0,12926.0,1016.0,0.06089954038082723,0.06089954038082723
2017-7-15,12378944.0,12184.0,1,12378944.0,12184,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,12378944.0,12184.0,1016.0,-0.09264224009532318,-0.09264224009532318
2017-8-15,13642848.0,13428.0,1,13642848.0,13428,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,13642848.0,13428.0,1016.0,0.04612028669367407,0.04612028669367407
2017-9-15,13041376.0,12836.0,1,13041376.0,12836,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,13041376.0,12836.0,1016.0,-0.0034161490683229934,-0.0034161490683229934
2017-10-15,13086080.0,12880.0,1,13086080.0,12880,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,13086080.0,12880.0,1016.0,-0.03736920777279518,-0.03736920777279518
2017-11-15,13594080.0,13380.0,1,13594080.0,13380,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,13594080.0,13380.0,1016.0,-0.25749167591564925,-0.25749167591564925
2017-12-15,18308320.0,18020.0,1,18308320.0,18020,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,18308320.0,18020.0,1016.0,0.4350561439834355,0.4350561439834355
2018-1-15,12757912.0,12557.0,1,12757912.0,12557,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,12757912.0,12557.0,1016.0,-0.13495453292918158,-0.13495453292918158
2018-2-15,14748256.0,14516.0,1,14748256.0,14516,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14748256.0,14516.0,1016.0,0.04049888896853271,0.04049888896853271
2018-3-15,14174216.0,13951.0,1,14174216.0,13951,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14174216.0,13951.0,1016.0,0.009625126646403137,0.009625126646403137
2018-4-15,14039088.0,13818.0,1,14039088.0,13818,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14039088.0,13818.0,1016.0,0.01670222941652555,0.01670222941652555
2018-5-15,13808456.0,13591.0,1,13808456.0,13591,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,13808456.0,13591.0,1016.0,-0.04443506995711177,-0.04443506995711177
2018-6-15,14450568.0,14223.0,1,14450568.0,14223,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14450568.0,14223.0,1016.0,-0.04318869828456107,-0.04318869828456107
2018-7-15,15102840.0,14865.0,1,15102840.0,14865,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,15102840.0,14865.0,1016.0,0.06467554791577146,0.06467554791577146
