,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7019999.818181818,17250.909090909092,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",7682559.0,16593.0,463.0,9630843.0,15711.0,613.0,6613302.0,16451.0,402.0,5122068.0,23604.0,217.0,6732960.0,16185.0,416.0,5840784.0,15534.0,376.0,7055505.0,17421.0,405.0,6869113.999999999,16919.0,406.0,9521860.0,16417.0,580.0,6890014.0,16846.0,409.0,5260989.0,18079.0,291.0,,-0.08749852982916217,-0.08749927869356966
2022-11-15,7693138.090909091,18905.090909090908,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",8419655.0,18185.0,463.0,10554634.0,17218.0,613.0,7249266.0,18033.0,402.0,5613356.0,25868.0,217.0,7378592.0,17737.0,416.0,6400648.0,17023.0,376.0,7731855.0,19091.0,405.0,7527646.0,18541.0,406.0,10434780.0,17991.0,580.0,7548504.0,18456.0,409.0,5765583.0,19813.0,291.0,,-0.012089616921723279,-0.012094896960599066
2022-10-15,7787283.363636363,19136.545454545456,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",8522904.0,18408.0,463.0,10683364.0,17428.0,613.0,7340118.0,18259.0,402.0,5682145.0,26185.0,217.0,7469280.0,17955.0,416.0,6479232.0,17232.0,376.0,7825815.0,19323.0,405.0,7619808.0,18768.0,406.0,10562380.0,18211.0,580.0,7638484.0,18676.0,409.0,5836587.0,20057.0,291.0,,-0.005494421035656671,-0.005499229918834336
2022-9-15,7830306.363636363,19242.363636363636,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",8570593.0,18511.0,463.0,10742212.0,17524.0,613.0,7382730.0,18365.0,402.0,5713827.0,26331.0,217.0,7510880.0,18055.0,416.0,6515327.999999999,17328.0,376.0,7868340.0,19428.0,405.0,7661626.0,18871.0,406.0,10620380.0,18311.0,580.0,7678566.0,18774.0,409.0,5868888.0,20168.0,291.0,,0.0021818039318313165,0.0024057814527509436
2022-8-15,7813259.363636363,19196.18181818182,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",8554388.0,18476.0,463.0,10721370.0,17490.0,613.0,7370670.0,18335.0,402.0,5680626.000000001,26178.0,217.0,7496736.0,18021.0,416.0,6502920.0,17295.0,376.0,7852950.0,19390.0,405.0,7646604.0,18834.0,406.0,10600080.0,18276.0,580.0,7661388.0,18732.0,409.0,5858121.0,20131.0,291.0,,-0.0662883802374502,-0.06629228388237884
2022-7-15,8367957.7272727275,20559.090909090908,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",9162307.0,19789.0,463.0,11482103.0,18731.0,613.0,7896486.0,19643.0,402.0,6084029.0,28037.0,217.0,8029216.0,19301.0,416.0,6964648.0,18523.0,376.0,8409825.0,20765.0,405.0,8189426.0,20171.0,406.0,11352340.0,19573.0,580.0,8202904.0,20056.0,409.0,6274251.0,21561.0,291.0,,0.06958503370049995,0.06954021357698892
2022-6-15,7823555.363636363,19222.363636363636,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",8565037.0,18499.0,463.0,10734856.0,17512.0,613.0,7383534.0,18367.0,402.0,5687787.0,26211.0,217.0,7506303.999999999,18044.0,416.0,6510816.0,17316.0,376.0,7861860.0,19412.0,405.0,7655942.0,18857.0,406.0,10612260.0,18297.0,580.0,7666296.0,18744.0,409.0,5874417.0,20187.0,291.0,,-0.07581631093065677,-0.07581154853119232
2022-5-15,8465368.363636363,20799.18181818182,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",9267871.0,20017.0,463.0,11615737.0,18949.0,613.0,7986936.0,19868.0,402.0,6154337.0,28361.0,217.0,8121568.0,19523.0,416.0,7044736.0,18736.0,376.0,8507430.0,21006.0,405.0,8284429.999999999,20405.0,406.0,11483420.0,19799.0,580.0,8296565.000000001,20285.0,409.0,6356022.0,21842.0,291.0,,0.04276302495329776,0.04276507693429599
2022-4-15,8118209.181818182,19946.18181818182,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",8887285.0,19195.0,463.0,11139436.0,18172.0,613.0,7657296.0,19048.0,402.0,5901749.0,27197.0,217.0,7788352.0,18722.0,416.0,6755968.0,17968.0,376.0,8159130.0,20146.0,405.0,7944608.0,19568.0,406.0,11012460.0,18987.0,580.0,7958731.0,19459.0,409.0,6095286.0,20946.0,291.0,,0.01727360065659367,0.0172801498509374
2022-3-15,7980359.636363637,19607.363636363636,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",8735884.0,18868.0,463.0,10950632.0,17864.0,613.0,7525440.0,18720.0,402.0,5801278.0,26734.0,217.0,7656064.0,18404.0,416.0,6640912.0,17662.0,376.0,8021025.0,19805.0,405.0,7809815.999999999,19236.0,406.0,10825700.0,18665.0,580.0,7825806.0,19134.0,409.0,5991399.0,20589.0,291.0,,-0.055390774693585,-0.05560055872037273
2022-2-15,8448318.545454545,20761.727272727272,"GREENWOOD TOWER 2(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第2座),優景里",9245647.0,19969.0,463.0,11589991.0,18907.0,613.0,7962414.0,19807.0,402.0,6163885.0,28405.0,217.0,8102432.0,19477.0,416.0,7028568.0,18693.0,376.0,8489610.0,20962.0,405.0,8265754.000000001,20359.0,406.0,11457900.0,19755.0,580.0,8284704.0,20256.0,409.0,6340599.0,21789.0,291.0,,0.03504870118804693,0.03505178000861098
