,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7782878.2,17692.9,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",7428240.0,16290.0,456.0,8754675.0,15495.0,565.0,5547336.0,24988.0,222.0,6288798.0,15801.0,398.0,13276340.0,17242.0,770.0,5538690.0,19434.0,285.0,7854804.0,17691.0,444.0,6923137.0,17179.0,403.0,9732942.0,16839.0,578.0,6483820.0,15970.0,406.0,,-0.08755215369374636,-0.0875480260952528
2022-11-15,8529669.1,19390.5,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8140056.0,17851.0,456.0,9594265.0,16981.0,565.0,6079692.0,27386.0,222.0,6892166.0,17317.0,398.0,14551460.0,18898.0,770.0,6070215.0,21299.0,285.0,8609160.0,19390.0,444.0,7587281.0,18827.0,403.0,10666990.0,18455.0,578.0,7105406.0,17501.0,406.0,,-0.012143085495395667,-0.012130258907919966
2022-10-15,8634518.8,19628.6,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8239464.0,18069.0,456.0,9712350.0,17190.0,565.0,6154284.0,27722.0,222.0,6976542.0,17529.0,398.0,14731640.0,19132.0,770.0,6144600.0,21560.0,285.0,8715276.0,19629.0,444.0,7680374.0,19058.0,403.0,10798774.0,18683.0,578.0,7191884.0,17714.0,406.0,,-0.005544464803669769,-0.005537569852922752
2022-9-15,8682659.5,19737.9,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8284608.0,18168.0,456.0,9766025.0,17285.0,565.0,6188472.0,27876.0,222.0,7015546.0,17627.0,398.0,14814800.0,19240.0,770.0,6178800.0,21680.0,285.0,8764116.0,19739.0,444.0,7723092.0,19164.0,403.0,10859464.000000002,18788.0,578.0,7231672.0,17812.0,406.0,,0.0018625936395464393,0.0018679160046901622
2022-8-15,8666517.3,19701.1,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8268648.0,18133.0,456.0,9747945.0,17253.0,565.0,6176928.0,27824.0,222.0,7002412.0,17594.0,398.0,14787850.0,19205.0,770.0,6167400.0,21640.0,285.0,8748132.0,19703.0,444.0,7708584.000000001,19128.0,403.0,10839812.0,18754.0,578.0,7217462.0,17777.0,406.0,,-0.06634286232689812,-0.06633397785865947
2022-7-15,9282333.9,21100.8,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8855520.0,19420.0,456.0,10440635.0,18479.0,565.0,6615600.0,29800.0,222.0,7499912.0,18844.0,398.0,15839670.0,20571.0,770.0,6605445.0,23177.0,285.0,9370176.0,21104.0,444.0,8256261.0,20487.0,403.0,11610286.0,20087.0,578.0,7729834.0,19039.0,406.0,,0.06966117770760172,0.06966770587788007
2022-6-15,8677826.3,19726.5,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8278680.0,18155.0,456.0,9760375.0,17275.0,565.0,6184698.000000001,27859.0,222.0,7011168.0,17616.0,398.0,14808640.0,19232.0,770.0,6175095.0,21667.0,285.0,8760120.0,19730.0,444.0,7718659.0,19153.0,403.0,10854840.0,18780.0,578.0,7225988.0,17798.0,406.0,,-0.07578497625072367,-0.0757910814179028
2022-5-15,9389401.9,21344.2,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8958120.0,19645.0,456.0,10560980.0,18692.0,565.0,6691968.0,30144.0,222.0,7586278.0,19061.0,398.0,16022160.0,20808.0,770.0,6681540.0,23444.0,285.0,9478068.0,21347.0,444.0,8351369.000000001,20723.0,403.0,11744382.0,20319.0,578.0,7819154.0,19259.0,406.0,,0.042815257663356254,0.04280319130744936
2022-4-15,9003897.7,20468.1,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8591040.0,18840.0,456.0,10127060.0,17924.0,565.0,6417354.0,28907.0,222.0,7275042.0,18279.0,398.0,15363040.0,19952.0,770.0,6407370.0,22482.0,285.0,9088680.0,20470.0,444.0,8008819.0,19873.0,403.0,11261752.0,19484.0,578.0,7498820.0,18470.0,406.0,,0.017342577441168405,0.017336587257011926
2022-3-15,8850408.8,20119.3,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8445576.0,18521.0,456.0,9954735.0,17619.0,565.0,6308130.0,28415.0,222.0,7150866.0,17967.0,398.0,15100470.0,19611.0,770.0,6298215.0,22099.0,285.0,8933280.0,20120.0,444.0,7872202.0,19534.0,403.0,11069278.0,19151.0,578.0,7371336.0,18156.0,406.0,,-0.05509710249141342,-0.05510365103369241
2022-2-15,9366474.4,21292.6,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8938512.0,19602.0,456.0,10535555.0,18647.0,565.0,6675984.0,30072.0,222.0,7567970.0,19015.0,398.0,15979810.0,20753.0,770.0,6665580.0,23388.0,285.0,9454092.0,21293.0,444.0,8331219.0,20673.0,403.0,11714326.0,20267.0,578.0,7801696.0,19216.0,406.0,,0.035099306095333294,0.03509360400958639
2022-1-15,9048865.5,20570.7,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8636184.0,18939.0,456.0,10178475.0,18015.0,565.0,6449544.0,29052.0,222.0,7311260.0,18370.0,398.0,15436960.0,20048.0,770.0,6439575.0,22595.0,285.0,9133080.0,20570.0,444.0,8049119.0,19973.0,403.0,11316662.0,19579.0,578.0,7537796.0,18566.0,406.0,,-0.05284547650268767,-0.051748696602176625
2021-12-15,9553737.3,21693.3,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",9129576.0,20021.0,456.0,10759295.0,19043.0,565.0,6703956.0,30198.0,222.0,7728762.0,19419.0,398.0,16316300.0,21190.0,770.0,6807225.0,23885.0,285.0,9653448.0,21742.0,444.0,8508539.0,21113.0,403.0,11961710.0,20695.0,578.0,7968561.999999999,19627.0,406.0,,-0.026611000543641405,-0.026617010297713906
