,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7024693.7272727275,17392.0,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",7583014.0,16378.0,463.0,10167458.0,16037.0,634.0,6511596.000000001,16198.0,402.0,5160260.0,23780.0,217.0,6667232.0,16027.0,416.0,6287472.0,16722.0,376.0,7045784.999999999,17397.0,405.0,7062671.0,17353.0,407.0,8599014.0,16194.0,531.0,6593236.0,16003.0,412.0,5593893.0,19223.0,291.0,,-0.08751783934642288,-0.0875261729537401
2022-11-15,7698445.0,19060.272727272728,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",8310387.0,17949.0,463.0,11141916.0,17574.0,634.0,7136304.0,17752.0,402.0,5655454.0,26062.0,217.0,7307456.0,17566.0,416.0,6890576.0,18326.0,376.0,7721730.0,19066.0,405.0,7740326.0,19018.0,407.0,9423126.0,17746.0,531.0,7224832.0,17536.0,412.0,6130788.0,21068.0,291.0,,-0.012091917528080809,-0.012100023088050249
2022-10-15,7792673.363636363,19293.727272727272,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",8412247.0,18169.0,463.0,11276958.0,17787.0,634.0,7223940.0,17970.0,402.0,5724894.0,26382.0,217.0,7397728.0,17783.0,416.0,6975176.0,18551.0,376.0,7816500.0,19300.0,405.0,7835157.0,19251.0,407.0,9538353.0,17963.0,531.0,7312588.0,17749.0,412.0,6205866.0,21326.0,291.0,,-0.004816017919751392,-0.004222755019213653
2022-9-15,7830384.636363637,19375.545454545456,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",8459010.0,18270.0,463.0,11338456.0,17884.0,634.0,7264140.0,18070.0,402.0,5696467.0,26251.0,217.0,7439744.0,17884.0,416.0,7013904.0,18654.0,376.0,7859835.0,19407.0,405.0,7878706.0,19358.0,407.0,9590922.0,18062.0,531.0,7352552.0,17846.0,412.0,6240495.0,21445.0,291.0,,0.0019066930919129366,0.0018991477339502794
2022-8-15,7815482.909090909,19338.81818181818,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",8443268.0,18236.0,463.0,11315631.999999998,17848.0,634.0,7250472.0,18036.0,402.0,5685834.0,26202.0,217.0,7426432.0,17852.0,416.0,7000744.0,18619.0,376.0,7845255.0,19371.0,405.0,7864054.0,19322.0,407.0,9572337.0,18027.0,531.0,7337720.0,17810.0,412.0,6228564.0,21404.0,291.0,,-0.0663066491975306,-0.06631524429853064
2022-7-15,8370502.909090909,20712.363636363636,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9042853.0,19531.0,463.0,12118276.0,19114.0,634.0,7765434.0,19317.0,402.0,6089888.0,28064.0,217.0,7954752.0,19122.0,416.0,7498192.0,19942.0,376.0,8402535.0,20747.0,405.0,8422865.0,20695.0,407.0,10251486.0,19306.0,531.0,7858076.0,19073.0,412.0,6671175.0,22925.0,291.0,,0.06970277793148583,0.06970782528675179
2022-6-15,7825073.545454546,19362.636363636364,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",8453917.0,18259.0,463.0,11327678.0,17867.0,634.0,7259718.0,18059.0,402.0,5692127.0,26231.0,217.0,7436832.0,17877.0,416.0,7009768.0,18643.0,376.0,7855380.0,19396.0,405.0,7874229.0,19347.0,407.0,9583488.0,18048.0,531.0,7345960.0,17830.0,412.0,6236712.0,21432.0,291.0,,-0.07581392943774956,-0.07580524084544316
2022-5-15,8466989.272727273,20950.81818181818,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9147491.0,19757.0,463.0,12258390.0,19335.0,634.0,7855080.0,19540.0,402.0,6158894.0,28382.0,217.0,8045856.0,19341.0,416.0,7584672.0,20172.0,376.0,8499330.0,20986.0,405.0,8519731.0,20933.0,407.0,10369899.0,19529.0,531.0,7949540.0,19295.0,412.0,6747999.0,23189.0,291.0,,0.04277160370911748,0.04277731273048113
2022-4-15,8119696.818181818,20091.363636363636,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",8771998.0,18946.0,463.0,11756262.0,18543.0,634.0,7532676.0,18738.0,402.0,5906089.0,27217.0,217.0,7715136.0,18546.0,416.0,7273344.0,19344.0,376.0,8150625.0,20125.0,405.0,8170118.0,20074.0,407.0,9945099.0,18729.0,531.0,7624060.0,18505.0,412.0,6471258.0,22238.0,291.0,,0.016754710150908236,0.016292501678454085
2022-3-15,7985895.454545454,19769.272727272728,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",8622449.0,18623.0,463.0,11557820.0,18230.0,634.0,7404438.0,18419.0,402.0,5852707.0,26971.0,217.0,7582848.0,18228.0,416.0,7149640.0,19015.0,376.0,8011710.0,19782.0,405.0,8030924.0,19732.0,407.0,9776241.0,18411.0,531.0,7495104.0,18192.0,412.0,6360969.0,21859.0,291.0,,-0.05513005291969131,-0.05512515804978513
2022-2-15,8451846.181818182,20922.636363636364,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9125730.0,19710.0,463.0,12233030.0,19295.0,634.0,7836186.0,19493.0,402.0,6194048.0,28544.0,217.0,8024640.0,19290.0,416.0,7566624.0,20124.0,376.0,8479080.0,20936.0,405.0,8499381.0,20883.0,407.0,10346535.0,19485.0,531.0,7933060.0,19255.0,412.0,6731994.0,23134.0,291.0,,0.03506671270659023,0.03507533168428156
2022-1-15,8165508.636363637,20213.636363636364,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",8816446.0,19042.0,463.0,11819662.0,18643.0,634.0,7570464.0,18832.0,402.0,5983992.0,27576.0,217.0,7751744.0,18634.0,416.0,7309816.0,19441.0,376.0,8191530.0,20226.0,405.0,8211225.0,20175.0,407.0,9996606.0,18826.0,531.0,7665260.0,18605.0,412.0,6503850.0,22350.0,291.0,,-0.05401949949684959,-0.05401093407645341
2021-12-15,8631793.818181818,21367.727272727272,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9319264.0,20128.0,463.0,12496140.0,19710.0,634.0,8002614.0,19907.0,402.0,6325550.0,29150.0,217.0,8193536.0,19696.0,416.0,7727176.0,20551.0,376.0,8659305.0,21381.0,405.0,8679682.0,21326.0,407.0,10567962.0,19902.0,531.0,8103628.0,19669.0,412.0,6874875.0,23625.0,291.0,,-0.026656913184430198,-0.026648169620672513
2021-11-15,8868192.454545455,21952.727272727272,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9574377.0,20679.0,463.0,12839768.0,20252.0,634.0,8221301.999999999,20451.0,402.0,6498499.0,29947.0,217.0,8416928.0,20233.0,416.0,7938487.999999999,21113.0,376.0,8895825.0,21965.0,405.0,8917370.0,21910.0,407.0,10857888.0,20448.0,531.0,8326520.0,20210.0,412.0,7063152.0,24272.0,291.0,,0.03199026335545341,0.03199668366147712
2021-10-15,8593290.818181818,21272.090909090908,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9277594.0,20038.0,463.0,12442884.0,19626.0,634.0,7966433.999999999,19817.0,402.0,6296906.0,29018.0,217.0,8154848.000000001,19603.0,416.0,7692208.0,20458.0,376.0,8620020.0,21284.0,405.0,8640610.0,21230.0,407.0,10521234.0,19814.0,531.0,8069431.999999999,19586.0,412.0,6844029.0,23519.0,291.0,,0.009943303928445335,0.009953083254563344
2021-9-15,8508686.363636363,21062.454545454544,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9185920.0,19840.0,463.0,12321790.0,19435.0,634.0,7887642.0,19621.0,402.0,6234627.0,28731.0,217.0,8073728.0,19408.0,416.0,7616256.0,20256.0,376.0,8534970.0,21074.0,405.0,8555140.0,21020.0,407.0,10418220.0,19620.0,531.0,7990740.0,19395.0,412.0,6776517.0,23287.0,291.0,,-0.05034832921187571,-0.050338568992654875
2021-8-15,8959797.181818182,22178.909090909092,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9672996.0,20892.0,463.0,12976712.0,20468.0,634.0,8305722.0,20661.0,402.0,6564901.0,30253.0,217.0,8500544.0,20434.0,416.0,8019704.0,21329.0,376.0,8986950.0,22190.0,405.0,9008538.0,22134.0,407.0,10970991.0,20661.0,531.0,8415100.0,20425.0,412.0,7135611.0,24521.0,291.0,,0.052975886082011314,0.052984134109075764
2021-7-15,8509024.090909092,21062.909090909092,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9185920.0,19840.0,463.0,12324960.0,19440.0,634.0,7887642.0,19621.0,402.0,6234410.0,28730.0,217.0,8072064.0,19404.0,416.0,7616256.0,20256.0,376.0,8534565.0,21073.0,405.0,8555140.0,21020.0,407.0,10419282.0,19622.0,531.0,7992800.0,19400.0,412.0,6776226.0,23286.0,291.0,,-0.033118392968996435,-0.033109929640356195
2021-6-15,8800481.909090908,21784.18181818182,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9500297.0,20519.0,463.0,12748472.0,20108.0,634.0,8157786.000000001,20293.0,402.0,6447721.0,29713.0,217.0,8347455.999999999,20066.0,416.0,7876824.000000001,20949.0,376.0,8826570.0,21794.0,405.0,8847773.0,21739.0,407.0,10776645.0,20295.0,531.0,8267604.0,20067.0,412.0,7008153.0,24083.0,291.0,,-0.0008767136374079332,-0.0008672665260136547
2021-5-15,8808204.181818182,21803.090909090908,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9508631.0,20537.0,463.0,12761152.0,20128.0,634.0,8164620.0,20310.0,402.0,6453146.0,29738.0,217.0,8353279.999999999,20080.0,416.0,7883215.999999999,20966.0,376.0,8834265.0,21813.0,405.0,8855506.0,21758.0,407.0,10786734.0,20314.0,531.0,8275432.0,20086.0,412.0,7014264.0,24104.0,291.0,,-0.0042202393670052185,-0.0042101242277288176
2021-4-15,8845534.454545455,21895.272727272728,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9548449.0,20623.0,463.0,12816944.0,20216.0,634.0,8198790.0,20395.0,402.0,6480271.0,29863.0,217.0,8387808.0,20163.0,416.0,7916680.0,21055.0,376.0,8871120.0,21904.0,405.0,8892543.0,21849.0,407.0,10832931.0,20401.0,531.0,8311688.000000001,20174.0,412.0,7043655.0,24205.0,291.0,,0.045622875735033874,0.04563313753326659
2021-3-15,8459583.909090908,20939.727272727272,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9131749.0,19723.0,463.0,12259024.0,19336.0,634.0,7841010.0,19505.0,402.0,6197303.0,28559.0,217.0,8020480.0,19280.0,416.0,7570760.0,20135.0,376.0,8483940.0,20948.0,405.0,8504265.0,20895.0,407.0,10360872.0,19512.0,531.0,7949952.0,19296.0,412.0,6736068.0,23148.0,291.0,,-0.002520255564179119,-0.002511724992096731
2021-2-15,8480958.090909092,20992.454545454544,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9154436.0,19772.0,463.0,12291358.0,19387.0,634.0,7860306.0,19553.0,402.0,6212710.0,28630.0,217.0,8040032.0,19327.0,416.0,7589936.0,20186.0,376.0,8505000.0,21000.0,405.0,8525429.0,20947.0,407.0,10387422.0,19562.0,531.0,7970964.0,19347.0,412.0,6752946.0,23206.0,291.0,,-0.005105817779949784,-0.005096940973718267
2021-1-15,8524482.545454545,21100.0,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",9201199.0,19873.0,463.0,12356026.0,19489.0,634.0,7900506.0,19653.0,402.0,6244392.0,28776.0,217.0,8079968.000000001,19423.0,416.0,7628288.0,20288.0,376.0,8548335.0,21107.0,405.0,8568978.0,21054.0,407.0,10441053.0,19663.0,531.0,8012988.0,19449.0,412.0,6787575.0,23325.0,291.0,,0.006740414627032898,0.0726995424504322
2020-12-15,8467408.7,19670.0,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",8901175.0,19225.0,463.0,11954704.0,18856.0,634.0,7642824.0,19012.0,402.0,,,217.0,7815808.0,18788.0,416.0,7379752.0,19627.0,376.0,8269695.0,20419.0,405.0,8289776.0,20368.0,407.0,10101213.0,19023.0,531.0,7753016.0,18818.0,412.0,6566124.0,22564.0,291.0,,,
2020-11-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2020-10-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2020-9-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
