,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,24213515.666666668,15010.0,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",32257247.999999996,13928.0,2316.0,18637087.0,15701.0,1187.0,21746212.0,15401.0,1412.0,,-0.087534124258426,-0.08753799392097261
2022-11-15,26536352.0,16450.0,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",35351424.0,15264.0,2316.0,20425896.0,17208.0,1187.0,23831736.0,16878.0,1412.0,,-0.012109379464430359,-0.012110899809828934
2022-10-15,26861629.666666668,16651.666666666668,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",35784516.0,15451.0,2316.0,20676353.0,17419.0,1187.0,24124020.0,17085.0,1412.0,,-0.005534203302778651,-0.005534210578703069
2022-9-15,27011114.666666668,16744.333333333332,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",35983692.0,15537.0,2316.0,20791491.999999996,17516.0,1187.0,24258160.0,17180.0,1412.0,,0.0019342232535837223,0.0019347375139620038
2022-8-15,26958970.0,16712.0,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",35914212.0,15507.0,2316.0,20751134.0,17482.0,1187.0,24211564.0,17147.0,1412.0,,-0.06633674585975868,-0.06633394167380524
2022-7-15,28874404.0,17899.333333333332,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",38466444.0,16609.0,2316.0,22225388.0,18724.0,1187.0,25931380.0,18365.0,1412.0,,0.06966542212461979,0.06965996693292942
2022-6-15,26993865.0,16733.666666666668,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",35960532.0,15527.0,2316.0,20778435.0,17505.0,1187.0,24242628.0,17169.0,1412.0,,-0.07580176441009856,-0.07579439596450521
2022-5-15,29207873.333333332,18106.0,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",38911116.0,16801.0,2316.0,22481780.0,18940.0,1187.0,26230724.0,18577.0,1412.0,,0.042798964341806967,0.04279214421470945
2022-4-15,28009112.333333332,17363.0,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",37313076.0,16111.0,2316.0,21559481.0,18163.0,1187.0,25154780.0,17815.0,1412.0,,0.017317710302294786,0.017323542049138885
2022-3-15,27532315.666666668,17067.333333333332,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",36678492.0,15837.0,2316.0,21191511.0,17853.0,1187.0,24726944.0,17512.0,1412.0,,-0.05510889814875708,-0.055104451170000845
2022-2-15,29138083.333333332,18062.666666666668,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",38818476.0,16761.0,2316.0,22427178.0,18894.0,1187.0,26168596.0,18533.0,1412.0,,0.035071897233026395,0.03507029339853296
2022-1-15,28150782.0,17450.666666666668,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",37502988.0,16193.0,2316.0,21667498.0,18254.0,1187.0,25281860.0,17905.0,1412.0,,-0.05401558723938438,-0.05401058889430976
2021-12-15,29758188.0,18447.0,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",39645288.0,17118.0,2316.0,22904352.0,19296.0,1187.0,26724924.0,18927.0,1412.0,,-0.026613333721199783,-0.026612023780208882
2021-11-15,30571805.666666668,18951.333333333332,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",40729176.0,17586.0,2316.0,23529901.0,19823.0,1187.0,27456340.0,19445.0,1412.0,,0.031997353579915844,0.03200159735709995
2021-10-15,29623918.666666668,18363.666666666668,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",39466956.0,17041.0,2316.0,22799896.0,19208.0,1187.0,26604904.0,18842.0,1412.0,,0.009969372406045451,0.009973050763561808
2021-9-15,29331502.0,18182.333333333332,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",39077868.0,16873.0,2316.0,22574366.0,19018.0,1187.0,26342272.0,18656.0,1412.0,,-0.05035365203368125,-0.050349065965633155
2021-8-15,30886763.333333332,19146.333333333332,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",41150688.0,17768.0,2316.0,23770862.0,20026.0,1187.0,27738740.0,19645.0,1412.0,,0.0529958684189753,0.05299919337097592
2021-7-15,29332274.0,18182.666666666668,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",39080184.0,16874.0,2316.0,22574366.0,19018.0,1187.0,26342272.0,18656.0,1412.0,,-0.03308864867819161,-0.03309403527430643
2021-6-15,30336053.0,18805.0,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",40416516.0,17451.0,2316.0,23347103.0,19669.0,1187.0,27244540.0,19295.0,1412.0,,-0.0008633523283653188,-0.0008501142341001966
2021-5-15,30362266.333333332,18821.0,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",40453572.0,17467.0,2316.0,23366095.0,19685.0,1187.0,27267132.0,19311.0,1412.0,,-0.004191235149311856,-0.00419745683497641
2021-4-15,30490057.333333332,18900.333333333332,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",40622640.0,17540.0,2316.0,23464616.0,19768.0,1187.0,27382916.0,19393.0,1412.0,,0.04563525720447004,0.04564231180614464
2021-3-15,29159362.333333332,18075.333333333332,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",38850900.0,16775.0,2316.0,22440235.0,18905.0,1187.0,26186952.0,18546.0,1412.0,,,
2021-2-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2021-1-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-12-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-11-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
