,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,18487653.0,15761.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",18487653.0,15761.0,1173.0,,-0.08753545996642154,-0.08753545996642154
2022-11-15,20261229.0,17273.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",20261229.0,17273.0,1173.0,,-0.012124678295681868,-0.012124678295681979
2022-10-15,20509904.999999996,17485.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",20509904.999999996,17485.0,1173.0,,-0.005517006028893379,-0.005517006028893157
2022-9-15,20623686.0,17582.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",20623686.0,17582.0,1173.0,,0.0019375427399133116,0.0019375427399133116
2022-8-15,20583804.0,17548.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",20583804.0,17548.0,1173.0,,-0.0663474328278798,-0.0663474328278798
2022-7-15,22046535.0,18795.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",22046535.0,18795.0,1173.0,,0.06972111553784854,0.06972111553784854
2022-6-15,20609610.0,17570.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",20609610.0,17570.0,1173.0,,-0.07579822208195253,-0.07579822208195253
2022-5-15,22299903.0,19011.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",22299903.0,19011.0,1173.0,,0.042784268553562654,0.042784268553562654
2022-4-15,21384963.0,18231.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",21384963.0,18231.0,1173.0,,0.017298141844763082,0.017298141844763082
2022-3-15,21021333.0,17921.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",21021333.0,17921.0,1173.0,,-0.055098597490245704,-0.055098597490245704
2022-2-15,22247118.0,18966.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",22247118.0,18966.0,1173.0,,0.0350925066855865,0.0350925066855865
2022-1-15,21492879.0,18323.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",21492879.0,18323.0,1173.0,,-0.054003820537973035,-0.054003820537973035
2021-12-15,22719837.0,19369.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",22719837.0,19369.0,1173.0,,-0.026634504246444535,-0.026634504246444535
2021-11-15,23341527.0,19899.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",23341527.0,19899.0,1173.0,,0.032052279446086906,0.032052279446086906
2021-10-15,22616613.0,19281.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",22616613.0,19281.0,1173.0,,0.00995233356031644,0.00995233356031644
2021-9-15,22393743.0,19091.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",22393743.0,19091.0,1173.0,,-0.0503407451624136,-0.0503407451624136
2021-8-15,23580819.0,20103.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",23580819.0,20103.0,1173.0,,0.05300927138442191,0.05300927138442191
2021-7-15,22393743.0,19091.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",22393743.0,19091.0,1173.0,,-0.033073338735818525,-0.033073338735818525
2021-6-15,23159712.0,19744.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",23159712.0,19744.0,1173.0,,-0.0008602803501847056,-0.0008602803501847056
2021-5-15,23179653.0,19761.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",23179653.0,19761.0,1173.0,,-0.004182624470872809,-0.004182624470872809
2021-4-15,23277012.0,19844.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",23277012.0,19844.0,1173.0,,0.045686884122885685,0.045686884122885685
2021-3-15,22260021.0,18977.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",22260021.0,18977.0,1173.0,,,
2021-2-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2021-1-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-12-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-11-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-10-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-9-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-8-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-7-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-6-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-5-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-4-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-3-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-2-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2020-1-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-12-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-11-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-10-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-9-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-8-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-7-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-6-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-5-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-4-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-3-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2019-2-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
