,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7533857.454545454,16420.81818181818,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",9638509.0,16091.0,599.0,10689031.0,16171.0,661.0,5160596.0,16331.0,316.0,6559380.0,16196.0,405.0,6559416.0,16077.0,408.0,8751240.0,15768.0,555.0,7499968.0,16741.0,448.0,8991946.0,15557.0,578.0,5774942.0,19379.0,298.0,6778585.0,16655.0,407.0,6468819.0,15663.0,413.0,,-0.08751456292057602,-0.08751572342929892
2022-11-15,8256413.909090909,17995.727272727272,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",10563365.0,17635.0,599.0,11713581.0,17721.0,661.0,5654820.0,17895.0,316.0,7188750.0,17750.0,405.0,7188552.0,17619.0,408.0,9589845.0,17279.0,555.0,8220800.0,18350.0,448.0,9854322.0,17049.0,578.0,6329222.0,21239.0,298.0,7428564.0,18252.0,407.0,7088732.0,17164.0,413.0,,-0.012124751503082454,-0.0121267772216207
2022-10-15,8357749.545454546,18216.636363636364,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",10692749.0,17851.0,599.0,11857018.0,17938.0,661.0,5723392.0,18112.0,316.0,7277040.0,17968.0,405.0,7277088.0,17836.0,408.0,9706950.0,17490.0,555.0,8323392.0,18579.0,448.0,9975124.0,17258.0,578.0,6407298.0,21501.0,298.0,7519732.0,18476.0,407.0,7175462.0,17374.0,413.0,,-0.0055361638538869995,-0.0055384890247593965
2022-9-15,8404277.0,18318.090909090908,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",10752050.0,17950.0,599.0,11922457.0,18037.0,661.0,5754676.0,18211.0,316.0,7317540.0,18068.0,405.0,7317480.0,17935.0,408.0,9760785.0,17587.0,555.0,8371328.000000001,18686.0,448.0,10030612.0,17354.0,578.0,6443356.0,21622.0,298.0,7561653.0,18579.0,407.0,7215110.0,17470.0,413.0,,0.003862894422131502,0.004927410466258664
2022-8-15,8371937.090909091,18228.272727272728,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",10732283.0,17917.0,599.0,11899322.0,18002.0,661.0,5742984.0,18174.0,316.0,7303770.0,18034.0,405.0,7303608.0,17901.0,408.0,9741915.0,17553.0,555.0,8357440.0,18655.0,448.0,10010960.0,17320.0,578.0,6250550.0,20975.0,298.0,7547408.0,18544.0,407.0,7201068.0,17436.0,413.0,,-0.06631156932019033,-0.06631370138578452
2022-7-15,8966521.181818182,19522.909090909092,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",11494211.0,19189.0,599.0,12744080.0,19280.0,661.0,6150308.0,19463.0,316.0,7822575.0,19315.0,405.0,7822584.0,19173.0,408.0,10432890.0,18798.0,555.0,8952832.0,19984.0,448.0,10721900.0,18550.0,578.0,6694570.0,22465.0,298.0,8083834.0,19862.0,407.0,7711949.0,18673.0,413.0,,0.06968424100713189,0.06968450204720034
2022-6-15,8382400.0,18251.090909090908,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",10745461.0,17939.0,599.0,11913202.999999998,18023.0,661.0,5748988.0,18193.0,316.0,7313085.0,18057.0,405.0,7312992.0,17924.0,408.0,9753015.0,17573.0,555.0,8370880.0,18685.0,448.0,10023676.0,17342.0,578.0,6258596.0,21002.0,298.0,7557176.0,18568.0,407.0,7209328.0,17456.0,413.0,,-0.07581790402151078,-0.07581755910731391
2022-5-15,9070074.0,19748.363636363636,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",11627189.0,19411.0,599.0,12890822.0,19502.0,661.0,6221408.0,19688.0,316.0,7912890.0,19538.0,405.0,7912752.0,19394.0,408.0,10553880.0,19016.0,555.0,9055872.0,20214.0,448.0,10846170.0,18765.0,578.0,6772050.0,22725.0,298.0,8177037.0,20091.0,407.0,7800744.0,18888.0,413.0,,0.04279458390478652,0.042795355155844206
2022-4-15,8697853.0,18937.909090909092,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",11149786.0,18614.0,599.0,12362683.0,18703.0,661.0,5966712.0,18882.0,316.0,7588080.0,18736.0,405.0,7587984.0,18598.0,408.0,10120980.0,18236.0,555.0,8682688.0,19381.0,448.0,10401110.0,17995.0,578.0,6494016.0,21792.0,298.0,7841262.0,19266.0,407.0,7481082.0,18114.0,413.0,,0.015308950359968154,0.014231184942111286
2022-3-15,8566705.727272727,18672.18181818182,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",10959903.0,18297.0,599.0,12152485.0,18385.0,661.0,5865908.0,18563.0,316.0,7458885.0,18417.0,405.0,7458648.0,18281.0,408.0,9949485.0,17927.0,555.0,8533056.0,19047.0,448.0,10224820.0,17690.0,578.0,6568516.0,22042.0,298.0,7707766.0,18938.0,407.0,7354291.0,17807.0,413.0,,-0.05510776881268431,-0.05510804009697612
2022-2-15,9066331.0,19761.18181818182,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",11599036.0,19364.0,599.0,12861738.0,19458.0,661.0,6208768.0,19648.0,316.0,7893855.0,19491.0,405.0,7893576.0,19347.0,408.0,10530015.0,18973.0,555.0,9028992.0,20154.0,448.0,10821316.0,18722.0,578.0,6951446.0,23327.0,298.0,8157500.999999999,20043.0,407.0,7783398.0,18846.0,413.0,,0.035060961085947584,0.03506516387392944
2022-1-15,8759224.181818182,19091.727272727272,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",11206092.0,18708.0,599.0,12426800.0,18800.0,661.0,5999260.0,18985.0,316.0,7626150.0,18830.0,405.0,7626336.0,18692.0,408.0,10174260.0,18332.0,555.0,8721216.0,19467.0,448.0,10454864.0,18088.0,578.0,6715430.0,22535.0,298.0,7880741.0,19363.0,407.0,7520317.0,18209.0,413.0,,-0.053991910286061984,-0.05398794562015197
2021-12-15,9259143.0,20181.272727272728,"GREENWOOD TOWER 6(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第6座),優景里",11845824.0,19776.0,599.0,13136714.0,19874.0,661.0,6342436.0,20071.0,316.0,8061525.0,19905.0,405.0,8061264.0,19758.0,408.0,10755345.0,19379.0,555.0,9217152.0,20574.0,448.0,11051938.0,19121.0,578.0,7098062.0,23819.0,298.0,8330475.999999999,20468.0,407.0,7949836.999999999,19249.0,413.0,,-0.02662353621751934,-0.026623872037041862
