,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,11532970.666666666,13835.333333333334,3,34598912.0,41506.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12503484.0,13986.0,894.0,9979830.0,13578.0,735.0,12115598.0,13942.0,869.0,-0.04978004600033126,-0.04979281609853259
2019-11-15,12137159.0,14560.333333333334,3,36411477.0,43681.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13157892.0,14718.0,894.0,10505355.0,14293.0,735.0,12748230.0,14670.0,869.0,0.04569039388677609,0.04567543628659654
2019-10-15,11606838.0,13924.333333333334,3,34820514.0,41773.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12581262.0,14073.0,894.0,10048920.0,13672.0,735.0,12190332.0,14028.0,869.0,-0.05105036572584043,-0.051346686651223994
2019-9-15,12231247.666666666,14678.0,3,36693743.0,44034.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13355466.0,14939.0,894.0,10669995.0,14517.0,735.0,12668282.0,14578.0,869.0,0.044826782742133364,0.04440017076988756
2019-8-15,11706483.666666666,14054.0,3,35119451.0,42162.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12649206.0,14149.0,894.0,10273830.0,13978.0,735.0,12196415.0,14035.0,869.0,-0.03361836167023968,-0.03362442412157052
2019-7-15,12113727.333333334,14543.0,3,36341182.0,43629.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13089054.0,14641.0,894.0,10632510.0,14466.0,735.0,12619618.0,14522.0,869.0,0.07359505866914584,0.07360106304444125
2019-6-15,11283330.0,13546.0,3,33849990.0,40638.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12192372.0,13638.0,894.0,9902655.0,13473.0,735.0,11754963.0,13527.0,869.0,-0.07685209909031587,-0.07684968537743342
2019-5-15,12222667.666666666,14673.666666666666,3,36668003.0,44021.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13207956.0,14774.0,894.0,10726590.0,14594.0,735.0,12733457.0,14653.0,869.0,0.042357347745994645,0.04236124265959451
2019-4-15,11725986.0,14077.333333333334,3,35177958.0,42232.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12671556.0,14174.0,894.0,10290000.0,14000.0,735.0,12216402.0,14058.0,869.0,0.03372465324870211,0.0337298673324522
2019-3-15,11343432.666666666,13618.0,3,34030298.0,40854.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12258528.0,13712.0,894.0,9953370.0,13542.0,735.0,11818400.0,13600.0,869.0,0.02787408202707664,0.027877019071101516
2019-2-15,11035819.333333334,13248.666666666666,3,33107458.0,39746.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",11925960.0,13340.0,894.0,9682890.0,13174.0,735.0,11498608.0,13232.0,869.0,0.037210943362367965,0.03721294363256766
2019-1-15,10639898.666666666,12773.333333333334,3,31919696.0,38320.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",11498628.0,12862.0,894.0,9335235.0,12701.0,735.0,11085833.0,12757.0,869.0,-0.049207353974567214,-0.04920229263330278
2018-12-15,11190556.333333334,13434.333333333334,3,33571669.0,40303.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12094032.0,13528.0,894.0,9817395.0,13357.0,735.0,11660242.0,13418.0,869.0,-0.07328555585417018,-0.07328121407220045
2018-11-15,12075517.333333334,14496.666666666666,3,36226552.0,43490.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13050612.0,14598.0,894.0,10592820.0,14412.0,735.0,12583120.0,14480.0,869.0,0.09797822753201646,0.0979827816910297
2018-10-15,10997957.0,13203.0,3,32993871.0,39609.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",11886624.0,13296.0,894.0,9646875.0,13125.0,735.0,11460372.0,13188.0,869.0,-0.05832206915369098,-0.05831867243592792
2018-9-15,11679106.666666666,14020.666666666666,3,35037320.0,42062.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12623280.0,14120.0,894.0,10243695.0,13937.0,735.0,12170345.0,14005.0,869.0,-0.08901777892826401,-0.0890149874382743
2018-8-15,12820345.333333334,15390.666666666666,3,38461036.0,46172.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13857000.0,15500.0,894.0,11244030.0,15298.0,735.0,13360006.0,15374.0,869.0,0.05634568016928121,0.05634995081104588
2018-7-15,12136505.666666666,14569.666666666666,3,36409517.0,43709.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13118556.0,14674.0,894.0,10643535.0,14481.0,735.0,12647426.0,14554.0,869.0,0.008695759858850405,0.00870026770054455
2018-6-15,12031879.333333334,14444.0,3,36095638.0,43332.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",13005912.0,14548.0,894.0,10550925.0,14355.0,735.0,12538801.0,14429.0,869.0,0.04896887847607401,0.04897237890048167
2018-5-15,11470196.666666666,13769.666666666666,3,34410590.0,41309.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12398886.0,13869.0,894.0,10057740.0,13684.0,735.0,11953964.0,13756.0,869.0,-0.022185077953331356,-0.022179614638072276
2018-4-15,11730437.333333334,14082.0,3,35191312.0,42246.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12680496.0,14184.0,894.0,10284855.0,13993.0,735.0,12225961.0,14069.0,869.0,0.00914404118071821,0.009148890428301693
2018-3-15,11624145.666666666,13954.333333333334,3,34872437.0,41863.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",12566064.0,14056.0,894.0,10190775.0,13865.0,735.0,12115598.0,13942.0,869.0,0.04730442919050026,0.0473081156809767
2018-2-15,11099108.666666666,13324.0,3,33297326.0,39972.0,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",11999268.0,13422.0,894.0,9729930.0,13238.0,735.0,11568128.0,13312.0,869.0,,
2018-1-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-12-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-11-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-10-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-9-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-8-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-7-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-6-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-5-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-4-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-3-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-2-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2017-1-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-12-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-11-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-10-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-9-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-8-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-7-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-6-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-5-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-4-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-3-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-2-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
2016-1-15,,,3,,,2498,"THE REGENT(Block 3),SHAN TONG RD|天鑽3座,山塘路",,,894.0,,,735.0,,,869.0,,
