,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7110209.909090909,17227.090909090908,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",6802632.0,15894.0,428.0,10494720.0,16398.0,640.0,6413508.0,15954.0,402.0,5435850.0,25050.0,217.0,6651424.0,15989.0,416.0,6287472.0,16722.0,376.0,6975315.0,17223.0,405.0,7084242.0,17406.0,407.0,8705214.0,16394.0,531.0,6471440.0,15784.0,410.0,6890491.999999999,16684.0,413.0,,-0.08754397211730558,-0.08754375743334675
2022-11-15,7792386.363636363,18879.909090909092,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",7454903.999999999,17418.0,428.0,11501440.0,17971.0,640.0,7028568.0,17484.0,402.0,5957301.0,27453.0,217.0,7289152.0,17522.0,416.0,6890576.0,18326.0,376.0,7644375.0,18875.0,405.0,7764339.0,19077.0,407.0,9540477.0,17967.0,531.0,7093000.0,17300.0,410.0,7552118.0,18286.0,413.0,,-0.01215013983319957,-0.012148425794237694
2022-10-15,7888229.454545454,19112.090909090908,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",7546496.0,17632.0,428.0,11642880.0,18192.0,640.0,7114194.0,17697.0,402.0,6030430.000000001,27790.0,217.0,7379008.0,17738.0,416.0,6975176.0,18551.0,376.0,7738335.0,19107.0,405.0,7859984.0,19312.0,407.0,9657828.0,18188.0,531.0,7181150.0,17515.0,410.0,7645043.0,18511.0,413.0,,-0.005543582560042282,-0.005543861308862197
2022-9-15,7932202.2727272725,19218.636363636364,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",7588440.0,17730.0,428.0,11707520.0,18293.0,640.0,7153590.0,17795.0,402.0,6064065.0,27945.0,217.0,7419776.0,17836.0,416.0,7013904.0,18654.0,376.0,7781265.0,19213.0,405.0,7903940.0,19420.0,407.0,9711990.0,18290.0,531.0,7221740.0,17614.0,410.0,7687995.0,18615.0,413.0,,0.0018597980663055402,0.0018624533201903049
2022-8-15,7917477.363636363,19182.909090909092,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",7574316.0,17697.0,428.0,11685759.999999998,18259.0,640.0,7139520.0,17760.0,402.0,6052564.0,27892.0,217.0,7406048.0,17803.0,416.0,7000744.0,18619.0,376.0,7766685.0,19177.0,405.0,7889695.0,19385.0,407.0,9693936.0,18256.0,531.0,7209030.0,17583.0,410.0,7673953.0,18581.0,413.0,,-0.06636388222385625,-0.0663640265296821
2022-7-15,8480260.363636363,20546.454545454544,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8112740.0,18955.0,428.0,12515840.0,19556.0,640.0,7646442.0,19021.0,402.0,6482658.0,29874.0,217.0,7932288.0,19068.0,416.0,7498192.0,19942.0,376.0,8318699.999999999,20540.0,405.0,8450541.0,20763.0,407.0,10383174.0,19554.0,531.0,7722350.0,18835.0,410.0,8219939.000000001,19903.0,413.0,,0.06968282275034055,0.06968214001741702
2022-6-15,7927827.0,19208.0,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",7584160.0,17720.0,428.0,11700480.0,18282.0,640.0,7147962.0,17781.0,402.0,6060376.0,27928.0,217.0,7415616.0,17826.0,416.0,7009768.0,18643.0,376.0,7776810.0,19202.0,405.0,7900684.0,19412.0,407.0,9706680.0,18280.0,531.0,7218870.0,17607.0,410.0,7684691.0,18607.0,413.0,,-0.07577489638009516,-0.07577500645200796
2022-5-15,8577809.636363637,20782.81818181818,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8206044.0,19173.0,428.0,12659840.0,19781.0,640.0,7734480.0,19240.0,402.0,6557306.0,30218.0,217.0,8023808.0,19288.0,416.0,7584672.0,20172.0,376.0,8414280.0,20776.0,405.0,8548221.0,21003.0,407.0,10502649.0,19779.0,531.0,7810090.0,19049.0,410.0,8314516.0,20132.0,413.0,,0.04280825195517357,0.042809703228631646
2022-4-15,8225682.545454546,19929.636363636364,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",7869208.0,18386.0,428.0,12140800.0,18970.0,640.0,7417302.0,18451.0,402.0,6288226.0,28978.0,217.0,7694336.0,18496.0,416.0,7273344.0,19344.0,376.0,8069220.0,19924.0,405.0,8196980.0,20140.0,407.0,10071477.0,18967.0,531.0,7488650.0,18265.0,410.0,7972965.0,19305.0,413.0,,0.0173443750516431,0.01734195248945425
2022-3-15,8085445.545454546,19589.909090909092,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",7735244.0,18073.0,428.0,11934080.0,18647.0,640.0,7291476.0,18138.0,402.0,6181245.0,28485.0,217.0,7563296.0,18181.0,416.0,7149640.0,19015.0,376.0,7931520.0,19584.0,405.0,8056972.0,19796.0,407.0,9899433.0,18643.0,531.0,7360320.0,17952.0,410.0,7836675.0,18975.0,413.0,,-0.05508323712397012,-0.055084169769042846
2022-2-15,8556780.727272727,20731.909090909092,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8186355.999999999,19127.0,428.0,12629760.0,19734.0,640.0,7717194.0,19197.0,402.0,6541682.0,30146.0,217.0,8004256.0,19241.0,416.0,7566624.0,20124.0,376.0,8394030.0,20726.0,405.0,8526243.0,20949.0,407.0,10476630.0,19730.0,531.0,7788360.0,18996.0,410.0,8293453.0,20081.0,413.0,,0.03509944377223917,0.035099265606986174
