,lumpSum_avg,npsf_avg,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,20364220.0,14781.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",23556960.0,14760.0,1596.0,17171480.0,14803.0,1160.0,,-0.08820969911603327,-0.08820898744718253
2022-11-15,22334324.0,16211.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",25836048.0,16188.0,1596.0,18832600.0,16235.0,1160.0,,-0.012911255229496765,-0.012908332572228787
2022-10-15,22626460.0,16423.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",26174400.0,16400.0,1596.0,19078520.0,16447.0,1160.0,,-0.006293958499013486,-0.006292542731810569
2022-9-15,22769772.0,16527.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",26340384.0,16504.0,1596.0,19199160.0,16551.0,1160.0,,0.0013491302687784756,0.0013632232656770604
2022-8-15,22739094.0,16505.0,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",26306868.0,16483.0,1596.0,19171320.0,16527.0,1160.0,,-0.06636672605369265,-0.06635365991628017
2022-7-15,24355488.0,17678.0,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",28178976.0,17656.0,1596.0,20532000.0,17700.0,1160.0,,0.06966504761286552,0.06967597494932387
2022-6-15,22769266.0,16526.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",26345172.0,16507.0,1596.0,19193360.0,16546.0,1160.0,,-0.07584140716265886,-0.07582832378023208
2022-5-15,24637834.0,17882.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",28509348.0,17863.0,1596.0,20766320.0,17902.0,1160.0,,0.042781413631400866,0.04280257748491123
2022-4-15,23627036.0,17148.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",27342672.0,17132.0,1596.0,19911400.0,17165.0,1160.0,,0.017245923767852167,0.017262346136734497
2022-3-15,23226474.0,16857.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",26881428.0,16843.0,1596.0,19571520.0,16872.0,1160.0,,-0.055114817926790294,-0.05509935259662002
2022-2-15,24581266.0,17840.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",28451892.0,17827.0,1596.0,20710640.0,17854.0,1160.0,,0.03502725754219371,0.035041916862472045
2022-1-15,23749390.0,17236.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",27491100.0,17225.0,1596.0,20007680.0,17248.0,1160.0,,-0.05402692559457822,-0.054005104140940174
2021-12-15,25105778.0,18220.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",29064756.0,18211.0,1596.0,21146800.0,18230.0,1160.0,,-0.0266752878478409,-0.026656694890354937
2021-11-15,25793836.0,18719.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",29864352.0,18712.0,1596.0,21723320.0,18727.0,1160.0,,0.03195851079526513,0.031974420463629194
2021-10-15,24995032.0,18139.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",28941864.0,18134.0,1596.0,21048200.0,18145.0,1160.0,,0.009916441491346628,0.009938199432102834
2021-9-15,24749604.0,17961.0,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",28660968.0,17958.0,1596.0,20838240.0,17964.0,1160.0,,-0.07247667082228748,-0.06949876958943146
2021-8-15,26683538.0,19302.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",31426836.000000004,19691.0,1596.0,21940240.0,18914.0,1160.0,,0.053045375975753206,0.05305510092744137
2021-7-15,25339400.0,18330.0,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",29845200.0,18700.0,1596.0,20833600.0,17960.0,1160.0,,-0.033034816150151025,-0.03302384469297315
2021-6-15,26205080.0,18956.0,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",30866640.0,19340.0,1596.0,21543520.0,18572.0,1160.0,,-0.0008268651956554463,-0.0008170149961784778
2021-5-15,26226766.0,18971.5,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",30893772.0,19357.0,1596.0,21559760.0,18586.0,1160.0,,-0.004128194492267534,-0.00412073490813647
2021-4-15,26335484.0,19050.0,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",31023048.0,19438.0,1596.0,21647920.0,18662.0,1160.0,,0.04571777408003341,0.0457265191853764
2021-3-15,25184122.0,18217.0,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",29668044.0,18589.0,1596.0,20700200.0,17845.0,1160.0,,,
2021-2-15,,,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",,,1596.0,,,1160.0,,,
2021-1-15,,,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",,,1596.0,,,1160.0,,,
2020-12-15,,,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",,,1596.0,,,1160.0,,,
2020-11-15,,,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",,,1596.0,,,1160.0,,,
2020-10-15,,,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",,,1596.0,,,1160.0,,,
2020-9-15,,,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",,,1596.0,,,1160.0,,,
2020-8-15,,,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",,,1596.0,,,1160.0,,,
2020-7-15,,,"VILLA LUCCA(Block 9),LO FAI RD|林海山城9座,露輝路",,,1596.0,,,1160.0,,,
