,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,23762139.0,17039.5,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",27388997.999999996,16721.0,1638.0,20135280.0,17358.0,1160.0,,-0.08221986549397076,-0.08123045400625473
2022-11-15,25890884.0,18546.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",30001608.0,18316.0,1638.0,21780160.0,18776.0,1160.0,,-0.011975674748154974,-0.011986575035959679
2022-10-15,26204703.0,18771.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",30363606.0,18537.0,1638.0,22045800.0,19005.0,1160.0,,-0.005481696727798413,-0.005483588969244169
2022-9-15,26349141.0,18874.5,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",30530682.0,18639.0,1638.0,22167600.0,19110.0,1160.0,,0.0018838692427063375,0.0018843887679813598
2022-8-15,26299596.0,18839.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",30473352.0,18604.0,1638.0,22125840.0,19074.0,1160.0,,-0.06631859814707897,-0.06631312881003126
2022-7-15,28167634.0,20177.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",32638788.0,19926.0,1638.0,23696480.0,20428.0,1160.0,,0.06968710106471865,0.06968853545394293
2022-6-15,26332592.0,18862.5,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",30512664.0,18628.0,1638.0,22152520.0,19097.0,1160.0,,-0.07977113193853458,-0.08057322512246834
2022-5-15,28615264.0,20515.5,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",33015528.0,20156.0,1638.0,24215000.0,20875.0,1160.0,,0.042818501583309354,0.04282519188735834
2022-4-15,27440311.0,19673.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",31660902.0,19329.0,1638.0,23219720.0,20017.0,1160.0,,0.017343998517008075,0.017349709114415024
2022-3-15,26972500.0,19337.5,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",31122000.0,19000.0,1638.0,22823000.0,19675.0,1160.0,,-0.05507627493673761,-0.05507097656918081
2022-2-15,28544632.0,20464.5,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",32936904.000000004,20108.0,1638.0,24152360.0,20821.0,1160.0,,0.03507286923541386,0.03507662738354145
2022-1-15,27577413.0,19771.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",31821426.0,19427.0,1638.0,23333400.0,20115.0,1160.0,,-0.05395990938569417,-0.0539512405196545
2021-12-15,29150364.0,20898.5,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",33637968.0,20536.0,1638.0,24662760.0,21261.0,1160.0,,-0.026621746461204854,-0.026618537494177974
2021-11-15,29947622.0,21470.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",34558524.0,21098.0,1638.0,25336720.0,21842.0,1160.0,,0.03202978712376692,0.03203787824164195
2021-10-15,29018176.0,20803.5,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",33487272.0,20444.0,1638.0,24549080.0,21163.0,1160.0,,0.010017905102331026,0.010025731902704171
2021-9-15,28730358.0,20597.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",33156396.0,20242.0,1638.0,24304320.0,20952.0,1160.0,,-0.050310347637283925,-0.050304315750645534
2021-8-15,30252365.0,21688.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",34913970.0,21315.0,1638.0,25590760.0,22061.0,1160.0,,0.057385431108825324,0.05828677385512471
2021-7-15,28610537.0,20493.5,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",33158034.0,20243.0,1638.0,24063040.0,20744.0,1160.0,,-0.033098012078714434,-0.03309742863882992
2021-6-15,29589904.0,21195.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",34293168.0,20936.0,1638.0,24886640.0,21454.0,1160.0,,-0.0008307415291681775,-0.0008249852681202485
2021-5-15,29614506.0,21212.5,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",34322652.0,20954.0,1638.0,24906360.0,21471.0,1160.0,,-0.013120501046562927,-0.011809372961893216
2021-4-15,30008229.0,21466.0,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",35005698.0,21371.0,1638.0,25010760.0,21561.0,1160.0,,,
2021-3-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2021-2-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2021-1-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-12-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-11-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-10-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-9-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-8-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-7-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-6-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-5-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-4-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-3-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-2-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2020-1-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-12-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-11-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-10-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-9-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-8-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-7-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-6-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-5-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-4-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-3-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-2-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2019-1-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2018-12-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2018-11-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
2018-10-15,,,"VILLA LUCCA(Block 15),LO FAI RD|林海山城15座,露輝路",,,1638.0,,,1160.0,,,
